"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
669.00,"G4","Allegiant Air",13832,"OGS","Ogdensburg, NY",14761,"SFB","Sanford, FL","698",12,
669.00,"F9","Frontier Airlines Inc.",14100,"PHL","Philadelphia, PA",13303,"MIA","Miami, FL","722",12,
669.00,"MQ","Envoy Air",11140,"CRP","Corpus Christi, TX",11298,"DFW","Dallas/Fort Worth, TX","675",12,
669.00,"G4","Allegiant Air",14082,"PGD","Punta Gorda, FL",10994,"CHS","Charleston, SC","694",12,
670.00,"OO","SkyWest Airlines Inc.",13342,"MKE","Milwaukee, WI",13487,"MSP","Minneapolis, MN","638",12,
670.00,"UA","United Air Lines Inc.",13930,"ORD","Chicago, IL",10397,"ATL","Atlanta, GA","694",12,
670.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",13930,"ORD","Chicago, IL","698",12,
670.00,"YX","Republic Airline",12266,"IAH","Houston, TX",10397,"ATL","Atlanta, GA","677",12,
670.00,"SY","Sun Country Airlines d/b/a MN Airlines",14057,"PDX","Portland, OR",14107,"PHX","Phoenix, AZ","614",12,
670.00,"OO","SkyWest Airlines Inc.",14771,"SFO","San Francisco, CA",14698,"SBP","San Luis Obispo, CA","673",12,
671.00,"OO","SkyWest Airlines Inc.",12266,"IAH","Houston, TX",12278,"ICT","Wichita, KS","629",12,
671.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN",13184,"MBS","Saginaw/Bay City/Midland, MI","629",12,
671.00,"OO","SkyWest Airlines Inc.",14771,"SFO","San Francisco, CA",15041,"SUN","Sun Valley/Hailey/Ketchum, ID","673",12,
671.00,"OH","PSA Airlines Inc.",14100,"PHL","Philadelphia, PA",13871,"OMA","Omaha, NE","631",12,
671.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",10397,"ATL","Atlanta, GA","698",12,
671.00,"UA","United Air Lines Inc.",14122,"PIT","Pittsburgh, PA",14771,"SFO","San Francisco, CA","698",12,
671.00,"F9","Frontier Airlines Inc.",12889,"LAS","Las Vegas, NV",13303,"MIA","Miami, FL","694",12,
672.00,"YX","Republic Airline",14576,"ROC","Rochester, NY",12478,"JFK","New York, NY","673",12,
672.00,"G4","Allegiant Air",13367,"MLI","Moline, IL",14761,"SFB","Sanford, FL","698",12,
672.00,"UA","United Air Lines Inc.",11292,"DEN","Denver, CO",12264,"IAD","Washington, DC","887",12,
672.00,"WN","Southwest Airlines Co.",12191,"HOU","Houston, TX",14893,"SMF","Sacramento, CA","614",12,
672.00,"F9","Frontier Airlines Inc.",12889,"LAS","Las Vegas, NV",13931,"ORF","Norfolk, VA","694",12,
672.00,"F9","Frontier Airlines Inc.",13303,"MIA","Miami, FL",10721,"BOS","Boston, MA","694",12,
672.00,"F9","Frontier Airlines Inc.",13930,"ORD","Chicago, IL",13204,"MCO","Orlando, FL","694",12,
673.00,"9E","Endeavor Air Inc.",10397,"ATL","Atlanta, GA",11537,"ELM","Elmira/Corning, NY","638",12,
673.00,"AX","Trans States Airlines",11292,"DEN","Denver, CO",13158,"MAF","Midland/Odessa, TX","675",12,
673.00,"DL","Delta Air Lines Inc.",14057,"PDX","Portland, OR",14869,"SLC","Salt Lake City, UT","694",12,
673.00,"WN","Southwest Airlines Co.",14747,"SEA","Seattle, WA",15016,"STL","St. Louis, MO","612",12,
