"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
623.00,"EV","ExpressJet Airlines LLC",14576,"ROC","Rochester, NY",13930,"ORD","Chicago, IL","673",12,
624.00,"OO","SkyWest Airlines Inc.",14689,"SBA","Santa Barbara, CA",12892,"LAX","Los Angeles, CA","631",12,
624.00,"OO","SkyWest Airlines Inc.",12892,"LAX","Los Angeles, CA",10140,"ABQ","Albuquerque, NM","631",12,
624.00,"WN","Southwest Airlines Co.",12191,"HOU","Houston, TX",10140,"ABQ","Albuquerque, NM","614",12,
624.00,"WN","Southwest Airlines Co.",10800,"BUR","Burbank, CA",11292,"DEN","Denver, CO","614",12,
624.00,"WN","Southwest Airlines Co.",13796,"OAK","Oakland, CA",15376,"TUS","Tucson, AZ","612",12,
624.00,"OO","SkyWest Airlines Inc.",12266,"IAH","Houston, TX",11140,"CRP","Corpus Christi, TX","629",12,
624.00,"F9","Frontier Airlines Inc.",11292,"DEN","Denver, CO",11996,"GSP","Greer, SC","694",12,
624.00,"EV","ExpressJet Airlines LLC",13930,"ORD","Chicago, IL",10693,"BNA","Nashville, TN","675",12,
624.00,"OO","SkyWest Airlines Inc.",10157,"ACV","Arcata/Eureka, CA",11292,"DEN","Denver, CO","629",12,
624.00,"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",12889,"LAS","Las Vegas, NV",14689,"SBA","Santa Barbara, CA","674",12,
