PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,H6,Hageland Aviation Service,12709,KKI,Akiachak, AK,10551,BET,Bethel, AK,416,8,
0.00,H6,Hageland Aviation Service,12709,KKI,Akiachak, AK,15257,TLT,Tuluksak, AK,035,8,
0.00,H6,Hageland Aviation Service,12719,KLG,Kalskag, AK,12087,HCR,Holy Cross, AK,035,8,
0.00,H6,Hageland Aviation Service,12719,KLG,Kalskag, AK,12709,KKI,Akiachak, AK,035,8,
0.00,H6,Hageland Aviation Service,12719,KLG,Kalskag, AK,14627,RSH,Russian Mission, AK,416,8,
0.00,H6,Hageland Aviation Service,12720,KLL,Levelock, AK,10299,ANC,Anchorage, AK,194,8,
0.00,H6,Hageland Aviation Service,12720,KLL,Levelock, AK,10304,ANI,Aniak, AK,416,8,
0.00,H6,Hageland Aviation Service,12720,KLL,Levelock, AK,11336,DLG,Dillingham, AK,416,8,
0.00,H6,Hageland Aviation Service,12769,KOT,Kotlik, AK,10416,AUK,Alakanuk, AK,035,8,
0.00,H6,Hageland Aviation Service,12769,KOT,Kotlik, AK,12807,KSM,St. Mary's, AK,035,8,
0.00,H6,Hageland Aviation Service,12769,KOT,Kotlik, AK,12807,KSM,St. Mary's, AK,416,8,
0.00,H6,Hageland Aviation Service,12769,KOT,Kotlik, AK,15478,UNK,Unalakleet, AK,035,8,
0.00,H6,Hageland Aviation Service,12769,KOT,Kotlik, AK,15478,UNK,Unalakleet, AK,416,8,
0.00,H6,Hageland Aviation Service,12779,KPN,Kipnuk, AK,10551,BET,Bethel, AK,035,8,
0.00,H6,Hageland Aviation Service,12779,KPN,Kipnuk, AK,10551,BET,Bethel, AK,416,8,
0.00,H6,Hageland Aviation Service,12779,KPN,Kipnuk, AK,12851,KWK,Kwigillingok, AK,035,8,
0.00,H6,Hageland Aviation Service,12779,KPN,Kipnuk, AK,15798,WNA,Napakiak, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10299,ANC,Anchorage, AK,405,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10299,ANC,Anchorage, AK,405,8,
