"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
389.00,"WN","Southwest Airlines Co.",10140,"ABQ","Albuquerque, NM",13204,"MCO","Orlando, FL","614",4,
389.00,"7H","Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",10299,"ANC","Anchorage, AK",11336,"DLG","Dillingham, AK","483",4,
389.00,"UA","United Air Lines Inc.",15024,"STT","Charlotte Amalie, VI",13930,"ORD","Chicago, IL","612",4,
389.00,"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",13232,"MDW","Chicago, IL",13105,"LUK","Cincinnati, OH","632",4,
390.00,"DL","Delta Air Lines Inc.",14771,"SFO","San Francisco, CA",10397,"ATL","Atlanta, GA","622",4,
390.00,"G4","Allegiant Air",11267,"DAY","Dayton, OH",14761,"SFB","Sanford, FL","694",4,
390.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",10994,"CHS","Charleston, SC","694",4,
390.00,"UA","United Air Lines Inc.",14122,"PIT","Pittsburgh, PA",12266,"IAH","Houston, TX","612",4,
390.00,"AA","American Airlines Inc.",13487,"MSP","Minneapolis, MN",13303,"MIA","Miami, FL","614",4,
391.00,"OO","SkyWest Airlines Inc.",13342,"MKE","Milwaukee, WI",11433,"DTW","Detroit, MI","638",4,
391.00,"EV","ExpressJet Airlines LLC",12945,"LEX","Lexington, KY",13930,"ORD","Chicago, IL","629",4,
391.00,"OH","PSA Airlines Inc.",11146,"CRW","Charleston/Dunbar, WV",11057,"CLT","Charlotte, NC","631",4,
392.00,"SY","Sun Country Airlines d/b/a MN Airlines",13485,"MSN","Madison, WI",14635,"RSW","Fort Myers, FL","614",4,
392.00,"G4","Allegiant Air",13871,"OMA","Omaha, NE",10466,"AZA","Phoenix, AZ","698",4,
392.00,"EV","ExpressJet Airlines LLC",12264,"IAD","Washington, DC",10792,"BUF","Buffalo, NY","629",4,
393.00,"OO","SkyWest Airlines Inc.",14814,"SHV","Shreveport, LA",11298,"DFW","Dallas/Fort Worth, TX","631",4,
393.00,"AS","Alaska Airlines Inc.",14747,"SEA","Seattle, WA",15016,"STL","St. Louis, MO","634",4,
393.00,"OO","SkyWest Airlines Inc.",12339,"IND","Indianapolis, IN",13930,"ORD","Chicago, IL","631",4,
393.00,"EV","ExpressJet Airlines LLC",12264,"IAD","Washington, DC",15096,"SYR","Syracuse, NY","629",4,
393.00,"F9","Frontier Airlines Inc.",11292,"DEN","Denver, CO",14679,"SAN","San Diego, CA","694",4,
393.00,"F9","Frontier Airlines Inc.",15096,"SYR","Syracuse, NY",14635,"RSW","Fort Myers, FL","694",4,
394.00,"G4","Allegiant Air",10627,"BIS","Bismarck/Mandan, ND",14761,"SFB","Sanford, FL","694",4,
394.00,"AA","American Airlines Inc.",14107,"PHX","Phoenix, AZ",13796,"OAK","Oakland, CA","699",4,
394.00,"G4","Allegiant Air",14108,"PIA","Peoria, IL",14112,"PIE","St. Petersburg, FL","698",4,
395.00,"G7","GoJet Airlines LLC d/b/a United Express",10257,"ALB","Albany, NY",13930,"ORD","Chicago, IL","631",4,
395.00,"AS","Alaska Airlines Inc.",13873,"OME","Nome, AK",13970,"OTZ","Kotzebue, AK","612",4,
395.00,"WN","Southwest Airlines Co.",13204,"MCO","Orlando, FL",13871,"OMA","Omaha, NE","612",4,
395.00,"AS","Alaska Airlines Inc.",14747,"SEA","Seattle, WA",14831,"SJC","San Jose, CA","612",4,
395.00,"F9","Frontier Airlines Inc.",13342,"MKE","Milwaukee, WI",11292,"DEN","Denver, CO","698",4,
