PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
48.00,9E,Endeavor Air Inc.,10980,CHA,Chattanooga, TN,10874,CAK,Akron, OH,629,7,
48.00,9E,Endeavor Air Inc.,11433,DTW,Detroit, MI,11203,CWA,Mosinee, WI,638,7,
48.00,9E,Endeavor Air Inc.,11617,EWN,New Bern/Morehead/Beaufort, NC,10397,ATL,Atlanta, GA,638,7,
48.00,AX,Trans States Airlines,13230,MDT,Harrisburg, PA,12339,IND,Indianapolis, IN,675,7,
48.00,AX,Trans States Airlines,13264,MFR,Medford, OR,14869,SLC,Salt Lake City, UT,675,7,
48.00,AX,Trans States Airlines,14574,ROA,Roanoke, VA,14108,PIA,Peoria, IL,675,7,
48.00,AX,Trans States Airlines,14730,SDF,Louisville, KY,11233,CYS,Cheyenne, WY,675,7,
48.00,AX,Trans States Airlines,14869,SLC,Salt Lake City, UT,11292,DEN,Denver, CO,675,7,
48.00,AX,Trans States Airlines,15412,TYS,Knoxville, TN,15370,TUL,Tulsa, OK,675,7,
48.00,2O,Island Air Service,10170,ADQ,Kodiak, AK,13934,ORI,Port Lions, AK,079,7,
48.00,3F,Pacific Airways Inc.,13504,MTM,Metlakatla, AK,15741,WFB,Ketchikan, AK,040,7,
48.00,3F,Pacific Airways Inc.,15741,WFB,Ketchikan, AK,16346,ZXN,Clover Bay, AK,040,7,
48.00,4W,Warbelow,11630,FAI,Fairbanks, AK,14709,SCC,Deadhorse, AK,194,7,
48.00,OH,PSA Airlines Inc.,11617,EWN,New Bern/Morehead/Beaufort, NC,11699,FLO,Florence, SC,629,7,
48.00,OH,PSA Airlines Inc.,11699,FLO,Florence, SC,11057,CLT,Charlotte, NC,629,7,
48.00,OH,PSA Airlines Inc.,13139,LYH,Lynchburg, VA,11057,CLT,Charlotte, NC,629,7,
48.00,PT,Piedmont Airlines,10581,BGR,Bangor, ME,13230,MDT,Harrisburg, PA,675,7,
48.00,H6,Hageland Aviation Service,10225,AIN,Wainwright, AK,10754,BRW,Barrow, AK,405,7,
48.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,12851,KWK,Kwigillingok, AK,035,7,
48.00,H6,Hageland Aviation Service,14856,SKK,Shaktoolik, AK,15478,UNK,Unalakleet, AK,416,7,
48.00,PT,Piedmont Airlines,13139,LYH,Lynchburg, VA,10990,CHO,Charlottesville, VA,675,7,
48.00,PT,Piedmont Airlines,13296,MHT,Manchester, NH,10721,BOS,Boston, MA,675,7,
48.00,PT,Piedmont Airlines,14321,PWM,Portland, ME,10581,BGR,Bangor, ME,675,7,
48.00,PT,Piedmont Airlines,14576,ROC,Rochester, NY,13296,MHT,Manchester, NH,675,7,
48.00,ZW,Air Wisconsin Airlines Corp,12992,LIT,Little Rock, AR,15016,STL,St. Louis, MO,629,7,
48.00,OH,PSA Airlines Inc.,15323,TRI,Bristol/Johnson City/Kingsport, TN,10431,AVL,Asheville, NC,629,7,
48.00,OO,SkyWest Airlines Inc.,10599,BHM,Birmingham, AL,12266,IAH,Houston, TX,631,7,
48.00,OO,SkyWest Airlines Inc.,10627,BIS,Bismarck/Mandan, ND,11292,DEN,Denver, CO,673,7,
48.00,OO,SkyWest Airlines Inc.,10849,BZN,Bozeman, MT,10620,BIL,Billings, MT,629,7,
48.00,OO,SkyWest Airlines Inc.,11109,COS,Colorado Springs, CO,11775,FSD,Sioux Falls, SD,631,7,
48.00,OO,SkyWest Airlines Inc.,11267,DAY,Dayton, OH,11292,DEN,Denver, CO,629,7,
48.00,OO,SkyWest Airlines Inc.,11292,DEN,Denver, CO,10620,BIL,Billings, MT,631,7,
48.00,OO,SkyWest Airlines Inc.,11337,DLH,Duluth, MN,13930,ORD,Chicago, IL,673,7,
48.00,OO,SkyWest Airlines Inc.,11433,DTW,Detroit, MI,13230,MDT,Harrisburg, PA,638,7,
48.00,OO,SkyWest Airlines Inc.,11603,EUG,Eugene, OR,13264,MFR,Medford, OR,629,7,
48.00,OO,SkyWest Airlines Inc.,11775,FSD,Sioux Falls, SD,13930,ORD,Chicago, IL,631,7,
48.00,OO,SkyWest Airlines Inc.,12519,JMS,Jamestown, ND,11637,FAR,Fargo, ND,629,7,
48.00,OO,SkyWest Airlines Inc.,12884,LAN,Lansing, MI,13487,MSP,Minneapolis, MN,631,7,
48.00,OO,SkyWest Airlines Inc.,14869,SLC,Salt Lake City, UT,14113,PIH,Pocatello, ID,673,7,
48.00,OO,SkyWest Airlines Inc.,15023,STS,Santa Rosa, CA,11921,GJT,Grand Junction, CO,629,7,
48.00,9X,Southern Airways Express dba Mokulele Airlines,15304,TPA,Tampa, FL,11421,DSI,Destin, FL,416,7,
49.00,1YQ,Air Charter Inc d/b/a Air Flamenco,11126,CPX,Culebra, PR,14819,SIG,San Juan, PR,131,7,
49.00,EV,ExpressJet Airlines LLC,10279,AMA,Amarillo, TX,12896,LBB,Lubbock, TX,675,7,
49.00,EV,ExpressJet Airlines LLC,11066,CMH,Columbus, OH,12266,IAH,Houston, TX,673,7,
49.00,EV,ExpressJet Airlines LLC,12266,IAH,Houston, TX,13029,LNK,Lincoln, NE,675,7,
49.00,EV,ExpressJet Airlines LLC,13029,LNK,Lincoln, NE,13871,OMA,Omaha, NE,675,7,
49.00,EV,ExpressJet Airlines LLC,13871,OMA,Omaha, NE,11049,CLL,College Station/Bryan, TX,675,7,
49.00,EV,ExpressJet Airlines LLC,13930,ORD,Chicago, IL,13230,MDT,Harrisburg, PA,675,7,
49.00,EV,ExpressJet Airlines LLC,15412,TYS,Knoxville, TN,11298,DFW,Dallas/Fort Worth, TX,675,7,
49.00,8E,Bering Air Inc.,12822,KTS,Brevig Mission, AK,15245,TLA,Teller, AK,415,7,
49.00,8E,Bering Air Inc.,13873,OME,Nome, AK,14805,SHH,Shishmaref, AK,406,7,
49.00,DL,Delta Air Lines Inc.,14908,SNA,Santa Ana, CA,13796,OAK,Oakland, CA,622,7,
49.00,SY,Sun Country Airlines d/b/a MN Airlines,11986,GRR,Grand Rapids, MI,13184,MBS,Saginaw/Bay City/Midland, MI,614,7,
49.00,G7,GoJet Airlines LLC d/b/a United Express,14321,PWM,Portland, ME,11433,DTW,Detroit, MI,631,7,
49.00,MQ,Envoy Air,11193,CVG,Cincinnati, OH,11697,FLL,Fort Lauderdale, FL,675,7,
49.00,MQ,Envoy Air,11193,CVG,Cincinnati, OH,12451,JAX,Jacksonville, FL,675,7,
49.00,MQ,Envoy Air,12339,IND,Indianapolis, IN,14635,RSW,Fort Myers, FL,675,7,
49.00,MQ,Envoy Air,12451,JAX,Jacksonville, FL,11066,CMH,Columbus, OH,675,7,
49.00,MQ,Envoy Air,12451,JAX,Jacksonville, FL,14027,PBI,West Palm Beach/Palm Beach, FL,675,7,
49.00,MQ,Envoy Air,13930,ORD,Chicago, IL,15380,TVC,Traverse City, MI,631,7,
49.00,MQ,Envoy Air,15919,XNA,Fayetteville, AR,12339,IND,Indianapolis, IN,673,7,
49.00,NK,Spirit Air Lines,10423,AUS,Austin, TX,12889,LAS,Las Vegas, NV,698,7,
49.00,NK,Spirit Air Lines,14893,SMF,Sacramento, CA,12889,LAS,Las Vegas, NV,694,7,
49.00,OH,PSA Airlines Inc.,10208,AGS,Augusta, GA,10868,CAE,Columbia, SC,638,7,
49.00,OH,PSA Airlines Inc.,10990,CHO,Charlottesville, VA,13931,ORF,Norfolk, VA,629,7,
49.00,AMQ,Ameristar Air Cargo,10559,BFI,Seattle, WA,12892,LAX,Los Angeles, CA,620,7,
49.00,AX,Trans States Airlines,15370,TUL,Tulsa, OK,12278,ICT,Wichita, KS,675,7,
49.00,AX,Trans States Airlines,15919,XNA,Fayetteville, AR,13502,MTJ,Montrose/Delta, CO,675,7,
49.00,OH,PSA Airlines Inc.,11278,DCA,Washington, DC,14685,SAV,Savannah, GA,629,7,
49.00,OH,PSA Airlines Inc.,14100,PHL,Philadelphia, PA,10990,CHO,Charlottesville, VA,629,7,
49.00,8V,Wright Air Service,10349,ARC,Arctic Village, AK,15581,VEE,Venetie, AK,416,7,
49.00,8V,Wright Air Service,13768,NUL,Nulato, AK,11844,GAL,Galena, AK,416,7,
49.00,H6,Hageland Aviation Service,10396,ATK,Atqasuk, AK,10225,AIN,Wainwright, AK,405,7,
49.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,10241,AKI,Akiak, AK,035,7,
49.00,H6,Hageland Aviation Service,12708,KKH,Kongiganak, AK,12851,KWK,Kwigillingok, AK,416,7,
49.00,H6,Hageland Aviation Service,13434,MOU,Mountain Village, AK,14234,PQS,Pilot Station, AK,416,7,
49.00,H6,Hageland Aviation Service,13942,ORV,Noorvik, AK,12268,IAN,Kiana, AK,416,7,
49.00,ZW,Air Wisconsin Airlines Corp,12264,IAD,Washington, DC,10469,AZO,Kalamazoo, MI,629,7,
49.00,ZW,Air Wisconsin Airlines Corp,12264,IAD,Washington, DC,14576,ROC,Rochester, NY,629,7,
49.00,ZW,Air Wisconsin Airlines Corp,13029,LNK,Lincoln, NE,14108,PIA,Peoria, IL,629,7,
49.00,OH,PSA Airlines Inc.,14696,SBN,South Bend, IN,11057,CLT,Charlotte, NC,629,7,
49.00,OO,SkyWest Airlines Inc.,10620,BIL,Billings, MT,11865,GCC,Gillette, WY,629,7,
49.00,OO,SkyWest Airlines Inc.,10713,BOI,Boise, ID,11109,COS,Colorado Springs, CO,629,7,
49.00,OO,SkyWest Airlines Inc.,10800,BUR,Burbank, CA,11638,FAT,Fresno, CA,629,7,
49.00,OO,SkyWest Airlines Inc.,11233,CYS,Cheyenne, WY,11292,DEN,Denver, CO,629,7,
49.00,OO,SkyWest Airlines Inc.,11292,DEN,Denver, CO,15919,XNA,Fayetteville, AR,631,7,
49.00,OO,SkyWest Airlines Inc.,11298,DFW,Dallas/Fort Worth, TX,11982,GRK,Killeen, TX,629,7,
49.00,OO,SkyWest Airlines Inc.,11995,GSO,Greensboro/High Point, NC,10397,ATL,Atlanta, GA,629,7,
49.00,OO,SkyWest Airlines Inc.,12266,IAH,Houston, TX,12448,JAN,Jackson/Vicksburg, MS,631,7,
49.00,OO,SkyWest Airlines Inc.,12266,IAH,Houston, TX,15919,XNA,Fayetteville, AR,629,7,
49.00,OO,SkyWest Airlines Inc.,12892,LAX,Los Angeles, CA,15389,TWF,Twin Falls, ID,673,7,
49.00,OO,SkyWest Airlines Inc.,13029,LNK,Lincoln, NE,11468,EAR,Kearney, NE,629,7,
49.00,OO,SkyWest Airlines Inc.,13487,MSP,Minneapolis, MN,11775,FSD,Sioux Falls, SD,673,7,
49.00,OO,SkyWest Airlines Inc.,13487,MSP,Minneapolis, MN,12945,LEX,Lexington, KY,638,7,
49.00,OO,SkyWest Airlines Inc.,13487,MSP,Minneapolis, MN,13076,LSE,La Crosse, WI,638,7,
49.00,OO,SkyWest Airlines Inc.,13930,ORD,Chicago, IL,11977,GRB,Green Bay, WI,629,7,
49.00,OO,SkyWest Airlines Inc.,14457,RAP,Rapid City, SD,11921,GJT,Grand Junction, CO,629,7,
49.00,OO,SkyWest Airlines Inc.,14520,RHI,Rhinelander, WI,13487,MSP,Minneapolis, MN,631,7,
49.00,OO,SkyWest Airlines Inc.,14574,ROA,Roanoke, VA,11995,GSO,Greensboro/High Point, NC,629,7,
49.00,OO,SkyWest Airlines Inc.,15070,SWF,Newburgh/Poughkeepsie, NY,11823,FWA,Fort Wayne, IN,629,7,
49.00,OO,SkyWest Airlines Inc.,15389,TWF,Twin Falls, ID,15041,SUN,Sun Valley/Hailey/Ketchum, ID,673,7,
49.00,OO,SkyWest Airlines Inc.,15919,XNA,Fayetteville, AR,14783,SGF,Springfield, MO,629,7,
50.00,EV,ExpressJet Airlines LLC,10693,BNA,Nashville, TN,10821,BWI,Baltimore, MD,675,7,
50.00,EV,ExpressJet Airlines LLC,10821,BWI,Baltimore, MD,11618,EWR,Newark, NJ,675,7,
50.00,EV,ExpressJet Airlines LLC,11423,DSM,Des Moines, IA,13930,ORD,Chicago, IL,675,7,
50.00,EV,ExpressJet Airlines LLC,11996,GSP,Greer, SC,14696,SBN,South Bend, IN,675,7,
50.00,EV,ExpressJet Airlines LLC,12266,IAH,Houston, TX,11066,CMH,Columbus, OH,673,7,
50.00,EV,ExpressJet Airlines LLC,12266,IAH,Houston, TX,13871,OMA,Omaha, NE,673,7,
50.00,EV,ExpressJet Airlines LLC,12339,IND,Indianapolis, IN,11042,CLE,Cleveland, OH,675,7,
50.00,EV,ExpressJet Airlines LLC,13198,MCI,Kansas City, MO,13930,ORD,Chicago, IL,675,7,
50.00,EV,ExpressJet Airlines LLC,13930,ORD,Chicago, IL,10693,BNA,Nashville, TN,675,7,
50.00,EV,ExpressJet Airlines LLC,13930,ORD,Chicago, IL,14307,PVD,Providence, RI,675,7,
50.00,8E,Bering Air Inc.,10299,ANC,Anchorage, AK,13873,OME,Nome, AK,406,7,
50.00,8E,Bering Air Inc.,14856,SKK,Shaktoolik, AK,15478,UNK,Unalakleet, AK,415,7,
50.00,J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes,12523,JNU,Juneau, AK,12175,HNS,Haines, AK,479,7,
50.00,SY,Sun Country Airlines d/b/a MN Airlines,11618,EWR,Newark, NJ,10559,BFI,Seattle, WA,614,7,
50.00,SY,Sun Country Airlines d/b/a MN Airlines,15919,XNA,Fayetteville, AR,11973,GPT,Gulfport/Biloxi, MS,612,7,
50.00,4B,Boutique Air,10950,CEZ,Cortez, CO,15177,TEX,Telluride, CO,479,7,
50.00,4B,Boutique Air,15177,TEX,Telluride, CO,10950,CEZ,Cortez, CO,479,7,
50.00,MQ,Envoy Air,10693,BNA,Nashville, TN,13931,ORF,Norfolk, VA,675,7,
50.00,MQ,Envoy Air,11193,CVG,Cincinnati, OH,11066,CMH,Columbus, OH,675,7,
50.00,MQ,Envoy Air,11298,DFW,Dallas/Fort Worth, TX,10279,AMA,Amarillo, TX,675,7,
50.00,MQ,Envoy Air,11298,DFW,Dallas/Fort Worth, TX,11973,GPT,Gulfport/Biloxi, MS,675,7,
50.00,MQ,Envoy Air,11298,DFW,Dallas/Fort Worth, TX,13061,LRD,Laredo, TX,675,7,
50.00,MQ,Envoy Air,12451,JAX,Jacksonville, FL,15249,TLH,Tallahassee, FL,675,7,
50.00,MQ,Envoy Air,13930,ORD,Chicago, IL,11042,CLE,Cleveland, OH,631,7,
50.00,OH,PSA Airlines Inc.,10599,BHM,Birmingham, AL,12264,IAD,Washington, DC,629,7,
50.00,OH,PSA Airlines Inc.,10868,CAE,Columbia, SC,11057,CLT,Charlotte, NC,629,7,
50.00,YX,Republic Airline,11057,CLT,Charlotte, NC,13198,MCI,Kansas City, MO,677,7,
50.00,YX,Republic Airline,11618,EWR,Newark, NJ,12124,HHH,Hilton Head, SC,673,7,
50.00,YX,Republic Airline,12124,HHH,Hilton Head, SC,11618,EWR,Newark, NJ,673,7,
50.00,YX,Republic Airline,13204,MCO,Orlando, FL,12953,LGA,New York, NY,677,7,
50.00,YX,Republic Airline,13930,ORD,Chicago, IL,10994,CHS,Charleston, SC,677,7,
50.00,AA,American Airlines Inc.,13931,ORF,Norfolk, VA,14100,PHL,Philadelphia, PA,678,7,
50.00,9E,Endeavor Air Inc.,10599,BHM,Birmingham, AL,10397,ATL,Atlanta, GA,629,7,
50.00,9E,Endeavor Air Inc.,13422,MOB,Mobile, AL,10599,BHM,Birmingham, AL,629,7,
50.00,AX,Trans States Airlines,11292,DEN,Denver, CO,13502,MTJ,Montrose/Delta, CO,675,7,
50.00,AX,Trans States Airlines,11292,DEN,Denver, CO,13871,OMA,Omaha, NE,675,7,
50.00,AX,Trans States Airlines,13502,MTJ,Montrose/Delta, CO,12012,GUC,Gunnison, CO,675,7,
50.00,AX,Trans States Airlines,14574,ROA,Roanoke, VA,15016,STL,St. Louis, MO,675,7,
50.00,AX,Trans States Airlines,14730,SDF,Louisville, KY,11109,COS,Colorado Springs, CO,675,7,
50.00,AX,Trans States Airlines,15370,TUL,Tulsa, OK,11413,DRO,Durango, CO,675,7,
50.00,DL,Delta Air Lines Inc.,10693,BNA,Nashville, TN,13487,MSP,Minneapolis, MN,614,7,
50.00,2E,Smokey Bay Air Inc.,12184,HOM,Homer, AK,12184,HOM,Homer, AK,035,7,
50.00,2E,Smokey Bay Air Inc.,14088,PGM,Port Graham, AK,14942,SOV,Seldovia, AK,035,7,
50.00,OH,PSA Airlines Inc.,11057,CLT,Charlotte, NC,12448,JAN,Jackson/Vicksburg, MS,638,7,
50.00,OH,PSA Airlines Inc.,11278,DCA,Washington, DC,11057,CLT,Charlotte, NC,629,7,
50.00,OH,PSA Airlines Inc.,11278,DCA,Washington, DC,14696,SBN,South Bend, IN,629,7,
50.00,OH,PSA Airlines Inc.,11617,EWN,New Bern/Morehead/Beaufort, NC,10868,CAE,Columbia, SC,629,7,
50.00,OH,PSA Airlines Inc.,12323,ILM,Wilmington, NC,11278,DCA,Washington, DC,631,7,
50.00,OH,PSA Airlines Inc.,12448,JAN,Jackson/Vicksburg, MS,12264,IAD,Washington, DC,629,7,
50.00,OH,PSA Airlines Inc.,14100,PHL,Philadelphia, PA,13485,MSN,Madison, WI,638,7,
50.00,RVQ,Reeve Air Alaska LLC,11392,DQL,Anchorage, AK,11924,GKN,Gulkana, AK,194,7,
50.00,PT,Piedmont Airlines,10792,BUF,Buffalo, NY,10434,AVP,Scranton/Wilkes-Barre, PA,675,7,
50.00,PT,Piedmont Airlines,10990,CHO,Charlottesville, VA,11995,GSO,Greensboro/High Point, NC,675,7,
50.00,GV,Grant Aviation,13894,OOK,Toksook, AK,11227,CYF,Chefornak, AK,026,7,
50.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,14234,PQS,Pilot Station, AK,416,7,
50.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,10640,BKC,Buckland, AK,194,7,
50.00,H6,Hageland Aviation Service,14856,SKK,Shaktoolik, AK,15478,UNK,Unalakleet, AK,194,7,
50.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,13873,OME,Nome, AK,194,7,
50.00,PT,Piedmont Airlines,13342,MKE,Milwaukee, WI,14704,SBY,Salisbury, MD,675,7,
50.00,ZW,Air Wisconsin Airlines Corp,13930,ORD,Chicago, IL,10785,BTV,Burlington, VT,629,7,
50.00,ZW,Air Wisconsin Airlines Corp,13930,ORD,Chicago, IL,14492,RDU,Raleigh/Durham, NC,629,7,
50.00,OH,PSA Airlines Inc.,14696,SBN,South Bend, IN,11986,GRR,Grand Rapids, MI,629,7,
50.00,OO,SkyWest Airlines Inc.,10135,ABE,Allentown/Bethlehem/Easton, PA,11042,CLE,Cleveland, OH,629,7,
50.00,OO,SkyWest Airlines Inc.,10397,ATL,Atlanta, GA,10208,AGS,Augusta, GA,631,7,
50.00,OO,SkyWest Airlines Inc.,10397,ATL,Atlanta, GA,11995,GSO,Greensboro/High Point, NC,629,7,
50.00,OO,SkyWest Airlines Inc.,10713,BOI,Boise, ID,12888,LAR,Laramie, WY,629,7,
50.00,OO,SkyWest Airlines Inc.,10779,BTM,Butte, MT,14869,SLC,Salt Lake City, UT,631,7,
50.00,OO,SkyWest Airlines Inc.,11292,DEN,Denver, CO,13198,MCI,Kansas City, MO,629,7,
50.00,OO,SkyWest Airlines Inc.,11298,DFW,Dallas/Fort Worth, TX,10397,ATL,Atlanta, GA,631,7,
50.00,OO,SkyWest Airlines Inc.,11433,DTW,Detroit, MI,13230,MDT,Harrisburg, PA,631,7,
50.00,OO,SkyWest Airlines Inc.,11433,DTW,Detroit, MI,14524,RIC,Richmond, VA,629,7,
50.00,OO,SkyWest Airlines Inc.,11921,GJT,Grand Junction, CO,10372,ASE,Aspen, CO,631,7,
50.00,OO,SkyWest Airlines Inc.,11995,GSO,Greensboro/High Point, NC,14574,ROA,Roanoke, VA,629,7,
50.00,OO,SkyWest Airlines Inc.,12197,HPN,White Plains, NY,13930,ORD,Chicago, IL,629,7,
50.00,OO,SkyWest Airlines Inc.,12266,IAH,Houston, TX,13851,OKC,Oklahoma City, OK,629,7,
50.00,OO,SkyWest Airlines Inc.,12278,ICT,Wichita, KS,13076,LSE,La Crosse, WI,629,7,
50.00,OO,SkyWest Airlines Inc.,12339,IND,Indianapolis, IN,11292,DEN,Denver, CO,629,7,
50.00,OO,SkyWest Airlines Inc.,12992,LIT,Little Rock, AR,11109,COS,Colorado Springs, CO,629,7,
50.00,OO,SkyWest Airlines Inc.,13184,MBS,Saginaw/Bay City/Midland, MI,13487,MSP,Minneapolis, MN,629,7,
50.00,OO,SkyWest Airlines Inc.,13198,MCI,Kansas City, MO,11267,DAY,Dayton, OH,629,7,
50.00,OO,SkyWest Airlines Inc.,13232,MDW,Chicago, IL,13487,MSP,Minneapolis, MN,629,7,
50.00,OO,SkyWest Airlines Inc.,13422,MOB,Mobile, AL,10599,BHM,Birmingham, AL,629,7,
50.00,OO,SkyWest Airlines Inc.,13459,MQT,Marquette, MI,11721,FNT,Flint, MI,629,7,
50.00,OO,SkyWest Airlines Inc.,13485,MSN,Madison, WI,11292,DEN,Denver, CO,629,7,
50.00,OO,SkyWest Airlines Inc.,13487,MSP,Minneapolis, MN,12343,INL,International Falls, MN,638,7,
50.00,OO,SkyWest Airlines Inc.,13487,MSP,Minneapolis, MN,13232,MDW,Chicago, IL,629,7,
50.00,OO,SkyWest Airlines Inc.,13487,MSP,Minneapolis, MN,13871,OMA,Omaha, NE,629,7,
50.00,OO,SkyWest Airlines Inc.,13851,OKC,Oklahoma City, OK,12266,IAH,Houston, TX,629,7,
50.00,OO,SkyWest Airlines Inc.,13930,ORD,Chicago, IL,10431,AVL,Asheville, NC,631,7,
50.00,OO,SkyWest Airlines Inc.,13930,ORD,Chicago, IL,11921,GJT,Grand Junction, CO,631,7,
50.00,OO,SkyWest Airlines Inc.,13930,ORD,Chicago, IL,14457,RAP,Rapid City, SD,673,7,
50.00,OO,SkyWest Airlines Inc.,14252,PSC,Pasco/Kennewick/Richland, WA,10558,BFF,Scottsbluff, NE,629,7,
50.00,OO,SkyWest Airlines Inc.,14252,PSC,Pasco/Kennewick/Richland, WA,12094,HDN,Hayden, CO,629,7,
50.00,OO,SkyWest Airlines Inc.,14457,RAP,Rapid City, SD,11109,COS,Colorado Springs, CO,629,7,
50.00,OO,SkyWest Airlines Inc.,14487,RDD,Redding, CA,10157,ACV,Arcata/Eureka, CA,629,7,
50.00,OO,SkyWest Airlines Inc.,14524,RIC,Richmond, VA,11433,DTW,Detroit, MI,629,7,
50.00,OO,SkyWest Airlines Inc.,14574,ROA,Roanoke, VA,10980,CHA,Chattanooga, TN,629,7,
50.00,OO,SkyWest Airlines Inc.,14685,SAV,Savannah, GA,11433,DTW,Detroit, MI,629,7,
50.00,OO,SkyWest Airlines Inc.,14869,SLC,Salt Lake City, UT,13851,OKC,Oklahoma City, OK,638,7,
50.00,YV,Mesa Airlines Inc.,12264,IAD,Washington, DC,14524,RIC,Richmond, VA,673,7,
50.00,YV,Mesa Airlines Inc.,12951,LFT,Lafayette, LA,12266,IAH,Houston, TX,673,7,
50.00,DL,Delta Air Lines Inc.,12953,LGA,New York, NY,11433,DTW,Detroit, MI,608,7,
51.00,EV,ExpressJet Airlines LLC,13871,OMA,Omaha, NE,12266,IAH,Houston, TX,673,7,
51.00,8E,Bering Air Inc.,10640,BKC,Buckland, AK,11411,DRG,Deering, AK,415,7,
51.00,8E,Bering Air Inc.,11411,DRG,Deering, AK,10640,BKC,Buckland, AK,415,7,
51.00,I4,Scott Air LLC dba Island Air Express,12819,KTN,Ketchikan, AK,12523,JNU,Juneau, AK,479,7,
51.00,H6,Hageland Aviation Service,15861,WTK,Noatak, AK,12844,KVL,Kivalina, AK,416,7,
51.00,G7,GoJet Airlines LLC d/b/a United Express,14869,SLC,Salt Lake City, UT,14489,RDM,Bend/Redmond, OR,631,7,
51.00,G4,Allegiant Air,14730,SDF,Louisville, KY,14098,PHF,Newport News/Williamsburg, VA,694,7,
51.00,MQ,Envoy Air,13930,ORD,Chicago, IL,11637,FAR,Fargo, ND,673,7,
51.00,MQ,Envoy Air,13930,ORD,Chicago, IL,12323,ILM,Wilmington, NC,631,7,
51.00,NK,Spirit Air Lines,12892,LAX,Los Angeles, CA,13495,MSY,New Orleans, LA,694,7,
51.00,NK,Spirit Air Lines,13204,MCO,Orlando, FL,15304,TPA,Tampa, FL,698,7,
51.00,YX,Republic Airline,10994,CHS,Charleston, SC,13931,ORF,Norfolk, VA,673,7,
51.00,YX,Republic Airline,13230,MDT,Harrisburg, PA,12953,LGA,New York, NY,673,7,
51.00,YX,Republic Airline,13487,MSP,Minneapolis, MN,11278,DCA,Washington, DC,677,7,
51.00,9E,Endeavor Air Inc.,13029,LNK,Lincoln, NE,13487,MSP,Minneapolis, MN,638,7,
51.00,9E,Endeavor Air Inc.,15919,XNA,Fayetteville, AR,13029,LNK,Lincoln, NE,638,7,
51.00,4W,Warbelow,14709,SCC,Deadhorse, AK,11630,FAI,Fairbanks, AK,194,7,
51.00,OH,PSA Airlines Inc.,11278,DCA,Washington, DC,13277,MGM,Montgomery, AL,638,7,
51.00,OH,PSA Airlines Inc.,12945,LEX,Lexington, KY,15412,TYS,Knoxville, TN,638,7,
51.00,OH,PSA Airlines Inc.,13360,MLB,Melbourne, FL,15412,TYS,Knoxville, TN,631,7,
51.00,GV,Grant Aviation,10551,BET,Bethel, AK,11550,EMK,Emmonak, AK,416,7,
51.00,GV,Grant Aviation,11336,DLG,Dillingham, AK,10551,BET,Bethel, AK,416,7,
51.00,GV,Grant Aviation,12779,KPN,Kipnuk, AK,11227,CYF,Chefornak, AK,026,7,
51.00,GV,Grant Aviation,13894,OOK,Toksook, AK,15887,WWT,Newtok, AK,416,7,
51.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,11492,EEK,Eek, AK,416,7,
51.00,H6,Hageland Aviation Service,11492,EEK,Eek, AK,10551,BET,Bethel, AK,416,7,
51.00,H6,Hageland Aviation Service,13942,ORV,Noorvik, AK,13970,OTZ,Kotzebue, AK,416,7,
51.00,H6,Hageland Aviation Service,14125,PIZ,Point Lay, AK,10754,BRW,Barrow, AK,416,7,
51.00,OO,SkyWest Airlines Inc.,11111,COU,Columbia, MO,11823,FWA,Fort Wayne, IN,631,7,
51.00,OO,SkyWest Airlines Inc.,12264,IAD,Washington, DC,11433,DTW,Detroit, MI,673,7,
51.00,OO,SkyWest Airlines Inc.,13487,MSP,Minneapolis, MN,13232,MDW,Chicago, IL,638,7,
51.00,OO,SkyWest Airlines Inc.,13930,ORD,Chicago, IL,11337,DLH,Duluth, MN,673,7,
51.00,YV,Mesa Airlines Inc.,12266,IAH,Houston, TX,12896,LBB,Lubbock, TX,673,7,
51.00,9X,Southern Airways Express dba Mokulele Airlines,11421,DSI,Destin, FL,13244,MEM,Memphis, TN,416,7,
51.00,DL,Delta Air Lines Inc.,13495,MSY,New Orleans, LA,12451,JAX,Jacksonville, FL,622,7,
51.00,DL,Delta Air Lines Inc.,14100,PHL,Philadelphia, PA,13487,MSP,Minneapolis, MN,622,7,
52.00,8E,Bering Air Inc.,10139,ABL,Ambler, AK,14804,SHG,Shungnak, AK,415,7,
52.00,8E,Bering Air Inc.,13806,OBU,Kobuk, AK,13970,OTZ,Kotzebue, AK,415,7,
52.00,8E,Bering Air Inc.,14805,SHH,Shishmaref, AK,13873,OME,Nome, AK,415,7,
52.00,8E,Bering Air Inc.,15478,UNK,Unalakleet, AK,13873,OME,Nome, AK,406,7,
