PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,GFQ,Gulf And Caribbean Cargo,12992,LIT,Little Rock, AR,12265,IAG,Niagara Falls, NY,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,12992,LIT,Little Rock, AR,13244,MEM,Memphis, TN,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13029,LNK,Lincoln, NE,11699,FLO,Florence, SC,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13061,LRD,Laredo, TX,11721,FNT,Flint, MI,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13061,LRD,Laredo, TX,11721,FNT,Flint, MI,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13061,LRD,Laredo, TX,12265,IAG,Niagara Falls, NY,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13061,LRD,Laredo, TX,16091,YIP,Detroit, MI,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13198,MCI,Kansas City, MO,11086,CNO,Chino, CA,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13198,MCI,Kansas City, MO,13256,MFE,Mission/McAllen/Edinburg, TX,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13244,MEM,Memphis, TN,13487,MSP,Minneapolis, MN,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13244,MEM,Memphis, TN,15381,TVF,Thief River Falls, MN,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13256,MFE,Mission/McAllen/Edinburg, TX,11823,FWA,Fort Wayne, IN,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13256,MFE,Mission/McAllen/Edinburg, TX,11871,GDC,Greenville, SC,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13256,MFE,Mission/McAllen/Edinburg, TX,14275,PTK,Pontiac, MI,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13256,MFE,Mission/McAllen/Edinburg, TX,14275,PTK,Pontiac, MI,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13256,MFE,Mission/McAllen/Edinburg, TX,16091,YIP,Detroit, MI,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,13256,MFE,Mission/McAllen/Edinburg, TX,16091,YIP,Detroit, MI,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,13487,MSP,Minneapolis, MN,15381,TVF,Thief River Falls, MN,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14004,PAE,Everett, WA,13029,LNK,Lincoln, NE,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14122,PIT,Pittsburgh, PA,14275,PTK,Pontiac, MI,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,10747,BRO,Brownsville, TX,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,10747,BRO,Brownsville, TX,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,10868,CAE,Columbia, SC,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,10994,CHS,Charleston, SC,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,11042,CLE,Cleveland, OH,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,11540,ELP,El Paso, TX,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,12992,LIT,Little Rock, AR,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,13029,LNK,Lincoln, NE,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,13061,LRD,Laredo, TX,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,13061,LRD,Laredo, TX,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,13198,MCI,Kansas City, MO,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,13198,MCI,Kansas City, MO,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,13256,MFE,Mission/McAllen/Edinburg, TX,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,13256,MFE,Mission/McAllen/Edinburg, TX,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,14004,PAE,Everett, WA,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,14275,PTK,Pontiac, MI,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,14275,PTK,Pontiac, MI,14275,PTK,Pontiac, MI,715,3,
0.00,GFQ,Gulf And Caribbean Cargo,15381,TVF,Thief River Falls, MN,12992,LIT,Little Rock, AR,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,15381,TVF,Thief River Falls, MN,13244,MEM,Memphis, TN,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,16091,YIP,Detroit, MI,14275,PTK,Pontiac, MI,629,3,
0.00,GFQ,Gulf And Caribbean Cargo,16091,YIP,Detroit, MI,14275,PTK,Pontiac, MI,715,3,
0.00,H6,Hageland Aviation Service,10139,ABL,Ambler, AK,13970,OTZ,Kotzebue, AK,416,3,
0.00,H6,Hageland Aviation Service,10184,AET,Allakaket, AK,10247,AKP,Anaktuvuk Pass, AK,194,3,
0.00,H6,Hageland Aviation Service,10184,AET,Allakaket, AK,11630,FAI,Fairbanks, AK,194,3,
0.00,H6,Hageland Aviation Service,10225,AIN,Wainwright, AK,10754,BRW,Barrow, AK,416,3,
0.00,H6,Hageland Aviation Service,10225,AIN,Wainwright, AK,14125,PIZ,Point Lay, AK,405,3,
0.00,H6,Hageland Aviation Service,10241,AKI,Akiak, AK,10304,ANI,Aniak, AK,035,3,
0.00,H6,Hageland Aviation Service,10241,AKI,Akiak, AK,10304,ANI,Aniak, AK,035,3,
0.00,H6,Hageland Aviation Service,10247,AKP,Anaktuvuk Pass, AK,10184,AET,Allakaket, AK,194,3,
0.00,H6,Hageland Aviation Service,10247,AKP,Anaktuvuk Pass, AK,10754,BRW,Barrow, AK,405,3,
0.00,H6,Hageland Aviation Service,10247,AKP,Anaktuvuk Pass, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,10304,ANI,Aniak, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,10304,ANI,Aniak, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,10551,BET,Bethel, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,12807,KSM,St. Mary's, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,12807,KSM,St. Mary's, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,13196,MCG,McGrath, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,14895,SMK,St. Michael, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,15478,UNK,Unalakleet, AK,405,3,
0.00,H6,Hageland Aviation Service,10299,ANC,Anchorage, AK,15478,UNK,Unalakleet, AK,405,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,10241,AKI,Akiak, AK,416,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,12087,HCR,Holy Cross, AK,416,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,12676,KGX,Grayling, AK,416,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,12807,KSM,St. Mary's, AK,405,3,
0.00,H6,Hageland Aviation Service,10304,ANI,Aniak, AK,12807,KSM,St. Mary's, AK,405,3,
0.00,H6,Hageland Aviation Service,10396,ATK,Atqasuk, AK,10225,AIN,Wainwright, AK,405,3,
0.00,H6,Hageland Aviation Service,10405,ATT,Atmautluak, AK,10304,ANI,Aniak, AK,035,3,
0.00,H6,Hageland Aviation Service,10405,ATT,Atmautluak, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,10416,AUK,Alakanuk, AK,11550,EMK,Emmonak, AK,416,3,
0.00,H6,Hageland Aviation Service,10416,AUK,Alakanuk, AK,12807,KSM,St. Mary's, AK,035,3,
0.00,H6,Hageland Aviation Service,10416,AUK,Alakanuk, AK,12855,KWT,Kwethluk, AK,416,3,
0.00,H6,Hageland Aviation Service,10416,AUK,Alakanuk, AK,13434,MOU,Mountain Village, AK,035,3,
0.00,H6,Hageland Aviation Service,10416,AUK,Alakanuk, AK,15085,SXP,Sheldon Point, AK,035,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,10241,AKI,Akiak, AK,416,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,10304,ANI,Aniak, AK,405,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,11492,EEK,Eek, AK,416,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,12807,KSM,St. Mary's, AK,405,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,12807,KSM,St. Mary's, AK,035,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,12853,KWN,Quinhagak, AK,035,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,14130,PKA,Napaskiak, AK,035,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,14282,PTU,Platinum, AK,035,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,14627,RSH,Russian Mission, AK,035,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,15085,SXP,Sheldon Point, AK,416,3,
0.00,H6,Hageland Aviation Service,10551,BET,Bethel, AK,15862,WTL,Tuntutuliak, AK,035,3,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,10247,AKP,Anaktuvuk Pass, AK,405,3,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,10396,ATK,Atqasuk, AK,405,3,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,10775,BTI,Barter Island, AK,405,3,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,14102,PHO,Point Hope, AK,405,3,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,14709,SCC,Deadhorse, AK,416,3,
0.00,H6,Hageland Aviation Service,10775,BTI,Barter Island, AK,14709,SCC,Deadhorse, AK,405,3,
0.00,H6,Hageland Aviation Service,11492,EEK,Eek, AK,10241,AKI,Akiak, AK,035,3,
0.00,H6,Hageland Aviation Service,11492,EEK,Eek, AK,15798,WNA,Napakiak, AK,416,3,
0.00,H6,Hageland Aviation Service,11535,ELI,Elim, AK,13873,OME,Nome, AK,416,3,
0.00,H6,Hageland Aviation Service,11535,ELI,Elim, AK,15794,WMO,White Mountain, AK,416,3,
0.00,H6,Hageland Aviation Service,11550,EMK,Emmonak, AK,10416,AUK,Alakanuk, AK,035,3,
0.00,H6,Hageland Aviation Service,11550,EMK,Emmonak, AK,13873,OME,Nome, AK,405,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10184,AET,Allakaket, AK,194,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10247,AKP,Anaktuvuk Pass, AK,194,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10247,AKP,Anaktuvuk Pass, AK,405,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10247,AKP,Anaktuvuk Pass, AK,405,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,11844,GAL,Galena, AK,194,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,12615,KAL,Kaltag, AK,405,3,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,14709,SCC,Deadhorse, AK,405,3,
0.00,H6,Hageland Aviation Service,11833,FYU,Fort Yukon, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,11630,FAI,Fairbanks, AK,194,3,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,13873,OME,Nome, AK,405,3,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,13970,OTZ,Kotzebue, AK,405,3,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,14474,RBY,Ruby, AK,194,3,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,14804,SHG,Shungnak, AK,194,3,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,15478,UNK,Unalakleet, AK,416,3,
0.00,H6,Hageland Aviation Service,11952,GNU,Goodnews Bay, AK,12853,KWN,Quinhagak, AK,035,3,
0.00,H6,Hageland Aviation Service,11952,GNU,Goodnews Bay, AK,14130,PKA,Napaskiak, AK,035,3,
0.00,H6,Hageland Aviation Service,12087,HCR,Holy Cross, AK,10304,ANI,Aniak, AK,416,3,
0.00,H6,Hageland Aviation Service,12087,HCR,Holy Cross, AK,10313,ANV,Anvik, AK,035,3,
0.00,H6,Hageland Aviation Service,12087,HCR,Holy Cross, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,12087,HCR,Holy Cross, AK,10996,CHU,Chuathbaluk, AK,035,3,
0.00,H6,Hageland Aviation Service,12195,HPB,Hooper Bay, AK,12807,KSM,St. Mary's, AK,035,3,
0.00,H6,Hageland Aviation Service,12195,HPB,Hooper Bay, AK,12853,KWN,Quinhagak, AK,416,3,
0.00,H6,Hageland Aviation Service,12195,HPB,Hooper Bay, AK,14718,SCM,Scammon Bay, AK,035,3,
0.00,H6,Hageland Aviation Service,12195,HPB,Hooper Bay, AK,15554,VAK,Chevak, AK,416,3,
0.00,H6,Hageland Aviation Service,12214,HSL,Huslia, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,12214,HSL,Huslia, AK,13873,OME,Nome, AK,194,3,
0.00,H6,Hageland Aviation Service,12214,HSL,Huslia, AK,13970,OTZ,Kotzebue, AK,405,3,
0.00,H6,Hageland Aviation Service,12268,IAN,Kiana, AK,13970,OTZ,Kotzebue, AK,416,3,
0.00,H6,Hageland Aviation Service,12615,KAL,Kaltag, AK,10304,ANI,Aniak, AK,416,3,
0.00,H6,Hageland Aviation Service,12615,KAL,Kaltag, AK,15478,UNK,Unalakleet, AK,194,3,
0.00,H6,Hageland Aviation Service,12676,KGX,Grayling, AK,12087,HCR,Holy Cross, AK,416,3,
0.00,H6,Hageland Aviation Service,12676,KGX,Grayling, AK,12807,KSM,St. Mary's, AK,035,3,
0.00,H6,Hageland Aviation Service,12704,KKA,Koyuk, AK,11941,GLV,Golovin, AK,416,3,
0.00,H6,Hageland Aviation Service,12708,KKH,Kongiganak, AK,14130,PKA,Napaskiak, AK,416,3,
0.00,H6,Hageland Aviation Service,12709,KKI,Akiachak, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,12709,KKI,Akiachak, AK,12831,KUK,Kasigluk, AK,035,3,
0.00,H6,Hageland Aviation Service,12769,KOT,Kotlik, AK,15478,UNK,Unalakleet, AK,035,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10551,BET,Bethel, AK,416,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11550,EMK,Emmonak, AK,416,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,12195,HPB,Hooper Bay, AK,035,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,14718,SCM,Scammon Bay, AK,035,3,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,14718,SCM,Scammon Bay, AK,416,3,
0.00,H6,Hageland Aviation Service,12831,KUK,Kasigluk, AK,10241,AKI,Akiak, AK,035,3,
0.00,H6,Hageland Aviation Service,12831,KUK,Kasigluk, AK,13369,MLL,Marshall, AK,035,3,
0.00,H6,Hageland Aviation Service,12831,KUK,Kasigluk, AK,15798,WNA,Napakiak, AK,035,3,
0.00,H6,Hageland Aviation Service,12844,KVL,Kivalina, AK,13970,OTZ,Kotzebue, AK,416,3,
0.00,H6,Hageland Aviation Service,12851,KWK,Kwigillingok, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,12851,KWK,Kwigillingok, AK,11227,CYF,Chefornak, AK,416,3,
0.00,H6,Hageland Aviation Service,12851,KWK,Kwigillingok, AK,11492,EEK,Eek, AK,035,3,
0.00,H6,Hageland Aviation Service,12851,KWK,Kwigillingok, AK,15862,WTL,Tuntutuliak, AK,035,3,
0.00,H6,Hageland Aviation Service,12853,KWN,Quinhagak, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,12853,KWN,Quinhagak, AK,12831,KUK,Kasigluk, AK,035,3,
0.00,H6,Hageland Aviation Service,12853,KWN,Quinhagak, AK,15798,WNA,Napakiak, AK,035,3,
0.00,H6,Hageland Aviation Service,12868,KYU,Koyukuk, AK,11844,GAL,Galena, AK,416,3,
0.00,H6,Hageland Aviation Service,13196,MCG,McGrath, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,13196,MCG,McGrath, AK,15478,UNK,Unalakleet, AK,405,3,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,10416,AUK,Alakanuk, AK,035,3,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,12676,KGX,Grayling, AK,416,3,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,12709,KKI,Akiachak, AK,035,3,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,14234,PQS,Pilot Station, AK,416,3,
0.00,H6,Hageland Aviation Service,13434,MOU,Mountain Village, AK,12769,KOT,Kotlik, AK,416,3,
0.00,H6,Hageland Aviation Service,13434,MOU,Mountain Village, AK,15085,SXP,Sheldon Point, AK,035,3,
0.00,H6,Hageland Aviation Service,13767,NUI,Nuiqsut, AK,14709,SCC,Deadhorse, AK,405,3,
0.00,H6,Hageland Aviation Service,13768,NUL,Nulato, AK,12704,KKA,Koyuk, AK,416,3,
0.00,H6,Hageland Aviation Service,13770,NUP,Nunapitchuk, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,13806,OBU,Kobuk, AK,13970,OTZ,Kotzebue, AK,416,3,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,10247,AKP,Anaktuvuk Pass, AK,405,3,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,12769,KOT,Kotlik, AK,194,3,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,14856,SKK,Shaktoolik, AK,194,3,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,15478,UNK,Unalakleet, AK,416,3,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,15709,WAA,Wales, AK,405,3,
0.00,H6,Hageland Aviation Service,13894,OOK,Toksook, AK,10551,BET,Bethel, AK,416,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,10139,ABL,Ambler, AK,194,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,10139,ABL,Ambler, AK,416,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,10754,BRW,Barrow, AK,405,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,11411,DRG,Deering, AK,416,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,12844,KVL,Kivalina, AK,194,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,12844,KVL,Kivalina, AK,416,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,13806,OBU,Kobuk, AK,194,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,13942,ORV,Noorvik, AK,405,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,14804,SHG,Shungnak, AK,416,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,14805,SHH,Shishmaref, AK,405,3,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,15861,WTK,Noatak, AK,194,3,
0.00,H6,Hageland Aviation Service,14102,PHO,Point Hope, AK,10754,BRW,Barrow, AK,405,3,
0.00,H6,Hageland Aviation Service,14102,PHO,Point Hope, AK,10754,BRW,Barrow, AK,416,3,
0.00,H6,Hageland Aviation Service,14125,PIZ,Point Lay, AK,10247,AKP,Anaktuvuk Pass, AK,405,3,
0.00,H6,Hageland Aviation Service,14125,PIZ,Point Lay, AK,10754,BRW,Barrow, AK,405,3,
0.00,H6,Hageland Aviation Service,14125,PIZ,Point Lay, AK,13873,OME,Nome, AK,405,3,
0.00,H6,Hageland Aviation Service,14125,PIZ,Point Lay, AK,13970,OTZ,Kotzebue, AK,416,3,
0.00,H6,Hageland Aviation Service,14130,PKA,Napaskiak, AK,12709,KKI,Akiachak, AK,035,3,
0.00,H6,Hageland Aviation Service,14130,PKA,Napaskiak, AK,12855,KWT,Kwethluk, AK,035,3,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,10304,ANI,Aniak, AK,035,3,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,10304,ANI,Aniak, AK,035,3,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,12769,KOT,Kotlik, AK,035,3,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,13369,MLL,Marshall, AK,035,3,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,14627,RSH,Russian Mission, AK,035,3,
0.00,H6,Hageland Aviation Service,14282,PTU,Platinum, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,14474,RBY,Ruby, AK,12214,HSL,Huslia, AK,194,3,
0.00,H6,Hageland Aviation Service,14474,RBY,Ruby, AK,15478,UNK,Unalakleet, AK,416,3,
0.00,H6,Hageland Aviation Service,14627,RSH,Russian Mission, AK,10241,AKI,Akiak, AK,416,3,
0.00,H6,Hageland Aviation Service,14627,RSH,Russian Mission, AK,14234,PQS,Pilot Station, AK,416,3,
0.00,H6,Hageland Aviation Service,14709,SCC,Deadhorse, AK,10247,AKP,Anaktuvuk Pass, AK,405,3,
0.00,H6,Hageland Aviation Service,14709,SCC,Deadhorse, AK,10754,BRW,Barrow, AK,405,3,
0.00,H6,Hageland Aviation Service,14718,SCM,Scammon Bay, AK,12195,HPB,Hooper Bay, AK,416,3,
0.00,H6,Hageland Aviation Service,14718,SCM,Scammon Bay, AK,12807,KSM,St. Mary's, AK,035,3,
0.00,H6,Hageland Aviation Service,14718,SCM,Scammon Bay, AK,12807,KSM,St. Mary's, AK,416,3,
0.00,H6,Hageland Aviation Service,14804,SHG,Shungnak, AK,11630,FAI,Fairbanks, AK,194,3,
0.00,H6,Hageland Aviation Service,14804,SHG,Shungnak, AK,11844,GAL,Galena, AK,194,3,
0.00,H6,Hageland Aviation Service,14805,SHH,Shishmaref, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,14880,SLQ,Sleetmute, AK,10304,ANI,Aniak, AK,416,3,
0.00,H6,Hageland Aviation Service,14880,SLQ,Sleetmute, AK,14493,RDV,Red Devil, AK,416,3,
0.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,12807,KSM,St. Mary's, AK,035,3,
0.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,15478,UNK,Unalakleet, AK,416,3,
0.00,H6,Hageland Aviation Service,14987,SRV,Stony River, AK,14493,RDV,Red Devil, AK,416,3,
0.00,H6,Hageland Aviation Service,14987,SRV,Stony River, AK,14880,SLQ,Sleetmute, AK,035,3,
0.00,H6,Hageland Aviation Service,14987,SRV,Stony River, AK,14880,SLQ,Sleetmute, AK,416,3,
0.00,H6,Hageland Aviation Service,15085,SXP,Sheldon Point, AK,12807,KSM,St. Mary's, AK,035,3,
0.00,H6,Hageland Aviation Service,15085,SXP,Sheldon Point, AK,12807,KSM,St. Mary's, AK,416,3,
0.00,H6,Hageland Aviation Service,15085,SXP,Sheldon Point, AK,13434,MOU,Mountain Village, AK,416,3,
0.00,H6,Hageland Aviation Service,15282,TNK,Tununak, AK,11227,CYF,Chefornak, AK,416,3,
0.00,H6,Hageland Aviation Service,15293,TOG,Togiak, AK,10551,BET,Bethel, AK,035,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,10299,ANC,Anchorage, AK,405,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,11630,FAI,Fairbanks, AK,405,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,11844,GAL,Galena, AK,194,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,12615,KAL,Kaltag, AK,416,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,12704,KKA,Koyuk, AK,194,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,12769,KOT,Kotlik, AK,416,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,12868,KYU,Koyukuk, AK,416,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,13768,NUL,Nulato, AK,416,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,14234,PQS,Pilot Station, AK,416,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,14895,SMK,St. Michael, AK,405,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,15721,WBB,Stebbins, AK,035,3,
0.00,H6,Hageland Aviation Service,15478,UNK,Unalakleet, AK,15794,WMO,White Mountain, AK,416,3,
0.00,H6,Hageland Aviation Service,15554,VAK,Chevak, AK,10416,AUK,Alakanuk, AK,416,3,
0.00,H6,Hageland Aviation Service,15554,VAK,Chevak, AK,15478,UNK,Unalakleet, AK,416,3,
0.00,H6,Hageland Aviation Service,15709,WAA,Wales, AK,13873,OME,Nome, AK,194,3,
0.00,H6,Hageland Aviation Service,15709,WAA,Wales, AK,13873,OME,Nome, AK,405,3,
