PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,KAQ,Kalitta Air LLC,10299,ANC,Anchorage, AK,11193,CVG,Cincinnati, OH,819,3,
0.00,KAQ,Kalitta Air LLC,10299,ANC,Anchorage, AK,13930,ORD,Chicago, IL,819,3,
0.00,KAQ,Kalitta Air LLC,10397,ATL,Atlanta, GA,13930,ORD,Chicago, IL,819,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,10299,ANC,Anchorage, AK,819,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,11298,DFW,Dallas/Fort Worth, TX,626,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,11433,DTW,Detroit, MI,626,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,11540,ELP,El Paso, TX,626,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,12892,LAX,Los Angeles, CA,819,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,13930,ORD,Chicago, IL,626,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,14747,SEA,Seattle, WA,626,3,
0.00,KAQ,Kalitta Air LLC,11298,DFW,Dallas/Fort Worth, TX,11193,CVG,Cincinnati, OH,626,3,
0.00,KAQ,Kalitta Air LLC,11298,DFW,Dallas/Fort Worth, TX,11540,ELP,El Paso, TX,626,3,
0.00,KAQ,Kalitta Air LLC,11298,DFW,Dallas/Fort Worth, TX,14683,SAT,San Antonio, TX,626,3,
0.00,KAQ,Kalitta Air LLC,11433,DTW,Detroit, MI,11193,CVG,Cincinnati, OH,626,3,
0.00,KAQ,Kalitta Air LLC,11433,DTW,Detroit, MI,13487,MSP,Minneapolis, MN,626,3,
0.00,KAQ,Kalitta Air LLC,11540,ELP,El Paso, TX,11193,CVG,Cincinnati, OH,626,3,
0.00,KAQ,Kalitta Air LLC,11540,ELP,El Paso, TX,13061,LRD,Laredo, TX,626,3,
0.00,KAQ,Kalitta Air LLC,12173,HNL,Honolulu, HI,12758,KOA,Kona, HI,819,3,
0.00,KAQ,Kalitta Air LLC,12173,HNL,Honolulu, HI,12892,LAX,Los Angeles, CA,819,3,
