Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218055, 24, 0, 0
01-20, 2, 19219953, 22, 1, 0
01-20, 3, 19219931, 42, 3, 0
01-20, 3, 19221830, 40, 3, 0
01-20, 4, 19221809, 41, 23, 0
01-20, 4, 19223707, 40, 23, 0
01-20, 5, 19223699, 30, 40, 1
01-20, 5, 19225595, 31, 40, 1
01-20, 6, 19225573, 40, 52, 2
01-20, 6, 19227470, 40, 52, 2
01-20, 7, 19227448, 44, 68, 4
01-20, 7, 19229346, 44, 67, 4
01-20, 8, 19229336, 37, 82, 6
01-20, 8, 19231234, 37, 81, 6
01-20, 9, 19231220, 37, 91, 10
01-20, 9, 19233117, 37, 91, 10
01-20, 10, 19233091, 50, 101, 13
01-20, 10, 19234989, 50, 100, 13
01-20, 11, 19234969, 48, 120, 15
01-20, 11, 19236863, 51, 120, 15
01-20, 12, 19236841, 50, 138, 20
01-20, 12, 19238737, 51, 138, 20
01-20, 13, 19238721, 48, 153, 24
01-20, 13, 19240620, 47, 152, 24
01-20, 14, 19240605, 43, 169, 26
01-20, 14, 19242498, 44, 172, 26
01-20, 15, 19242479, 47, 177, 37
01-20, 15, 19244378, 47, 175, 37
01-20, 16, 19244369, 34, 193, 41
01-20, 16, 19246265, 34, 193, 42
01-20, 17, 19246236, 51, 198, 49
01-20, 17, 19248131, 51, 199, 50
01-20, 18, 19248116, 51, 208, 56
01-20, 18, 19250014, 50, 207, 57
01-20, 19, 19249996, 45, 217, 70
01-20, 19, 19251891, 44, 219, 71
01-20, 20, 19251873, 46, 219, 87
01-20, 20, 19253766, 46, 222, 88
01-20, 21, 19253745, 50, 229, 98
01-20, 21, 19255644, 50, 227, 98
01-20, 22, 19255624, 48, 241, 106
01-20, 22, 19257523, 48, 239, 106
01-20, 23, 19257485, 68, 247, 116
01-20, 23, 19259386, 66, 244, 117
01-20, 24, 19259364, 58, 269, 122
01-20, 24, 19261256, 60, 271, 123
01-20, 25, 19261235, 54, 287, 134
01-20, 25, 19263131, 55, 287, 134
01-20, 26, 19263105, 61, 291, 150
01-20, 26, 19265003, 61, 290, 150
01-20, 27, 19264961, 77, 302, 164
01-20, 27, 19266856, 78, 303, 164
01-20, 28, 19266817, 88, 326, 170
01-20, 28, 19268710, 89, 328, 171
01-20, 29, 19268670, 90, 358, 180
01-20, 29, 19270561, 90, 364, 180
01-20, 30, 19270532, 76, 396, 191
01-20, 30, 19272421, 80, 400, 191
01-20, 31, 19272381, 85, 427, 199
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213781, 13, 0, 0
01-20, 2, 13212776, 13, 0, 0
01-20, 3, 13212767, 14, 8, 0
01-20, 3, 13211761, 14, 9, 0
01-20, 4, 13211741, 30, 12, 1
01-20, 4, 13210736, 29, 13, 1
01-20, 5, 13210714, 41, 22, 2
01-20, 5, 13209709, 39, 24, 2
01-20, 6, 13209693, 38, 40, 3
01-20, 6, 13208687, 38, 41, 3
01-20, 7, 13208680, 31, 55, 3
01-20, 7, 13207674, 32, 54, 4
01-20, 8, 13207660, 36, 61, 7
01-20, 8, 13206652, 37, 63, 7
01-20, 9, 13206637, 36, 76, 10
01-20, 9, 13205631, 36, 76, 11
01-20, 10, 13205623, 33, 85, 13
01-20, 10, 13204613, 35, 88, 13
01-20, 11, 13204603, 29, 102, 15
01-20, 11, 13203592, 32, 105, 15
01-20, 12, 13203572, 37, 115, 20
01-20, 12, 13202569, 37, 114, 19
01-20, 13, 13202555, 36, 125, 23
01-20, 13, 13201547, 39, 126, 22
01-20, 14, 13201530, 36, 145, 23
01-20, 14, 13200527, 36, 144, 22
01-20, 15, 13200511, 36, 155, 27
01-20, 15, 13199509, 36, 153, 26
01-20, 16, 13199497, 31, 167, 29
01-20, 16, 13198493, 31, 166, 29
01-20, 17, 13198473, 35, 173, 38
01-20, 17, 13197470, 35, 171, 38
01-20, 18, 13197443, 42, 186, 43
01-20, 18, 13196438, 43, 185, 43
01-20, 19, 13196419, 41, 198, 51
01-20, 19, 13195415, 41, 197, 51
01-20, 20, 13195393, 44, 203, 64
01-20, 20, 13194389, 45, 201, 64
01-20, 21, 13194367, 47, 211, 74
01-20, 21, 13193364, 47, 208, 75
01-20, 22, 13193335, 56, 219, 84
01-20, 22, 13192332, 57, 217, 83
01-20, 23, 13192313, 51, 232, 93
