Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218064, 15, 0, 0
01-20, 2, 19219961, 15, 0, 0
01-20, 3, 19219941, 29, 6, 0
01-20, 3, 19221839, 28, 6, 0
01-20, 4, 19221816, 33, 24, 0
01-20, 4, 19223714, 32, 24, 0
01-20, 5, 19223696, 35, 39, 0
01-20, 5, 19225594, 35, 38, 0
01-20, 6, 19225581, 41, 44, 1
01-20, 6, 19227479, 41, 43, 1
01-20, 7, 19227468, 36, 58, 2
01-20, 7, 19229367, 34, 58, 2
01-20, 8, 19229350, 39, 70, 2
01-20, 8, 19231248, 38, 70, 2
01-20, 9, 19231231, 38, 83, 6
01-20, 9, 19233129, 38, 82, 6
01-20, 10, 19233113, 36, 100, 6
01-20, 10, 19235009, 36, 100, 7
01-20, 11, 19234991, 41, 110, 10
01-20, 11, 19236887, 41, 110, 11
01-20, 12, 19236862, 46, 127, 14
01-20, 12, 19238758, 48, 126, 14
01-20, 13, 19238743, 43, 144, 16
01-20, 13, 19240639, 44, 144, 16
01-20, 14, 19240623, 48, 153, 19
01-20, 14, 19242517, 49, 155, 19
01-20, 15, 19242498, 54, 165, 23
01-20, 15, 19244394, 54, 166, 23
01-20, 16, 19244370, 53, 187, 27
01-20, 16, 19246269, 52, 186, 27
01-20, 17, 19246246, 54, 200, 34
01-20, 17, 19248146, 53, 198, 34
01-20, 18, 19248130, 49, 213, 39
01-20, 18, 19250025, 50, 213, 40
01-20, 19, 19250005, 49, 220, 54
01-20, 19, 19251901, 51, 220, 53
01-20, 20, 19251883, 50, 227, 65
01-20, 20, 19253780, 51, 227, 64
01-20, 21, 19253742, 71, 240, 69
01-20, 21, 19255641, 71, 238, 69
01-20, 22, 19255624, 57, 260, 78
01-20, 22, 19257522, 58, 258, 78
01-20, 23, 19257488, 72, 265, 91
01-20, 23, 19259387, 71, 263, 92
01-20, 24, 19259365, 68, 281, 99
01-20, 24, 19261260, 69, 282, 99
01-20, 25, 19261228, 80, 290, 112
01-20, 25, 19263121, 81, 293, 112
01-20, 26, 19263087, 79, 323, 118
01-20, 26, 19264982, 80, 322, 120
01-20, 27, 19264953, 74, 347, 130
01-20, 27, 19266849, 74, 349, 129
01-20, 28, 19266820, 76, 363, 142
01-20, 28, 19268713, 76, 366, 143
01-20, 29, 19268688, 80, 376, 154
01-20, 29, 19270578, 84, 379, 154
01-20, 30, 19270543, 92, 391, 169
01-20, 30, 19272439, 92, 390, 171
01-20, 31, 19272393, 100, 410, 189
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213783, 11, 0, 0
01-20, 2, 13212778, 11, 0, 0
01-20, 3, 13212763, 23, 3, 0
01-20, 3, 13211758, 23, 3, 0
01-20, 4, 13211749, 25, 10, 0
01-20, 4, 13210744, 25, 10, 0
01-20, 5, 13210737, 25, 17, 0
01-20, 5, 13209732, 25, 17, 0
01-20, 6, 13209722, 26, 26, 0
01-20, 6, 13208717, 26, 26, 0
01-20, 7, 13208699, 31, 37, 2
01-20, 7, 13207693, 31, 38, 2
01-20, 8, 13207681, 31, 46, 6
01-20, 8, 13206677, 30, 46, 6
01-20, 9, 13206660, 37, 55, 7
01-20, 9, 13205655, 37, 55, 7
01-20, 10, 13205644, 35, 65, 10
01-20, 10, 13204638, 35, 66, 10
01-20, 11, 13204629, 31, 79, 10
01-20, 11, 13203623, 32, 79, 10
01-20, 12, 13203605, 41, 84, 14
01-20, 12, 13202600, 42, 84, 13
01-20, 13, 13202587, 39, 92, 21
01-20, 13, 13201583, 39, 92, 20
01-20, 14, 13201571, 34, 107, 22
01-20, 14, 13200566, 34, 107, 22
01-20, 15, 13200553, 28, 122, 26
01-20, 15, 13199549, 28, 121, 26
01-20, 16, 13199533, 34, 123, 34
01-20, 16, 13198527, 34, 123, 35
01-20, 17, 13198520, 31, 127, 41
01-20, 17, 13197515, 31, 127, 41
01-20, 18, 13197502, 33, 134, 45
01-20, 18, 13196496, 33, 135, 45
01-20, 19, 13196480, 31, 148, 50
01-20, 19, 13195479, 31, 145, 49
01-20, 20, 13195465, 31, 153, 55
01-20, 20, 13194463, 32, 150, 54
01-20, 21, 13194456, 22, 160, 61
01-20, 21, 13193450, 23, 160, 61
01-20, 22, 13193435, 28, 164, 67
01-20, 22, 13192428, 28, 166, 67
01-20, 23, 13192403, 44, 169, 73
