Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218061, 18, 0, 0
01-20, 2, 19219958, 18, 0, 0
01-20, 3, 19219938, 30, 8, 0
01-20, 3, 19221836, 29, 8, 0
01-20, 4, 19221813, 43, 17, 0
01-20, 4, 19223708, 44, 18, 0
01-20, 5, 19223684, 55, 31, 0
01-20, 5, 19225581, 54, 32, 0
01-20, 6, 19225569, 44, 52, 2
01-20, 6, 19227465, 45, 52, 2
01-20, 7, 19227449, 42, 71, 2
01-20, 7, 19229346, 42, 71, 2
01-20, 8, 19229331, 41, 83, 6
01-20, 8, 19231227, 43, 82, 6
01-20, 9, 19231203, 53, 91, 11
01-20, 9, 19233097, 53, 94, 11
01-20, 10, 19233082, 48, 107, 18
01-20, 10, 19234974, 50, 110, 18
01-20, 11, 19234955, 49, 125, 23
01-20, 11, 19236848, 50, 128, 23
01-20, 12, 19236826, 58, 136, 29
01-20, 12, 19238722, 59, 136, 29
01-20, 13, 19238701, 54, 156, 35
01-20, 13, 19240596, 54, 158, 35
01-20, 14, 19240575, 55, 176, 37
01-20, 14, 19242471, 56, 176, 37
01-20, 15, 19242446, 62, 188, 44
01-20, 15, 19244341, 63, 189, 44
01-20, 16, 19244317, 62, 209, 49
01-20, 16, 19246213, 63, 209, 49
01-20, 17, 19246196, 64, 220, 54
01-20, 17, 19248090, 65, 221, 55
01-20, 18, 19248069, 59, 244, 59
01-20, 18, 19249966, 60, 243, 59
01-20, 19, 19249944, 58, 259, 67
01-20, 19, 19251838, 59, 260, 68
01-20, 20, 19251820, 56, 271, 78
01-20, 20, 19253715, 56, 272, 79
01-20, 21, 19253693, 55, 283, 91
01-20, 21, 19255585, 57, 286, 91
01-20, 22, 19255562, 61, 293, 103
01-20, 22, 19257456, 62, 295, 103
01-20, 23, 19257423, 74, 308, 111
01-20, 23, 19259317, 74, 310, 112
01-20, 24, 19259281, 88, 322, 122
01-20, 24, 19261176, 88, 323, 123
01-20, 25, 19261145, 81, 355, 129
01-20, 25, 19263041, 84, 355, 127
01-20, 26, 19262995, 97, 381, 134
01-20, 26, 19264889, 96, 385, 134
01-20, 27, 19264852, 98, 411, 143
01-20, 27, 19266750, 99, 412, 140
01-20, 28, 19266703, 110, 432, 156
01-20, 28, 19268598, 112, 432, 156
01-20, 29, 19268548, 110, 458, 182
01-20, 29, 19270441, 111, 461, 182
01-20, 30, 19270390, 114, 496, 195
01-20, 30, 19272286, 115, 494, 197
01-20, 31, 19272243, 109, 532, 208
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213779, 15, 0, 0
01-20, 2, 13212774, 15, 0, 0
01-20, 3, 13212760, 23, 6, 0
01-20, 3, 13211754, 24, 6, 0
01-20, 4, 13211738, 27, 17, 2
01-20, 4, 13210732, 27, 18, 2
01-20, 5, 13210714, 33, 29, 3
01-20, 5, 13209708, 34, 29, 3
01-20, 6, 13209689, 41, 39, 5
01-20, 6, 13208684, 41, 39, 5
01-20, 7, 13208667, 43, 54, 5
01-20, 7, 13207661, 43, 55, 5
01-20, 8, 13207650, 39, 69, 6
01-20, 8, 13206645, 39, 69, 6
01-20, 9, 13206632, 37, 82, 8
01-20, 9, 13205628, 37, 81, 8
01-20, 10, 13205618, 35, 90, 11
01-20, 10, 13204614, 35, 89, 11
01-20, 11, 13204605, 33, 98, 13
01-20, 11, 13203600, 33, 98, 13
01-20, 12, 13203588, 32, 108, 16
01-20, 12, 13202581, 32, 110, 16
01-20, 13, 13202572, 27, 122, 18
01-20, 13, 13201563, 28, 124, 19
01-20, 14, 13201544, 37, 131, 22
01-20, 14, 13200534, 38, 135, 22
01-20, 15, 13200514, 40, 141, 34
01-20, 15, 13199508, 40, 142, 34
01-20, 16, 13199493, 45, 148, 38
01-20, 16, 13198485, 46, 150, 38
01-20, 17, 13198468, 45, 161, 45
01-20, 17, 13197463, 44, 162, 45
01-20, 18, 13197442, 52, 171, 49
01-20, 18, 13196439, 51, 170, 49
01-20, 19, 13196418, 49, 187, 55
01-20, 19, 13195410, 50, 189, 55
01-20, 20, 13195399, 40, 203, 62
01-20, 20, 13194393, 41, 202, 63
01-20, 21, 13194371, 52, 202, 74
01-20, 21, 13193364, 53, 203, 74
01-20, 22, 13193351, 36, 229, 78
01-20, 22, 13192347, 36, 228, 78
01-20, 23, 13192324, 43, 237, 85
