Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218064, 15, 0, 0
01-20, 2, 19219961, 15, 0, 0
01-20, 3, 19219936, 32, 8, 0
01-20, 3, 19221831, 33, 9, 0
01-20, 4, 19221813, 40, 19, 1
01-20, 4, 19223710, 40, 19, 1
01-20, 5, 19223689, 42, 38, 1
01-20, 5, 19225586, 41, 39, 1
01-20, 6, 19225555, 59, 50, 3
01-20, 6, 19227451, 59, 51, 3
01-20, 7, 19227439, 43, 79, 3
01-20, 7, 19229339, 43, 76, 3
01-20, 8, 19229319, 45, 93, 4
01-20, 8, 19231218, 45, 91, 4
01-20, 9, 19231197, 51, 101, 9
01-20, 9, 19233097, 52, 97, 9
01-20, 10, 19233075, 54, 116, 10
01-20, 10, 19234975, 54, 112, 11
01-20, 11, 19234951, 51, 133, 17
01-20, 11, 19236854, 51, 127, 17
01-20, 12, 19236831, 51, 145, 22
01-20, 12, 19238732, 50, 142, 22
01-20, 13, 19238713, 51, 153, 29
01-20, 13, 19240613, 51, 153, 26
01-20, 14, 19240594, 56, 160, 33
01-20, 14, 19242495, 56, 159, 30
01-20, 15, 19242474, 57, 176, 33
01-20, 15, 19244376, 57, 174, 30
01-20, 16, 19244353, 65, 184, 35
01-20, 16, 19246256, 65, 181, 32
01-20, 17, 19246238, 62, 198, 36
01-20, 17, 19248139, 63, 196, 33
01-20, 18, 19248112, 60, 216, 43
01-20, 18, 19250014, 60, 214, 40
01-20, 19, 19249993, 56, 228, 51
01-20, 19, 19251896, 56, 225, 48
01-20, 20, 19251868, 59, 245, 53
01-20, 20, 19253770, 59, 243, 50
01-20, 21, 19253746, 65, 254, 57
01-20, 21, 19255646, 65, 254, 54
01-20, 22, 19255619, 68, 270, 62
01-20, 22, 19257519, 68, 270, 59
01-20, 23, 19257487, 75, 281, 73
01-20, 23, 19259389, 75, 278, 71
01-20, 24, 19259356, 81, 293, 83
01-20, 24, 19261257, 81, 292, 80
01-20, 25, 19261234, 70, 317, 89
01-20, 25, 19263132, 71, 318, 86
01-20, 26, 19263104, 67, 330, 106
01-20, 26, 19265009, 67, 325, 103
01-20, 27, 19264980, 72, 343, 109
01-20, 27, 19266881, 73, 341, 106
01-20, 28, 19266846, 77, 362, 116
01-20, 28, 19268745, 79, 361, 113
01-20, 29, 19268712, 76, 387, 123
01-20, 29, 19270608, 78, 387, 122
01-20, 30, 19270560, 97, 402, 136
01-20, 30, 19272458, 97, 403, 134
01-20, 31, 19272412, 109, 415, 156
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213784, 10, 0, 0
01-20, 2, 13212778, 11, 0, 0
01-20, 3, 13212766, 19, 4, 0
01-20, 3, 13211761, 19, 4, 0
01-20, 4, 13211756, 20, 8, 0
01-20, 4, 13210751, 20, 8, 0
01-20, 5, 13210739, 27, 13, 0
01-20, 5, 13209734, 27, 13, 0
01-20, 6, 13209719, 29, 26, 0
01-20, 6, 13208715, 28, 26, 0
01-20, 7, 13208706, 28, 34, 1
01-20, 7, 13207701, 28, 34, 1
01-20, 8, 13207686, 36, 41, 1
01-20, 8, 13206682, 36, 40, 1
01-20, 9, 13206668, 33, 56, 2
01-20, 9, 13205664, 34, 54, 2
01-20, 10, 13205649, 30, 71, 4
01-20, 10, 13204645, 30, 70, 4
01-20, 11, 13204633, 30, 81, 5
01-20, 11, 13203628, 30, 81, 5
01-20, 12, 13203620, 26, 89, 9
01-20, 12, 13202615, 27, 88, 9
01-20, 13, 13202600, 31, 97, 11
01-20, 13, 13201595, 31, 97, 11
01-20, 14, 13201582, 38, 100, 14
01-20, 14, 13200576, 38, 101, 14
01-20, 15, 13200566, 34, 112, 17
01-20, 15, 13199560, 34, 113, 17
01-20, 16, 13199538, 42, 121, 23
01-20, 16, 13198533, 42, 120, 24
01-20, 17, 13198524, 35, 134, 26
01-20, 17, 13197515, 35, 137, 27
01-20, 18, 13197504, 28, 148, 34
01-20, 18, 13196494, 29, 151, 35
01-20, 19, 13196483, 23, 163, 40
01-20, 19, 13195476, 23, 164, 41
01-20, 20, 13195453, 37, 169, 45
01-20, 20, 13194448, 37, 169, 45
01-20, 21, 13194433, 38, 177, 51
01-20, 21, 13193427, 39, 177, 51
01-20, 22, 13193410, 39, 191, 54
01-20, 22, 13192400, 39, 195, 55
01-20, 23, 13192380, 46, 199, 64
