Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 13, 9513450, 0, 1, 0
01-20, 13, 9518026, 0, 1, 0
01-20, 14, 9518026, 0, 1, 0
01-20, 14, 9522602, 0, 1, 0
01-20, 15, 9522602, 0, 1, 0
01-20, 15, 9527178, 0, 1, 0
01-20, 16, 9527178, 0, 1, 0
01-20, 16, 9531754, 0, 1, 0
01-20, 17, 9531754, 0, 1, 0
01-20, 17, 9536330, 0, 1, 0
01-20, 18, 9536330, 0, 1, 0
01-20, 18, 9540906, 0, 1, 0
01-20, 19, 9540906, 0, 1, 0
01-20, 19, 9545482, 0, 1, 0
01-20, 20, 9545482, 0, 1, 0
01-20, 20, 9550058, 0, 1, 0
01-20, 21, 9550058, 0, 1, 0
01-20, 21, 9554634, 0, 1, 0
01-20, 22, 9554633, 1, 1, 0
01-20, 22, 9559208, 1, 2, 0
01-20, 23, 9559208, 0, 3, 0
01-20, 23, 9563784, 0, 3, 0
01-20, 24, 9563784, 0, 3, 0
01-20, 24, 9568360, 0, 3, 0
01-20, 25, 9568360, 0, 3, 0
01-20, 25, 9572936, 0, 3, 0
01-20, 26, 9572936, 0, 3, 0
01-20, 26, 9577512, 0, 3, 0
01-20, 27, 9577512, 0, 3, 0
01-20, 27, 9582088, 0, 3, 0
01-20, 28, 9582088, 0, 3, 0
01-20, 28, 9586664, 0, 3, 0
01-20, 29, 9586663, 1, 3, 0
01-20, 29, 9591239, 1, 3, 0
01-20, 30, 9591239, 0, 4, 0
01-20, 30, 9595815, 0, 4, 0
01-20, 31, 9595815, 0, 4, 0
Dallas-Fort Worth-Arlington TX MSA
01-20, 1, 7573136, 0, 0, 0
01-20, 1, 7575681, 0, 0, 0
01-20, 2, 7575681, 0, 0, 0
01-20, 2, 7578226, 0, 0, 0
01-20, 3, 7578226, 0, 0, 0
01-20, 3, 7580771, 0, 0, 0
01-20, 4, 7580771, 0, 0, 0
01-20, 4, 7583316, 0, 0, 0
01-20, 5, 7583316, 0, 0, 0
01-20, 5, 7585861, 0, 0, 0
01-20, 6, 7585861, 0, 0, 0
01-20, 6, 7588406, 0, 0, 0
01-20, 7, 7588406, 0, 0, 0
01-20, 7, 7590951, 0, 0, 0
01-20, 8, 7590951, 0, 0, 0
01-20, 8, 7593496, 0, 0, 0
01-20, 9, 7593496, 0, 0, 0
01-20, 9, 7596041, 0, 0, 0
01-20, 10, 7596041, 0, 0, 0
01-20, 10, 7598586, 0, 0, 0
01-20, 11, 7598586, 0, 0, 0
01-20, 11, 7601131, 0, 0, 0
01-20, 12, 7601131, 0, 0, 0
01-20, 12, 7603676, 0, 0, 0
01-20, 13, 7603676, 0, 0, 0
01-20, 13, 7606221, 0, 0, 0
01-20, 14, 7606221, 0, 0, 0
01-20, 14, 7608766, 0, 0, 0
01-20, 15, 7608766, 0, 0, 0
