Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 13, 9513329, 29, 79, 14
01-20, 13, 9517903, 30, 80, 14
01-20, 14, 9517899, 22, 88, 18
01-20, 14, 9522479, 22, 84, 18
01-20, 15, 9522470, 25, 87, 21
01-20, 15, 9527049, 25, 84, 21
01-20, 16, 9527039, 27, 84, 29
01-20, 16, 9531614, 27, 85, 29
01-20, 17, 9531608, 23, 94, 30
01-20, 17, 9536187, 23, 90, 31
01-20, 18, 9536180, 20, 97, 34
01-20, 18, 9540758, 20, 94, 35
01-20, 19, 9540749, 18, 99, 41
01-20, 19, 9545328, 18, 98, 39
01-20, 20, 9545318, 17, 106, 42
01-20, 20, 9549899, 17, 103, 40
01-20, 21, 9549890, 20, 103, 46
01-20, 21, 9554469, 20, 100, 46
01-20, 22, 9554462, 20, 106, 47
01-20, 22, 9559041, 20, 103, 47
01-20, 23, 9559031, 21, 108, 51
01-20, 23, 9563610, 22, 104, 51
01-20, 24, 9563600, 22, 112, 53
01-20, 24, 9568179, 22, 109, 53
01-20, 25, 9568171, 22, 111, 59
01-20, 25, 9572748, 21, 110, 60
01-20, 26, 9572739, 20, 117, 63
01-20, 26, 9577315, 20, 116, 64
01-20, 27, 9577301, 27, 120, 67
01-20, 27, 9581877, 27, 119, 68
01-20, 28, 9581867, 23, 130, 71
01-20, 28, 9586443, 22, 131, 71
01-20, 29, 9586428, 30, 132, 77
01-20, 29, 9591001, 31, 134, 77
01-20, 30, 9590993, 29, 138, 83
01-20, 30, 9595564, 29, 142, 84
01-20, 31, 9595550, 32, 152, 85
Dallas-Fort Worth-Arlington TX MSA
01-20, 1, 7573136, 0, 0, 0
01-20, 1, 7575680, 1, 0, 0
01-20, 2, 7575675, 5, 1, 0
01-20, 2, 7578221, 4, 1, 0
01-20, 3, 7578213, 10, 3, 0
01-20, 3, 7580759, 9, 3, 0
01-20, 4, 7580746, 18, 7, 0
01-20, 4, 7583292, 17, 7, 0
01-20, 5, 7583285, 17, 14, 0
01-20, 5, 7585831, 16, 14, 0
01-20, 6, 7585825, 18, 18, 0
01-20, 6, 7588369, 18, 19, 0
01-20, 7, 7588365, 17, 22, 2
01-20, 7, 7590910, 17, 22, 2
01-20, 8, 7590903, 16, 30, 2
01-20, 8, 7593445, 18, 31, 2
01-20, 9, 7593437, 18, 38, 3
01-20, 9, 7595982, 18, 38, 3
01-20, 10, 7595977, 14, 47, 3
01-20, 10, 7598524, 14, 45, 3
01-20, 11, 7598518, 11, 52, 5
01-20, 11, 7601062, 12, 52, 5
01-20, 12, 7601052, 19, 50, 10
01-20, 12, 7603599, 19, 48, 10
01-20, 13, 7603591, 20, 54, 11
01-20, 13, 7606136, 21, 53, 11
01-20, 14, 7606130, 16, 64, 11
01-20, 14, 7608673, 17, 65, 11
01-20, 15, 7608663, 22, 69, 12
01-20, 15, 7611207, 23, 69, 12
01-20, 16, 7611199, 22, 76, 14
01-20, 16, 7613742, 22, 78, 14
01-20, 17, 7613734, 21, 80, 21
01-20, 17, 7616279, 21, 80, 21
01-20, 18, 7616270, 25, 83, 23
01-20, 18, 7618815, 25, 83, 23
01-20, 19, 7618806, 21, 94, 25
01-20, 19, 7621351, 21, 93, 26
01-20, 20, 7621338, 24, 98, 31
01-20, 20, 7623880, 25, 99, 32
01-20, 21, 7623871, 24, 105, 36
01-20, 21, 7626413, 24, 108, 36
01-20, 22, 7626402, 27, 112, 40
01-20, 22, 7628945, 29, 113, 39
01-20, 23, 7628927, 41, 117, 41
01-20, 23, 7631473, 41, 117, 40
01-20, 24, 7631466, 33, 129, 43
01-20, 24, 7634012, 33, 128, 43
01-20, 25, 7633997, 42, 131, 46
01-20, 25, 7636542, 42, 131, 46
01-20, 26, 7636529, 35, 146, 51
01-20, 26, 7639073, 36, 146, 51
01-20, 27, 7639056, 44, 150, 56
01-20, 27, 7641599, 44, 152, 56
01-20, 28, 7641585, 37, 166, 63
01-20, 28, 7644130, 37, 166, 63
01-20, 29, 7644115, 35, 177, 69
01-20, 29, 7646658, 36, 178, 69
01-20, 30, 7646637, 45, 185, 74
01-20, 30, 7649183, 46, 183, 74
01-20, 31, 7649161, 54, 189, 82
Houston-The Woodlands-Sugar Land TX MSA
01-20, 1, 7066141, 0, 0, 0
01-20, 1, 7067574, 0, 0, 0
01-20, 2, 7067569, 5, 0, 0
01-20, 2, 7069002, 5, 0, 0
01-20, 3, 7068995, 10, 2, 0
01-20, 3, 7070428, 10, 2, 0
01-20, 4, 7070417, 17, 6, 0
01-20, 4, 7071849, 18, 6, 0
01-20, 5, 7071846, 14, 13, 0
01-20, 5, 7073279, 14, 13, 0
01-20, 6, 7073273, 13, 20, 0
01-20, 6, 7074708, 13, 18, 0
01-20, 7, 7074704, 12, 23, 0
01-20, 7, 7076139, 12, 21, 0
01-20, 8, 7076128, 17, 27, 0
01-20, 8, 7077563, 17, 25, 0
01-20, 9, 7077560, 12, 33, 0
01-20, 9, 7078993, 12, 33, 0
01-20, 10, 7078989, 14, 34, 1
01-20, 10, 7080424, 14, 32, 1
01-20, 11, 7080413, 20, 37, 1
01-20, 11, 7081848, 20, 35, 1
01-20, 12, 7081837, 25, 40, 2
01-20, 12, 7083273, 24, 38, 2
01-20, 13, 7083267, 16, 51, 3
01-20, 13, 7084701, 17, 49, 3
01-20, 14, 7084696, 18, 51, 5
01-20, 14, 7086128, 19, 51, 5
01-20, 15, 7086124, 17, 53, 9
01-20, 15, 7087556, 17, 53, 10
01-20, 16, 7087549, 16, 59, 12
01-20, 16, 7088982, 17, 57, 13
01-20, 17, 7088974, 21, 57, 17
01-20, 17, 7090405, 21, 57, 19
01-20, 18, 7090400, 18, 62, 22
01-20, 18, 7091831, 18, 62, 24
01-20, 19, 7091824, 16, 71, 24
01-20, 19, 7093256, 16, 71, 25
01-20, 20, 7093247, 19, 74, 28
01-20, 20, 7094680, 18, 74, 29
01-20, 21, 7094672, 18, 78, 33
