Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
03-19, 13, 19187381, 112, 1994, 1995
03-19, 14, 19187341, 101, 1974, 2066
03-19, 14, 19187954, 101, 1973, 2064
03-19, 15, 19187918, 100, 1933, 2141
03-19, 15, 19188528, 101, 1933, 2140
03-19, 16, 19188492, 90, 1908, 2212
03-19, 16, 19189105, 90, 1907, 2210
03-19, 17, 19189070, 96, 1864, 2282
03-19, 17, 19189681, 97, 1864, 2280
03-19, 18, 19189656, 84, 1841, 2341
03-19, 18, 19190268, 84, 1840, 2340
03-19, 19, 19190233, 90, 1798, 2411
03-19, 19, 19190844, 90, 1797, 2411
03-19, 20, 19190804, 97, 1748, 2493
03-19, 20, 19191416, 97, 1747, 2492
03-19, 21, 19191381, 96, 1720, 2555
03-19, 21, 19191990, 95, 1722, 2555
03-19, 22, 19191953, 87, 1707, 2615
03-19, 22, 19192561, 89, 1708, 2614
03-19, 23, 19192542, 69, 1687, 2674
03-19, 23, 19193152, 69, 1688, 2673
03-19, 24, 19193117, 80, 1642, 2743
03-19, 24, 19193722, 79, 1644, 2747
03-19, 25, 19193701, 59, 1640, 2792
03-19, 25, 19194311, 59, 1640, 2792
03-19, 26, 19194277, 70, 1607, 2848
03-19, 26, 19194883, 71, 1610, 2848
03-19, 27, 19194844, 87, 1580, 2901
03-19, 27, 19195450, 88, 1582, 2902
03-19, 28, 19195423, 79, 1573, 2947
03-19, 28, 19196030, 79, 1575, 2948
03-19, 29, 19196002, 71, 1556, 3003
03-19, 29, 19196611, 72, 1555, 3004
03-19, 30, 19196592, 71, 1513, 3066
03-19, 30, 19197201, 71, 1513, 3067
03-19, 31, 19197166, 78, 1494, 3114
03-19, 31, 19197775, 79, 1493, 3115
04-19, 1, 19197740, 86, 1463, 3173
04-19, 1, 19198749, 86, 1459, 3176
04-19, 2, 19198726, 75, 1443, 3226
04-19, 2, 19199737, 75, 1439, 3227
04-19, 3, 19199710, 67, 1428, 3273
04-19, 3, 19200719, 67, 1424, 3276
04-19, 4, 19200691, 74, 1401, 3320
04-19, 4, 19201703, 74, 1397, 3320
04-19, 5, 19201666, 80, 1384, 3364
04-19, 5, 19202676, 80, 1381, 3365
04-19, 6, 19202649, 79, 1351, 3423
04-19, 6, 19203661, 79, 1347, 3423
04-19, 7, 19203628, 81, 1320, 3481
04-19, 7, 19204638, 81, 1319, 3480
04-19, 8, 19204612, 79, 1301, 3526
04-19, 8, 19205625, 79, 1299, 3523
04-19, 9, 19205597, 76, 1285, 3568
04-19, 9, 19206607, 76, 1283, 3568
04-19, 10, 19206582, 67, 1268, 3617
04-19, 10, 19207593, 67, 1266, 3616
04-19, 11, 19207569, 56, 1254, 3663
04-19, 11, 19208582, 56, 1252, 3660
04-19, 12, 19208559, 60, 1238, 3693
04-19, 12, 19209569, 60, 1236, 3693
04-19, 13, 19209547, 56, 1217, 3738
04-19, 13, 19210558, 56, 1215, 3737
04-19, 14, 19210540, 51, 1190, 3785
04-19, 14, 19211549, 51, 1188, 3786
04-19, 15, 19211533, 51, 1161, 3829
04-19, 15, 19212543, 51, 1159, 3829
04-19, 16, 19212522, 49, 1146, 3865
04-19, 16, 19213532, 49, 1144, 3865
04-19, 17, 19213502, 53, 1132, 3903
04-19, 17, 19214512, 53, 1130, 3903
04-19, 18, 19214490, 51, 1112, 3945
04-19, 18, 19215499, 51, 1110, 3946
04-19, 19, 19215471, 57, 1093, 3985
04-19, 19, 19216481, 57, 1091, 3985
04-19, 20, 19216453, 61, 1076, 4024
04-19, 20, 19217463, 61, 1074, 4024
04-19, 21, 19217442, 60, 1062, 4058
04-19, 21, 19218451, 60, 1060, 4059
04-19, 22, 19218435, 54, 1048, 4093
04-19, 22, 19219447, 54, 1046, 4091
04-19, 23, 19219426, 57, 1016, 4139
04-19, 23, 19220437, 57, 1014, 4138
04-19, 24, 19220415, 58, 1004, 4169
04-19, 24, 19221425, 58, 1002, 4169
04-19, 25, 19221412, 49, 988, 4205
04-19, 25, 19222424, 49, 986, 4203
04-19, 26, 19222395, 62, 974, 4231
04-19, 26, 19223406, 62, 972, 4230
04-19, 27, 19223392, 51, 966, 4261
04-19, 27, 19224401, 51, 964, 4262
04-19, 28, 19224381, 50, 950, 4297
04-19, 28, 19225391, 50, 948, 4297
04-19, 29, 19225367, 55, 939, 4325
04-19, 29, 19226379, 55, 937, 4323
04-19, 30, 19226364, 49, 919, 4362
04-19, 30, 19227375, 49, 917, 4361
05-19, 1, 19227347, 58, 913, 4384
05-19, 1, 19228293, 59, 913, 4387
05-19, 2, 19228273, 53, 915, 4411
05-19, 2, 19229218, 53, 916, 4415
05-19, 3, 19229200, 52, 908, 4442
05-19, 3, 19230148, 52, 909, 4443
05-19, 4, 19230125, 59, 902, 4466
05-19, 4, 19231072, 59, 902, 4469
05-19, 5, 19231051, 60, 884, 4507
05-19, 5, 19231997, 60, 885, 4510
05-19, 6, 19231970, 61, 879, 4542
05-19, 6, 19232914, 61, 879, 4548
05-19, 7, 19232899, 51, 868, 4584
05-19, 7, 19233845, 52, 869, 4586
05-19, 8, 19233828, 47, 871, 4606
05-19, 8, 19234776, 47, 871, 4608
05-19, 9, 19234760, 45, 867, 4630
05-19, 9, 19235707, 45, 867, 4633
05-19, 10, 19235685, 50, 845, 4672
05-19, 10, 19236633, 50, 844, 4675
05-19, 11, 19236611, 55, 838, 4698
05-19, 11, 19237552, 56, 837, 4707
05-19, 12, 19237528, 53, 837, 4734
05-19, 12, 19238475, 54, 836, 4737
05-19, 13, 19238456, 47, 837, 4762
05-19, 13, 19239405, 47, 837, 4763
05-19, 14, 19239378, 60, 821, 4793
05-19, 14, 19240324, 60, 821, 4797
05-19, 15, 19240311, 47, 819, 4825
05-19, 15, 19241260, 48, 819, 4825
05-19, 16, 19241240, 48, 813, 4851
05-19, 16, 19242183, 49, 812, 4858
05-19, 17, 19242161, 47, 811, 4883
05-19, 17, 19243107, 47, 811, 4887
05-19, 18, 19243095, 37, 802, 4918
05-19, 18, 19244040, 38, 801, 4923
05-19, 19, 19244020, 44, 794, 4944
05-19, 19, 19244966, 45, 794, 4947
05-19, 20, 19244951, 48, 780, 4973
05-19, 20, 19245901, 48, 779, 4974
05-19, 21, 19245882, 49, 764, 5007
05-19, 21, 19246826, 50, 763, 5013
05-19, 22, 19246809, 45, 755, 5043
05-19, 22, 19247761, 45, 756, 5040
05-19, 23, 19247740, 49, 746, 5067
05-19, 23, 19248686, 50, 746, 5070
05-19, 24, 19248668, 49, 740, 5095
05-19, 24, 19249614, 49, 740, 5099
05-19, 25, 19249594, 50, 728, 5130
05-19, 25, 19250539, 50, 729, 5134
05-19, 26, 19250514, 54, 727, 5157
05-19, 26, 19251461, 54, 728, 5159
05-19, 27, 19251437, 54, 724, 5187
05-19, 27, 19252383, 54, 724, 5191
05-19, 28, 19252366, 46, 720, 5220
05-19, 28, 19253311, 46, 721, 5224
05-19, 29, 19253291, 52, 706, 5253
05-19, 29, 19254239, 52, 707, 5254
05-19, 30, 19254211, 61, 697, 5283
05-19, 30, 19255154, 61, 697, 5290
05-19, 31, 19255136, 54, 686, 5326
05-19, 31, 19256081, 54, 687, 5330
06-19, 1, 19256060, 57, 688, 5347
06-19, 1, 19258125, 57, 688, 5353
06-19, 2, 19258103, 55, 693, 5372
06-19, 2, 19260172, 55, 693, 5374
06-19, 3, 19260155, 47, 689, 5403
06-19, 3, 19262217, 47, 689, 5412
06-19, 4, 19262198, 46, 684, 5437
06-19, 4, 19264264, 46, 684, 5442
06-19, 5, 19264236, 56, 681, 5463
06-19, 5, 19266302, 56, 681, 5468
06-19, 6, 19266292, 48, 674, 5493
06-19, 6, 19268362, 48, 674, 5494
06-19, 7, 19268340, 49, 677, 5512
06-19, 7, 19270407, 49, 677, 5516
06-19, 8, 19270386, 50, 675, 5538
06-19, 8, 19272454, 50, 675, 5541
06-19, 9, 19272440, 43, 672, 5565
06-19, 9, 19274507, 43, 672, 5569
06-19, 10, 19274483, 52, 663, 5593
06-19, 10, 19276552, 52, 663, 5595
06-19, 11, 19276532, 53, 666, 5611
06-19, 11, 19278602, 53, 666, 5612
06-19, 12, 19278582, 56, 667, 5628
06-19, 12, 19280651, 56, 667, 5630
06-19, 13, 19280634, 54, 659, 5657
06-19, 13, 19282702, 54, 659, 5660
06-19, 14, 19282679, 57, 664, 5675
06-19, 14, 19284745, 57, 664, 5680
06-19, 15, 19284727, 54, 658, 5707
06-19, 15, 19286794, 54, 658, 5711
06-19, 16, 19286775, 48, 658, 5736
06-19, 16, 19288843, 48, 658, 5739
06-19, 17, 19288823, 53, 642, 5770
06-19, 17, 19290896, 53, 642, 5768
06-19, 18, 19290878, 52, 643, 5786
06-19, 18, 19292950, 52, 643, 5785
06-19, 19, 19292922, 59, 639, 5810
06-19, 19, 19294992, 59, 639, 5811
06-19, 20, 19294975, 55, 633, 5838
06-19, 20, 19297047, 56, 634, 5835
