Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218057, 22, 0, 0
01-20, 2, 19219955, 21, 0, 0
01-20, 3, 19219935, 34, 7, 0
01-20, 3, 19221832, 34, 7, 0
01-20, 4, 19221815, 35, 23, 0
01-20, 4, 19223710, 37, 23, 0
01-20, 5, 19223688, 46, 35, 1
01-20, 5, 19225585, 47, 34, 1
01-20, 6, 19225565, 46, 54, 2
01-20, 6, 19227461, 46, 55, 2
01-20, 7, 19227448, 44, 69, 3
01-20, 7, 19229346, 43, 69, 3
01-20, 8, 19229325, 49, 81, 6
01-20, 8, 19231221, 48, 82, 7
01-20, 9, 19231195, 56, 97, 10
01-20, 9, 19233088, 57, 100, 10
01-20, 10, 19233074, 53, 114, 14
01-20, 10, 19234968, 55, 114, 15
01-20, 11, 19234947, 55, 128, 22
01-20, 11, 19236844, 54, 128, 23
01-20, 12, 19236821, 59, 136, 33
01-20, 12, 19238715, 58, 140, 33
01-20, 13, 19238697, 52, 161, 36
01-20, 13, 19240594, 51, 161, 37
01-20, 14, 19240579, 49, 172, 43
01-20, 14, 19242476, 49, 171, 44
01-20, 15, 19242456, 49, 188, 47
01-20, 15, 19244353, 50, 186, 48
01-20, 16, 19244336, 50, 198, 53
01-20, 16, 19246231, 52, 197, 54
01-20, 17, 19246217, 40, 217, 60
01-20, 17, 19248113, 42, 215, 61
01-20, 18, 19248089, 47, 225, 70
01-20, 18, 19249986, 48, 223, 71
01-20, 19, 19249966, 55, 228, 79
01-20, 19, 19251859, 58, 228, 80
01-20, 20, 19251840, 45, 253, 87
01-20, 20, 19253738, 45, 251, 88
01-20, 21, 19253713, 49, 264, 96
01-20, 21, 19255612, 49, 261, 97
01-20, 22, 19255587, 53, 274, 105
01-20, 22, 19257485, 55, 270, 106
01-20, 23, 19257460, 61, 283, 112
01-20, 23, 19259352, 61, 287, 113
01-20, 24, 19259333, 56, 300, 124
01-20, 24, 19261230, 58, 297, 125
01-20, 25, 19261193, 68, 315, 134
01-20, 25, 19263091, 68, 313, 135
01-20, 26, 19263061, 72, 330, 144
01-20, 26, 19264946, 74, 337, 147
01-20, 27, 19264921, 64, 364, 155
01-20, 27, 19266819, 65, 361, 156
01-20, 28, 19266775, 83, 380, 163
01-20, 28, 19268669, 85, 380, 164
01-20, 29, 19268637, 83, 394, 184
01-20, 29, 19270538, 83, 388, 186
01-20, 30, 19270482, 103, 410, 200
01-20, 30, 19272379, 103, 408, 202
01-20, 31, 19272331, 114, 432, 215
01-20, 31, 19274227, 115, 432, 215
02-19, 1, 19274190, 106, 458, 235
02-19, 1, 19271042, 109, 450, 235
02-19, 2, 19270989, 119, 477, 251
02-19, 2, 19267845, 121, 467, 250
02-19, 3, 19267807, 103, 513, 260
02-19, 3, 19264656, 103, 514, 257
02-19, 4, 19264602, 110, 540, 278
02-19, 4, 19261447, 113, 539, 278
02-19, 5, 19261393, 120, 562, 302
02-19, 5, 19258240, 118, 563, 303
02-19, 6, 19258195, 117, 578, 334
02-19, 6, 19255045, 118, 572, 336
02-19, 7, 19254986, 133, 595, 357
02-19, 7, 19251829, 135, 594, 360
02-19, 8, 19251760, 154, 619, 385
02-19, 8, 19248610, 156, 615, 384
02-19, 9, 19248555, 145, 655, 410
02-19, 9, 19245403, 144, 657, 408
02-19, 10, 19245341, 144, 701, 426
02-19, 10, 19242189, 147, 698, 425
02-19, 11, 19242125, 143, 744, 447
02-19, 11, 19238968, 142, 749, 447
02-19, 12, 19238900, 156, 771, 479
02-19, 12, 19235750, 157, 765, 481
02-19, 13, 19235674, 177, 795, 507
02-19, 13, 19232523, 178, 792, 507
02-19, 14, 19232451, 185, 821, 543
02-19, 14, 19229285, 191, 830, 541
02-19, 15, 19229188, 218, 875, 566
02-19, 15, 19226030, 219, 876, 569
02-19, 16, 19225940, 214, 938, 602
02-19, 16, 19222785, 214, 939, 603
02-19, 17, 19222701, 207, 996, 637
02-19, 17, 19219548, 207, 998, 635
02-19, 18, 19219437, 237, 1037, 677
02-19, 18, 19216280, 237, 1043, 675
02-19, 19, 19216174, 257, 1090, 714
02-19, 19, 19213018, 257, 1090, 717
02-19, 20, 19212907, 279, 1143, 753
02-19, 20, 19209751, 279, 1147, 752
02-19, 21, 19209633, 284, 1219, 793
02-19, 21, 19206461, 291, 1227, 797
02-19, 22, 19206338, 304, 1296, 838
02-19, 22, 19203176, 308, 1295, 844
02-19, 23, 19203035, 339, 1363, 886
