Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218065, 13, 1, 0
01-20, 2, 19219962, 13, 1, 0
01-20, 3, 19219947, 23, 6, 0
01-20, 3, 19221844, 23, 6, 0
01-20, 4, 19221822, 33, 18, 0
01-20, 4, 19223718, 34, 18, 0
01-20, 5, 19223699, 40, 30, 1
01-20, 5, 19225596, 40, 30, 1
01-20, 6, 19225580, 40, 45, 2
01-20, 6, 19227476, 40, 46, 2
01-20, 7, 19227450, 50, 58, 6
01-20, 7, 19229345, 52, 58, 6
01-20, 8, 19229331, 45, 76, 9
01-20, 8, 19231229, 44, 76, 9
01-20, 9, 19231210, 49, 87, 12
01-20, 9, 19233106, 48, 88, 13
01-20, 10, 19233085, 48, 107, 15
01-20, 10, 19234986, 45, 106, 15
01-20, 11, 19234965, 47, 120, 20
01-20, 11, 19236861, 49, 119, 20
01-20, 12, 19236833, 56, 135, 25
01-20, 12, 19238729, 56, 136, 25
01-20, 13, 19238716, 54, 148, 28
01-20, 13, 19240612, 54, 149, 28
01-20, 14, 19240589, 55, 167, 32
01-20, 14, 19242488, 55, 166, 31
01-20, 15, 19242475, 50, 179, 36
01-20, 15, 19244369, 51, 181, 36
01-20, 16, 19244347, 59, 185, 46
01-20, 16, 19246245, 59, 184, 46
01-20, 17, 19246228, 55, 200, 51
01-20, 17, 19248126, 56, 199, 50
01-20, 18, 19248103, 59, 213, 56
01-20, 18, 19249999, 60, 213, 56
01-20, 19, 19249977, 55, 235, 61
01-20, 19, 19251873, 56, 234, 62
01-20, 20, 19251851, 58, 249, 67
01-20, 20, 19253751, 58, 247, 66
01-20, 21, 19253719, 71, 255, 77
01-20, 21, 19255616, 73, 253, 77
01-20, 22, 19255597, 65, 270, 87
01-20, 22, 19257491, 65, 272, 88
01-20, 23, 19257464, 68, 289, 95
01-20, 23, 19259365, 68, 285, 95
01-20, 24, 19259340, 64, 304, 105
01-20, 24, 19261239, 64, 302, 105
01-20, 25, 19261216, 64, 312, 118
01-20, 25, 19263109, 65, 315, 118
01-20, 26, 19263078, 66, 331, 132
01-20, 26, 19264973, 67, 332, 132
01-20, 27, 19264942, 75, 347, 140
01-20, 27, 19266841, 75, 345, 140
01-20, 28, 19266798, 88, 362, 153
01-20, 28, 19268696, 88, 362, 152
01-20, 29, 19268667, 85, 383, 163
01-20, 29, 19270558, 86, 387, 164
01-20, 30, 19270526, 86, 406, 177
01-20, 30, 19272418, 88, 409, 177
01-20, 31, 19272364, 113, 425, 190
01-20, 31, 19274259, 114, 424, 192
02-19, 1, 19274218, 107, 452, 212
02-19, 1, 19271063, 107, 454, 212
02-19, 2, 19271012, 122, 465, 237
02-19, 2, 19267861, 122, 466, 234
02-19, 3, 19267814, 123, 500, 246
02-19, 3, 19264656, 123, 502, 249
02-19, 4, 19264607, 123, 537, 263
02-19, 4, 19261452, 122, 541, 262
02-19, 5, 19261410, 120, 565, 282
02-19, 5, 19258259, 120, 564, 281
02-19, 6, 19258212, 109, 597, 306
02-19, 6, 19255056, 111, 597, 307
02-19, 7, 19254993, 132, 623, 323
02-19, 7, 19251833, 133, 628, 324
02-19, 8, 19251767, 144, 661, 346
02-19, 8, 19248618, 143, 661, 343
02-19, 9, 19248544, 159, 695, 367
02-19, 9, 19245385, 160, 700, 367
02-19, 10, 19245312, 163, 733, 404
02-19, 10, 19242160, 167, 730, 402
02-19, 11, 19242091, 167, 770, 431
02-19, 11, 19238935, 169, 769, 433
02-19, 12, 19238862, 181, 802, 461
02-19, 12, 19235710, 180, 801, 462
02-19, 13, 19235635, 180, 855, 483
02-19, 13, 19232481, 179, 854, 486
02-19, 14, 19232391, 200, 895, 514
02-19, 14, 19229238, 198, 897, 514
02-19, 15, 19229152, 193, 957, 545
02-19, 15, 19226002, 192, 953, 547
02-19, 16, 19225911, 215, 983, 585
02-19, 16, 19222746, 220, 987, 588
02-19, 17, 19222653, 223, 1045, 620
02-19, 17, 19219501, 222, 1046, 619
02-19, 18, 19219392, 255, 1095, 646
02-19, 18, 19216238, 255, 1096, 646
02-19, 19, 19216137, 256, 1160, 682
02-19, 19, 19212979, 254, 1163, 686
02-19, 20, 19212862, 278, 1203, 739
02-19, 20, 19209715, 278, 1200, 736
02-19, 21, 19209605, 266, 1271, 787
02-19, 21, 19206450, 266, 1272, 788
02-19, 22, 19206317, 293, 1337, 829
02-19, 22, 19203161, 296, 1338, 828
02-19, 23, 19203034, 301, 1412, 876
