Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218061, 18, 0, 0
01-20, 2, 19219957, 19, 0, 0
01-20, 3, 19219931, 37, 8, 0
01-20, 3, 19221828, 37, 8, 0
01-20, 4, 19221812, 35, 26, 0
01-20, 4, 19223709, 35, 26, 0
01-20, 5, 19223697, 34, 38, 1
01-20, 5, 19225594, 34, 38, 1
01-20, 6, 19225573, 40, 52, 2
01-20, 6, 19227469, 41, 52, 2
01-20, 7, 19227453, 42, 64, 5
01-20, 7, 19229350, 42, 64, 5
01-20, 8, 19229338, 38, 78, 7
01-20, 8, 19231235, 38, 78, 7
01-20, 9, 19231216, 38, 94, 10
01-20, 9, 19233112, 38, 95, 10
01-20, 10, 19233095, 40, 105, 15
01-20, 10, 19234994, 40, 103, 15
01-20, 11, 19234976, 45, 114, 17
01-20, 11, 19236871, 46, 115, 17
01-20, 12, 19236862, 40, 125, 22
01-20, 12, 19238759, 40, 125, 22
01-20, 13, 19238741, 41, 139, 25
01-20, 13, 19240637, 41, 140, 25
01-20, 14, 19240618, 47, 145, 33
01-20, 14, 19242515, 47, 143, 35
01-20, 15, 19242486, 55, 162, 37
01-20, 15, 19244380, 55, 163, 39
01-20, 16, 19244361, 53, 179, 44
01-20, 16, 19246251, 56, 182, 45
01-20, 17, 19246237, 49, 198, 50
01-20, 17, 19248130, 50, 199, 52
01-20, 18, 19248112, 48, 212, 59
01-20, 18, 19250008, 48, 211, 61
01-20, 19, 19249984, 58, 219, 67
01-20, 19, 19251875, 59, 221, 70
01-20, 20, 19251851, 64, 234, 76
01-20, 20, 19253741, 66, 236, 79
01-20, 21, 19253707, 80, 244, 91
01-20, 21, 19255599, 83, 244, 93
01-20, 22, 19255571, 80, 265, 103
01-20, 22, 19257459, 82, 270, 105
01-20, 23, 19257440, 65, 299, 112
01-20, 23, 19259332, 66, 301, 114
01-20, 24, 19259306, 73, 305, 129
01-20, 24, 19261197, 76, 306, 131
01-20, 25, 19261164, 78, 326, 142
01-20, 25, 19263055, 78, 329, 145
01-20, 26, 19263007, 96, 344, 160
01-20, 26, 19264894, 96, 351, 163
01-20, 27, 19264860, 87, 386, 171
01-20, 27, 19266752, 85, 390, 174
01-20, 28, 19266705, 93, 418, 185
01-20, 28, 19268588, 96, 427, 187
01-20, 29, 19268544, 103, 452, 199
01-20, 29, 19270429, 106, 457, 203
01-20, 30, 19270381, 110, 487, 217
01-20, 30, 19272269, 111, 490, 222
01-20, 31, 19272228, 109, 510, 245
01-20, 31, 19274118, 108, 514, 249
02-19, 1, 19274059, 123, 535, 272
02-19, 1, 19270903, 122, 537, 274
02-19, 2, 19270856, 136, 550, 294
02-19, 2, 19267704, 133, 550, 296
02-19, 3, 19267640, 150, 578, 315
02-19, 3, 19264483, 150, 579, 318
02-19, 4, 19264427, 138, 634, 331
02-19, 4, 19261271, 137, 639, 330
02-19, 5, 19261205, 149, 679, 344
02-19, 5, 19258043, 150, 685, 346
02-19, 6, 19257976, 165, 715, 368
02-19, 6, 19254822, 164, 719, 366
02-19, 7, 19254742, 178, 754, 397
02-19, 7, 19251584, 178, 758, 398
02-19, 8, 19251511, 177, 812, 418
02-19, 8, 19248356, 177, 815, 417
02-19, 9, 19248285, 169, 872, 439
02-19, 9, 19245125, 171, 878, 438
02-19, 10, 19245027, 203, 911, 471
02-19, 10, 19241874, 206, 911, 468
02-19, 11, 19241801, 203, 956, 499
02-19, 11, 19238643, 204, 960, 499
02-19, 12, 19238551, 211, 1003, 541
02-19, 12, 19235394, 212, 1007, 540
02-19, 13, 19235295, 230, 1046, 582
02-19, 13, 19232142, 227, 1050, 581
02-19, 14, 19232043, 237, 1101, 619
02-19, 14, 19228888, 237, 1102, 620
02-19, 15, 19228797, 249, 1152, 649
02-19, 15, 19225638, 251, 1154, 651
02-19, 16, 19225514, 277, 1210, 693
02-19, 16, 19222352, 279, 1213, 697
02-19, 17, 19222233, 294, 1280, 734
02-19, 17, 19219084, 293, 1280, 731
02-19, 18, 19218957, 324, 1338, 769
02-19, 18, 19215799, 326, 1343, 767
02-19, 19, 19215665, 326, 1438, 806
02-19, 19, 19212503, 330, 1443, 806
02-19, 20, 19212353, 345, 1527, 857
02-19, 20, 19209201, 347, 1529, 852
02-19, 21, 19209057, 359, 1608, 905
02-19, 21, 19205900, 358, 1612, 906
02-19, 22, 19205738, 384, 1689, 965
02-19, 22, 19202577, 385, 1693, 968
