Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218062, 17, 0, 0
01-20, 2, 19219958, 18, 0, 0
01-20, 3, 19219938, 32, 6, 0
01-20, 3, 19221835, 32, 6, 0
01-20, 4, 19221810, 45, 18, 0
01-20, 4, 19223707, 45, 18, 0
01-20, 5, 19223687, 46, 36, 1
01-20, 5, 19225584, 46, 36, 1
01-20, 6, 19225562, 44, 57, 4
01-20, 6, 19227459, 44, 57, 4
01-20, 7, 19227442, 45, 71, 6
01-20, 7, 19229339, 45, 71, 6
01-20, 8, 19229311, 50, 91, 9
01-20, 8, 19231207, 51, 91, 9
01-20, 9, 19231181, 59, 107, 11
01-20, 9, 19233079, 58, 107, 11
01-20, 10, 19233054, 59, 130, 12
01-20, 10, 19234954, 58, 129, 11
01-20, 11, 19234937, 48, 154, 13
01-20, 11, 19236836, 49, 152, 12
01-20, 12, 19236821, 47, 163, 18
01-20, 12, 19238719, 47, 163, 17
01-20, 13, 19238700, 53, 169, 24
01-20, 13, 19240599, 53, 169, 22
01-20, 14, 19240584, 46, 184, 29
01-20, 14, 19242482, 47, 184, 27
01-20, 15, 19242467, 43, 198, 32
01-20, 15, 19244365, 44, 198, 30
01-20, 16, 19244344, 49, 204, 40
01-20, 16, 19246242, 49, 204, 39
01-20, 17, 19246218, 55, 212, 49
01-20, 17, 19248117, 55, 212, 47
01-20, 18, 19248102, 43, 235, 51
01-20, 18, 19250000, 43, 234, 51
01-20, 19, 19249974, 54, 245, 55
01-20, 19, 19251871, 54, 244, 56
01-20, 20, 19251838, 69, 256, 62
01-20, 20, 19253736, 69, 256, 61
01-20, 21, 19253709, 68, 274, 71
01-20, 21, 19255606, 68, 273, 72
01-20, 22, 19255583, 60, 297, 79
01-20, 22, 19257483, 61, 295, 77
01-20, 23, 19257462, 61, 311, 82
01-20, 23, 19259359, 62, 310, 82
01-20, 24, 19259328, 69, 325, 91
01-20, 24, 19261221, 69, 327, 93
01-20, 25, 19261185, 73, 349, 103
01-20, 25, 19263079, 75, 350, 103
01-20, 26, 19263052, 72, 374, 109
01-20, 26, 19264950, 72, 372, 110
01-20, 27, 19264915, 73, 390, 126
01-20, 27, 19266815, 73, 389, 124
01-20, 28, 19266775, 85, 405, 136
01-20, 28, 19268675, 85, 401, 137
01-20, 29, 19268642, 74, 428, 154
01-20, 29, 19270536, 74, 430, 155
01-20, 30, 19270493, 89, 446, 167
01-20, 30, 19272384, 90, 447, 171
01-20, 31, 19272340, 97, 464, 191
01-20, 31, 19274238, 97, 461, 193
02-19, 1, 19274202, 97, 482, 208
02-19, 1, 19271050, 97, 481, 208
02-19, 2, 19271014, 102, 500, 220
02-19, 2, 19267855, 103, 503, 222
02-19, 3, 19267800, 116, 531, 236
02-19, 3, 19264642, 118, 531, 239
02-19, 4, 19264586, 126, 566, 252
02-19, 4, 19261431, 130, 564, 252
02-19, 5, 19261377, 128, 605, 267
02-19, 5, 19258220, 128, 607, 269
02-19, 6, 19258158, 150, 624, 292
02-19, 6, 19255002, 151, 623, 295
02-19, 7, 19254945, 134, 674, 318
02-19, 7, 19251790, 136, 676, 316
02-19, 8, 19251729, 143, 700, 346
02-19, 8, 19248577, 144, 698, 346
02-19, 9, 19248512, 156, 732, 365
02-19, 9, 19245366, 158, 727, 361
02-19, 10, 19245281, 176, 780, 375
02-19, 10, 19242131, 177, 775, 376
02-19, 11, 19242051, 193, 821, 394
02-19, 11, 19238899, 193, 816, 398
02-19, 12, 19238822, 198, 861, 425
02-19, 12, 19235676, 198, 857, 422
02-19, 13, 19235600, 196, 911, 446
02-19, 13, 19232461, 197, 899, 443
02-19, 14, 19232365, 202, 960, 473
02-19, 14, 19229208, 203, 965, 471
02-19, 15, 19229109, 221, 1015, 502
02-19, 15, 19225960, 223, 1011, 500
02-19, 16, 19225858, 245, 1065, 526
02-19, 16, 19222708, 247, 1063, 523
02-19, 17, 19222601, 260, 1120, 560
02-19, 17, 19219443, 260, 1120, 565
02-19, 18, 19219345, 257, 1181, 605
02-19, 18, 19216200, 256, 1174, 605
02-19, 19, 19216103, 238, 1252, 642
02-19, 19, 19212942, 239, 1253, 648
02-19, 20, 19212805, 281, 1310, 686
02-19, 20, 19209653, 283, 1305, 688
02-19, 21, 19209512, 306, 1363, 748
02-19, 21, 19206358, 307, 1361, 750
02-19, 22, 19206237, 313, 1428, 798
02-19, 22, 19203077, 313, 1427, 806
02-19, 23, 19202925, 346, 1488, 864
