Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218058, 21, 0, 0
01-20, 2, 19219955, 21, 0, 0
01-20, 3, 19219940, 24, 12, 0
01-20, 3, 19221837, 24, 12, 0
01-20, 4, 19221824, 30, 19, 0
01-20, 4, 19223721, 30, 19, 0
01-20, 5, 19223708, 34, 26, 2
01-20, 5, 19225605, 34, 26, 2
01-20, 6, 19225582, 48, 33, 4
01-20, 6, 19227479, 48, 33, 4
01-20, 7, 19227458, 53, 48, 5
01-20, 7, 19229355, 53, 48, 5
01-20, 8, 19229334, 55, 66, 6
01-20, 8, 19231231, 55, 66, 6
01-20, 9, 19231208, 56, 86, 8
01-20, 9, 19233105, 56, 86, 8
01-20, 10, 19233089, 53, 101, 12
01-20, 10, 19234986, 53, 101, 12
01-20, 11, 19234969, 48, 119, 16
01-20, 11, 19236864, 48, 121, 16
01-20, 12, 19236844, 49, 139, 17
01-20, 12, 19238742, 49, 138, 17
01-20, 13, 19238716, 52, 157, 21
01-20, 13, 19240613, 52, 157, 21
01-20, 14, 19240599, 45, 175, 24
01-20, 14, 19242497, 45, 174, 24
01-20, 15, 19242476, 45, 191, 28
01-20, 15, 19244371, 45, 193, 28
01-20, 16, 19244355, 44, 204, 34
01-20, 16, 19246251, 44, 205, 34
01-20, 17, 19246230, 47, 211, 46
01-20, 17, 19248127, 47, 210, 47
01-20, 18, 19248113, 44, 216, 58
01-20, 18, 19250010, 44, 216, 58
01-20, 19, 19249988, 51, 224, 65
01-20, 19, 19251882, 52, 225, 66
01-20, 20, 19251855, 59, 238, 73
01-20, 20, 19253751, 59, 239, 73
01-20, 21, 19253736, 46, 254, 86
01-20, 21, 19255635, 46, 253, 85
01-20, 22, 19255605, 59, 261, 94
01-20, 22, 19257502, 58, 262, 94
01-20, 23, 19257472, 59, 277, 108
01-20, 23, 19259366, 59, 280, 108
01-20, 24, 19259334, 66, 298, 115
01-20, 24, 19261234, 65, 295, 116
01-20, 25, 19261210, 69, 307, 124
01-20, 25, 19263109, 67, 307, 124
01-20, 26, 19263084, 61, 322, 140
01-20, 26, 19264982, 60, 320, 142
01-20, 27, 19264943, 79, 330, 152
01-20, 27, 19266843, 77, 328, 153
01-20, 28, 19266805, 80, 348, 168
01-20, 28, 19268703, 79, 349, 167
01-20, 29, 19268666, 83, 369, 180
01-20, 29, 19270563, 82, 370, 180
01-20, 30, 19270535, 81, 387, 192
01-20, 30, 19272431, 81, 388, 192
01-20, 31, 19272394, 83, 407, 208
01-20, 31, 19274292, 81, 408, 208
02-19, 1, 19274257, 84, 428, 220
02-19, 1, 19271102, 84, 430, 220
02-19, 2, 19271054, 106, 436, 240
02-19, 2, 19267907, 105, 429, 242
02-19, 3, 19267855, 120, 454, 254
02-19, 3, 19264700, 120, 457, 253
02-19, 4, 19264646, 130, 482, 272
02-19, 4, 19261487, 132, 486, 272
02-19, 5, 19261429, 139, 522, 287
02-19, 5, 19258277, 140, 522, 285
02-19, 6, 19258225, 140, 558, 301
02-19, 6, 19255074, 140, 557, 300
02-19, 7, 19255015, 133, 604, 319
02-19, 7, 19251863, 133, 608, 314
02-19, 8, 19251786, 167, 628, 337
02-19, 8, 19248633, 168, 634, 330
02-19, 9, 19248571, 162, 678, 354
02-19, 9, 19245424, 160, 681, 347
02-19, 10, 19245355, 168, 714, 375
02-19, 10, 19242213, 164, 713, 369
02-19, 11, 19242133, 179, 758, 389
02-19, 11, 19238985, 178, 758, 385
02-19, 12, 19238899, 195, 804, 408
02-19, 12, 19235747, 196, 807, 403
02-19, 13, 19235663, 188, 872, 430
02-19, 13, 19232520, 184, 871, 425
02-19, 14, 19232434, 205, 906, 455
02-19, 14, 19229286, 206, 905, 450
02-19, 15, 19229190, 222, 955, 480
02-19, 15, 19226043, 222, 956, 473
02-19, 16, 19225946, 243, 1001, 504
02-19, 16, 19222799, 242, 1001, 499
02-19, 17, 19222696, 254, 1052, 539
02-19, 17, 19219541, 254, 1056, 537
02-19, 18, 19219430, 272, 1108, 578
02-19, 18, 19216289, 267, 1105, 574
02-19, 19, 19216195, 248, 1186, 606
02-19, 19, 19213049, 248, 1181, 604
02-19, 20, 19212912, 298, 1232, 640
02-19, 20, 19209773, 296, 1224, 636
02-19, 21, 19209630, 333, 1295, 671
02-19, 21, 19206480, 332, 1296, 668
02-19, 22, 19206330, 330, 1417, 699
02-19, 22, 19203185, 330, 1410, 698
02-19, 23, 19203023, 367, 1478, 755
