Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218060, 19, 0, 0
01-20, 2, 19219957, 19, 0, 0
01-20, 3, 19219940, 34, 2, 0
01-20, 3, 19221835, 36, 2, 0
01-20, 4, 19221815, 43, 15, 0
01-20, 4, 19223712, 43, 15, 0
01-20, 5, 19223688, 42, 40, 0
01-20, 5, 19225586, 42, 39, 0
01-20, 6, 19225567, 46, 52, 2
01-20, 6, 19227463, 47, 52, 2
01-20, 7, 19227443, 52, 65, 4
01-20, 7, 19229341, 51, 65, 4
01-20, 8, 19229326, 42, 87, 6
01-20, 8, 19231224, 42, 86, 6
01-20, 9, 19231206, 47, 94, 11
01-20, 9, 19233102, 47, 95, 11
01-20, 10, 19233082, 53, 104, 16
01-20, 10, 19234977, 54, 105, 16
01-20, 11, 19234961, 49, 122, 20
01-20, 11, 19236859, 49, 121, 20
01-20, 12, 19236832, 58, 134, 25
01-20, 12, 19238728, 58, 135, 25
01-20, 13, 19238702, 61, 153, 30
01-20, 13, 19240603, 62, 148, 30
01-20, 14, 19240580, 61, 170, 32
01-20, 14, 19242475, 60, 173, 32
01-20, 15, 19242460, 52, 190, 38
01-20, 15, 19244352, 55, 192, 38
01-20, 16, 19244331, 50, 215, 41
01-20, 16, 19246228, 50, 215, 41
01-20, 17, 19246209, 46, 235, 44
01-20, 17, 19248107, 46, 234, 44
01-20, 18, 19248077, 54, 247, 53
01-20, 18, 19249974, 54, 247, 53
01-20, 19, 19249949, 52, 267, 60
01-20, 19, 19251844, 55, 266, 60
01-20, 20, 19251807, 69, 281, 68
01-20, 20, 19253706, 70, 278, 68
01-20, 21, 19253681, 66, 294, 81
01-20, 21, 19255579, 67, 291, 82
01-20, 22, 19255544, 81, 304, 90
01-20, 22, 19257432, 84, 310, 90
01-20, 23, 19257400, 86, 330, 100
01-20, 23, 19259295, 88, 330, 100
01-20, 24, 19259261, 90, 350, 112
01-20, 24, 19261149, 93, 354, 114
01-20, 25, 19261112, 84, 389, 125
01-20, 25, 19263007, 86, 391, 123
01-20, 26, 19262979, 90, 401, 137
01-20, 26, 19264870, 90, 407, 137
01-20, 27, 19264840, 87, 427, 150
01-20, 27, 19266737, 87, 426, 151
01-20, 28, 19266698, 96, 447, 160
01-20, 28, 19268594, 97, 446, 161
01-20, 29, 19268550, 102, 465, 181
01-20, 29, 19270442, 102, 470, 181
01-20, 30, 19270394, 114, 487, 200
01-20, 30, 19272290, 115, 487, 200
01-20, 31, 19272249, 113, 516, 214
01-20, 31, 19274140, 115, 520, 214
02-19, 1, 19274069, 141, 543, 236
02-19, 1, 19270910, 145, 545, 236
02-19, 2, 19270854, 153, 578, 251
02-19, 2, 19267693, 156, 583, 251
02-19, 3, 19267632, 164, 613, 274
02-19, 3, 19264476, 169, 612, 273
02-19, 4, 19264417, 170, 653, 290
02-19, 4, 19261259, 172, 654, 292
02-19, 5, 19261188, 181, 695, 313
02-19, 5, 19258026, 184, 700, 314
02-19, 6, 19257940, 196, 753, 335
02-19, 6, 19254785, 196, 754, 336
02-19, 7, 19254718, 181, 809, 363
02-19, 7, 19251564, 178, 809, 367
02-19, 8, 19251478, 190, 862, 388
02-19, 8, 19248318, 194, 867, 386
02-19, 9, 19248226, 209, 916, 414
02-19, 9, 19245072, 210, 918, 412
02-19, 10, 19244970, 231, 966, 445
02-19, 10, 19241812, 230, 970, 447
02-19, 11, 19241717, 234, 1026, 482
02-19, 11, 19238555, 236, 1028, 487
02-19, 12, 19238446, 243, 1099, 518
02-19, 12, 19235291, 245, 1099, 518
02-19, 13, 19235172, 272, 1160, 549
02-19, 13, 19232016, 272, 1162, 550
02-19, 14, 19231910, 277, 1208, 605
02-19, 14, 19228750, 284, 1208, 605
02-19, 15, 19228646, 282, 1278, 641
02-19, 15, 19225494, 282, 1276, 642
02-19, 16, 19225377, 296, 1344, 677
02-19, 16, 19222228, 295, 1339, 679
02-19, 17, 19222088, 312, 1404, 737
02-19, 17, 19218945, 316, 1393, 734
02-19, 18, 19218826, 314, 1470, 778
02-19, 18, 19215677, 314, 1467, 777
02-19, 19, 19215497, 363, 1534, 841
02-19, 19, 19212352, 362, 1534, 834
02-19, 20, 19212200, 384, 1625, 873
02-19, 20, 19209058, 379, 1618, 874
02-19, 21, 19208886, 409, 1689, 945
02-19, 21, 19205740, 407, 1686, 943
02-19, 22, 19205555, 423, 1792, 1006
02-19, 22, 19202407, 426, 1783, 1007
