Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218064, 15, 0, 0
01-20, 2, 19219961, 15, 0, 0
01-20, 3, 19219949, 21, 6, 0
01-20, 3, 19221846, 21, 6, 0
01-20, 4, 19221828, 32, 13, 0
01-20, 4, 19223725, 32, 13, 0
01-20, 5, 19223703, 42, 25, 0
01-20, 5, 19225601, 43, 23, 0
01-20, 6, 19225582, 47, 38, 0
01-20, 6, 19227478, 47, 39, 0
01-20, 7, 19227465, 42, 56, 1
01-20, 7, 19229356, 44, 60, 1
01-20, 8, 19229329, 51, 80, 1
01-20, 8, 19231227, 51, 79, 1
01-20, 9, 19231209, 49, 97, 3
01-20, 9, 19233106, 48, 98, 3
01-20, 10, 19233091, 44, 116, 4
01-20, 10, 19234988, 45, 115, 4
01-20, 11, 19234968, 48, 128, 8
01-20, 11, 19236861, 50, 130, 8
01-20, 12, 19236839, 50, 149, 11
01-20, 12, 19238735, 48, 151, 12
01-20, 13, 19238721, 46, 161, 18
01-20, 13, 19240619, 46, 160, 18
01-20, 14, 19240604, 45, 168, 26
01-20, 14, 19242502, 42, 170, 26
01-20, 15, 19242481, 39, 191, 29
01-20, 15, 19244374, 40, 193, 30
01-20, 16, 19244351, 47, 199, 40
01-20, 16, 19246247, 46, 200, 41
01-20, 17, 19246222, 47, 216, 49
01-20, 17, 19248119, 46, 217, 49
01-20, 18, 19248098, 49, 230, 54
01-20, 18, 19249990, 49, 235, 54
01-20, 19, 19249967, 55, 249, 57
01-20, 19, 19251866, 54, 248, 57
01-20, 20, 19251844, 57, 258, 66
01-20, 20, 19253743, 55, 258, 66
01-20, 21, 19253714, 56, 277, 75
01-20, 21, 19255609, 59, 278, 73
01-20, 22, 19255578, 70, 291, 80
01-20, 22, 19257471, 70, 293, 82
01-20, 23, 19257437, 72, 314, 93
01-20, 23, 19259329, 73, 319, 92
01-20, 24, 19259304, 76, 329, 104
01-20, 24, 19261200, 75, 329, 106
01-20, 25, 19261155, 87, 353, 115
01-20, 25, 19263050, 87, 353, 117
01-20, 26, 19263016, 88, 372, 131
01-20, 26, 19264909, 90, 372, 133
01-20, 27, 19264874, 93, 387, 150
01-20, 27, 19266767, 94, 388, 152
01-20, 28, 19266730, 90, 415, 166
01-20, 28, 19268630, 91, 413, 164
01-20, 29, 19268590, 90, 444, 174
01-20, 29, 19270483, 90, 446, 176
01-20, 30, 19270435, 99, 472, 189
01-20, 30, 19272325, 101, 475, 191
01-20, 31, 19272272, 116, 494, 210
01-20, 31, 19274166, 116, 495, 212
02-19, 1, 19274127, 110, 523, 229
02-19, 1, 19270961, 114, 531, 230
02-19, 2, 19270892, 139, 550, 255
02-19, 2, 19267730, 141, 554, 258
02-19, 3, 19267683, 136, 583, 281
02-19, 3, 19264519, 138, 589, 284
02-19, 4, 19264475, 122, 626, 307
02-19, 4, 19261319, 122, 631, 305
02-19, 5, 19261252, 149, 653, 323
02-19, 5, 19258086, 155, 658, 325
02-19, 6, 19258022, 156, 691, 355
02-19, 6, 19254863, 162, 696, 350
02-19, 7, 19254774, 172, 755, 370
02-19, 7, 19251610, 174, 761, 373
02-19, 8, 19251521, 207, 792, 398
02-19, 8, 19248358, 207, 802, 398
02-19, 9, 19248288, 199, 853, 425
02-19, 9, 19245137, 200, 851, 424
02-19, 10, 19245044, 220, 897, 451
02-19, 10, 19241878, 227, 903, 451
02-19, 11, 19241802, 212, 966, 479
02-19, 11, 19238641, 213, 971, 481
02-19, 12, 19238551, 229, 1016, 510
02-19, 12, 19235386, 237, 1023, 507
02-19, 13, 19235290, 227, 1097, 539
02-19, 13, 19232136, 226, 1103, 535
02-19, 14, 19232013, 257, 1164, 566
02-19, 14, 19228851, 262, 1171, 563
02-19, 15, 19228747, 253, 1253, 594
02-19, 15, 19225590, 258, 1252, 594
02-19, 16, 19225472, 271, 1317, 634
02-19, 16, 19222319, 271, 1315, 636
02-19, 17, 19222193, 274, 1389, 685
02-19, 17, 19219045, 275, 1380, 688
02-19, 18, 19218914, 306, 1436, 732
02-19, 18, 19215760, 307, 1434, 734
02-19, 19, 19215637, 310, 1497, 791
02-19, 19, 19212496, 311, 1486, 789
02-19, 20, 19212342, 326, 1567, 847
02-19, 20, 19209188, 326, 1566, 849
02-19, 21, 19209018, 370, 1638, 903
02-19, 21, 19205861, 374, 1641, 900
02-19, 22, 19205687, 395, 1730, 964
02-19, 22, 19202537, 399, 1726, 961
