Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 0, 1, 0
01-20, 2, 19218051, 27, 1, 0
01-20, 2, 19219948, 27, 1, 0
01-20, 3, 19219923, 45, 8, 0
01-20, 3, 19221820, 45, 8, 0
01-20, 4, 19221804, 48, 21, 0
01-20, 4, 19223702, 47, 21, 0
01-20, 5, 19223680, 51, 38, 1
01-20, 5, 19225577, 51, 38, 1
01-20, 6, 19225564, 44, 58, 1
01-20, 6, 19227462, 44, 57, 1
01-20, 7, 19227437, 58, 66, 3
01-20, 7, 19229332, 58, 68, 3
01-20, 8, 19229312, 53, 90, 6
01-20, 8, 19231207, 55, 90, 6
01-20, 9, 19231195, 45, 111, 7
01-20, 9, 19233087, 48, 113, 7
01-20, 10, 19233069, 49, 124, 13
01-20, 10, 19234965, 52, 122, 13
01-20, 11, 19234953, 42, 141, 16
01-20, 11, 19236851, 42, 140, 16
01-20, 12, 19236833, 42, 153, 21
01-20, 12, 19238731, 42, 151, 22
01-20, 13, 19238712, 52, 155, 27
01-20, 13, 19240607, 54, 155, 27
01-20, 14, 19240590, 46, 176, 31
01-20, 14, 19242490, 46, 176, 28
01-20, 15, 19242470, 46, 187, 37
01-20, 15, 19244365, 47, 188, 37
01-20, 16, 19244344, 52, 198, 43
01-20, 16, 19246240, 52, 201, 41
01-20, 17, 19246219, 51, 216, 48
01-20, 17, 19248114, 51, 218, 48
01-20, 18, 19248093, 54, 224, 60
01-20, 18, 19249990, 55, 223, 60
01-20, 19, 19249969, 49, 243, 67
01-20, 19, 19251858, 52, 246, 69
01-20, 20, 19251835, 52, 261, 77
01-20, 20, 19253731, 52, 263, 76
01-20, 21, 19253715, 47, 274, 86
01-20, 21, 19255613, 48, 273, 85
01-20, 22, 19255588, 50, 286, 95
01-20, 22, 19257482, 51, 287, 96
01-20, 23, 19257448, 61, 304, 103
01-20, 23, 19259342, 61, 305, 105
01-20, 24, 19259313, 65, 321, 114
01-20, 24, 19261209, 65, 322, 114
01-20, 25, 19261174, 78, 333, 125
01-20, 25, 19263066, 81, 336, 124
01-20, 26, 19263031, 78, 361, 137
01-20, 26, 19264926, 79, 362, 137
01-20, 27, 19264891, 80, 389, 144
01-20, 27, 19266785, 80, 392, 144
01-20, 28, 19266746, 82, 416, 157
01-20, 28, 19268641, 83, 418, 156
01-20, 29, 19268593, 89, 449, 167
01-20, 29, 19270491, 89, 447, 168
01-20, 30, 19270450, 90, 469, 186
01-20, 30, 19272344, 93, 468, 187
01-20, 31, 19272301, 102, 488, 201
01-20, 31, 19274199, 103, 488, 199
02-19, 1, 19274144, 114, 516, 215
02-19, 1, 19270986, 116, 517, 217
02-19, 2, 19270936, 112, 560, 228
02-19, 2, 19267783, 114, 558, 228
02-19, 3, 19267722, 135, 576, 250
02-19, 3, 19264564, 135, 578, 253
02-19, 4, 19264502, 139, 620, 269
02-19, 4, 19261342, 139, 623, 273
02-19, 5, 19261293, 139, 644, 301
02-19, 5, 19258140, 140, 644, 300
02-19, 6, 19258086, 135, 679, 324
02-19, 6, 19254934, 137, 678, 322
02-19, 7, 19254873, 151, 703, 344
02-19, 7, 19251715, 153, 702, 348
02-19, 8, 19251639, 183, 725, 371
02-19, 8, 19248478, 186, 729, 372
02-19, 9, 19248408, 197, 762, 398
02-19, 9, 19245249, 199, 763, 401
02-19, 10, 19245172, 204, 803, 433
02-19, 10, 19242012, 205, 803, 439
02-19, 11, 19241930, 203, 855, 471
02-19, 11, 19238774, 205, 857, 470
02-19, 12, 19238696, 192, 929, 489
02-19, 12, 19235541, 191, 931, 490
02-19, 13, 19235443, 208, 979, 523
02-19, 13, 19232283, 210, 986, 521
02-19, 14, 19232176, 228, 1036, 560
02-19, 14, 19229019, 231, 1040, 557
02-19, 15, 19228922, 247, 1094, 584
02-19, 15, 19225762, 250, 1098, 584
02-19, 16, 19225652, 261, 1154, 627
02-19, 16, 19222489, 267, 1157, 628
02-19, 17, 19222373, 273, 1221, 674
02-19, 17, 19219212, 273, 1226, 677
02-19, 18, 19219094, 293, 1277, 724
02-19, 18, 19215944, 293, 1279, 719
02-19, 19, 19215815, 302, 1353, 765
02-19, 19, 19212662, 303, 1356, 761
02-19, 20, 19212521, 312, 1447, 802
02-19, 20, 19209356, 316, 1452, 805
02-19, 21, 19209217, 322, 1541, 849
02-19, 21, 19206054, 327, 1542, 853
02-19, 22, 19205898, 351, 1615, 912
02-19, 22, 19202736, 351, 1621, 915
02-19, 23, 19202573, 365, 1715, 970
