Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218067, 11, 1, 0
01-20, 2, 19219964, 11, 1, 0
01-20, 3, 19219941, 30, 5, 0
01-20, 3, 19221838, 30, 5, 0
01-20, 4, 19221824, 34, 13, 2
01-20, 4, 19223721, 34, 13, 2
01-20, 5, 19223701, 40, 27, 2
01-20, 5, 19225598, 40, 27, 2
01-20, 6, 19225580, 35, 49, 3
01-20, 6, 19227476, 36, 49, 3
01-20, 7, 19227459, 38, 61, 6
01-20, 7, 19229356, 38, 61, 6
01-20, 8, 19229329, 44, 81, 7
01-20, 8, 19231226, 44, 81, 7
01-20, 9, 19231212, 38, 98, 10
01-20, 9, 19233108, 38, 99, 10
01-20, 10, 19233089, 47, 107, 12
01-20, 10, 19234985, 48, 107, 12
01-20, 11, 19234958, 55, 125, 14
01-20, 11, 19236856, 54, 125, 14
01-20, 12, 19236835, 51, 141, 22
01-20, 12, 19238729, 53, 142, 22
01-20, 13, 19238711, 49, 161, 25
01-20, 13, 19240607, 50, 161, 25
01-20, 14, 19240589, 42, 182, 30
01-20, 14, 19242487, 42, 182, 29
01-20, 15, 19242469, 34, 205, 32
01-20, 15, 19244365, 35, 205, 32
01-20, 16, 19244335, 47, 217, 38
01-20, 16, 19246232, 47, 217, 38
01-20, 17, 19246213, 45, 230, 46
01-20, 17, 19248110, 46, 228, 47
01-20, 18, 19248091, 45, 242, 53
01-20, 18, 19249989, 45, 241, 53
01-20, 19, 19249955, 63, 247, 63
01-20, 19, 19251851, 63, 247, 64
01-20, 20, 19251817, 72, 261, 75
01-20, 20, 19253713, 72, 262, 75
01-20, 21, 19253694, 64, 282, 82
01-20, 21, 19255592, 64, 282, 81
01-20, 22, 19255558, 78, 295, 88
01-20, 22, 19257454, 78, 297, 87
01-20, 23, 19257428, 69, 324, 95
01-20, 23, 19259323, 69, 325, 96
01-20, 24, 19259291, 78, 336, 108
01-20, 24, 19261187, 80, 335, 108
01-20, 25, 19261156, 80, 357, 117
01-20, 25, 19263051, 81, 358, 117
01-20, 26, 19263009, 86, 381, 131
01-20, 26, 19264909, 86, 379, 130
01-20, 27, 19264873, 83, 409, 139
01-20, 27, 19266769, 83, 410, 139
01-20, 28, 19266737, 87, 424, 153
01-20, 28, 19268635, 87, 423, 153
01-20, 29, 19268581, 113, 440, 164
01-20, 29, 19270472, 114, 445, 164
01-20, 30, 19270441, 103, 465, 186
01-20, 30, 19272339, 104, 464, 185
01-20, 31, 19272294, 111, 489, 198
01-20, 31, 19274192, 110, 488, 199
02-19, 1, 19274160, 99, 513, 217
02-19, 1, 19271005, 100, 514, 217
02-19, 2, 19270952, 115, 534, 235
02-19, 2, 19267801, 115, 532, 235
02-19, 3, 19267748, 125, 556, 254
02-19, 3, 19264596, 125, 555, 254
02-19, 4, 19264542, 126, 588, 274
02-19, 4, 19261386, 127, 590, 274
02-19, 5, 19261334, 133, 618, 292
02-19, 5, 19258177, 135, 620, 292
02-19, 6, 19258127, 145, 640, 312
02-19, 6, 19254971, 146, 642, 312
02-19, 7, 19254903, 163, 669, 336
02-19, 7, 19251752, 163, 667, 336
02-19, 8, 19251677, 170, 709, 362
02-19, 8, 19248525, 170, 708, 362
02-19, 9, 19248466, 165, 744, 390
02-19, 9, 19245309, 164, 747, 392
02-19, 10, 19245234, 170, 797, 411
02-19, 10, 19242080, 170, 797, 412
02-19, 11, 19241994, 177, 849, 439
02-19, 11, 19238840, 178, 848, 440
02-19, 12, 19238739, 217, 880, 470
02-19, 12, 19235587, 217, 880, 469
02-19, 13, 19235498, 222, 938, 495
02-19, 13, 19232343, 222, 941, 494
02-19, 14, 19232251, 223, 1002, 524
02-19, 14, 19229093, 223, 1006, 525
02-19, 15, 19228983, 243, 1057, 564
02-19, 15, 19225827, 244, 1058, 565
02-19, 16, 19225727, 255, 1112, 600
02-19, 16, 19222567, 259, 1116, 599
02-19, 17, 19222457, 267, 1179, 638
02-19, 17, 19219296, 271, 1183, 638
02-19, 18, 19219176, 302, 1233, 677
02-19, 18, 19216025, 302, 1231, 677
02-19, 19, 19215915, 281, 1319, 720
02-19, 19, 19212760, 281, 1322, 719
02-19, 20, 19212650, 275, 1400, 757
02-19, 20, 19209493, 278, 1404, 754
02-19, 21, 19209346, 328, 1452, 803
02-19, 21, 19206191, 328, 1456, 801
02-19, 22, 19206057, 324, 1548, 847
02-19, 22, 19202900, 328, 1550, 845
02-19, 23, 19202734, 378, 1617, 894
