Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218059, 20, 0, 0
01-20, 2, 19219956, 20, 0, 0
01-20, 3, 19219938, 28, 10, 0
01-20, 3, 19221834, 28, 11, 0
01-20, 4, 19221813, 38, 21, 1
01-20, 4, 19223711, 39, 19, 1
01-20, 5, 19223696, 33, 40, 1
01-20, 5, 19225589, 35, 41, 2
01-20, 6, 19225571, 41, 52, 3
01-20, 6, 19227465, 43, 53, 3
01-20, 7, 19227451, 37, 71, 5
01-20, 7, 19229350, 35, 71, 5
01-20, 8, 19229333, 37, 84, 7
01-20, 8, 19231226, 39, 86, 7
01-20, 9, 19231202, 38, 109, 9
01-20, 9, 19233099, 37, 110, 9
01-20, 10, 19233083, 38, 119, 15
01-20, 10, 19234975, 41, 121, 15
01-20, 11, 19234946, 53, 133, 20
01-20, 11, 19236842, 53, 134, 20
01-20, 12, 19236822, 57, 140, 30
01-20, 12, 19238720, 56, 140, 30
01-20, 13, 19238696, 61, 154, 35
01-20, 13, 19240592, 62, 154, 35
01-20, 14, 19240577, 51, 175, 40
01-20, 14, 19242478, 49, 173, 40
01-20, 15, 19242458, 53, 180, 49
01-20, 15, 19244353, 53, 183, 48
01-20, 16, 19244329, 46, 203, 59
01-20, 16, 19246224, 46, 205, 59
01-20, 17, 19246203, 48, 215, 68
01-20, 17, 19248093, 51, 218, 69
01-20, 18, 19248062, 58, 239, 72
01-20, 18, 19249952, 58, 245, 73
01-20, 19, 19249941, 47, 262, 78
01-20, 19, 19251832, 48, 265, 80
01-20, 20, 19251809, 52, 274, 90
01-20, 20, 19253705, 53, 272, 92
01-20, 21, 19253682, 57, 284, 99
01-20, 21, 19255575, 57, 288, 99
01-20, 22, 19255545, 70, 289, 115
01-20, 22, 19257437, 71, 293, 115
01-20, 23, 19257403, 85, 304, 124
01-20, 23, 19259295, 84, 311, 123
01-20, 24, 19259266, 78, 337, 132
01-20, 24, 19261160, 79, 338, 133
01-20, 25, 19261138, 68, 360, 144
01-20, 25, 19263032, 70, 359, 146
01-20, 26, 19263004, 66, 374, 163
01-20, 26, 19264897, 68, 372, 167
01-20, 27, 19264868, 67, 399, 170
01-20, 27, 19266759, 69, 401, 172
01-20, 28, 19266712, 90, 410, 189
01-20, 28, 19268607, 90, 411, 190
01-20, 29, 19268566, 93, 435, 204
01-20, 29, 19270454, 93, 441, 207
01-20, 30, 19270409, 103, 457, 226
01-20, 30, 19272299, 104, 461, 228
01-20, 31, 19272254, 102, 492, 244
01-20, 31, 19274146, 101, 495, 247
02-19, 1, 19274104, 94, 524, 267
02-19, 1, 19270954, 93, 525, 264
02-19, 2, 19270905, 106, 535, 290
02-19, 2, 19267748, 106, 541, 288
02-19, 3, 19267708, 112, 560, 303
02-19, 3, 19264557, 110, 563, 300
02-19, 4, 19264503, 119, 586, 322
02-19, 4, 19261354, 117, 586, 320
02-19, 5, 19261289, 135, 609, 344
02-19, 5, 19258138, 137, 606, 343
02-19, 6, 19258072, 147, 638, 367
02-19, 6, 19254921, 148, 638, 364
02-19, 7, 19254861, 149, 673, 388
02-19, 7, 19251713, 148, 675, 382
02-19, 8, 19251647, 147, 720, 404
02-19, 8, 19248503, 146, 717, 399
02-19, 9, 19248430, 168, 741, 426
02-19, 9, 19245286, 167, 738, 421
02-19, 10, 19245227, 168, 775, 442
02-19, 10, 19242072, 169, 773, 445
02-19, 11, 19241994, 173, 831, 461
02-19, 11, 19238838, 174, 828, 466
02-19, 12, 19238760, 173, 870, 503
02-19, 12, 19235598, 172, 879, 504
02-19, 13, 19235512, 186, 926, 529
02-19, 13, 19232352, 185, 932, 531
02-19, 14, 19232259, 183, 1000, 558
02-19, 14, 19229096, 183, 1005, 563
02-19, 15, 19229003, 209, 1038, 597
02-19, 15, 19225842, 209, 1045, 598
02-19, 16, 19225739, 248, 1073, 634
02-19, 16, 19222580, 248, 1078, 635
02-19, 17, 19222467, 265, 1132, 677
02-19, 17, 19219316, 265, 1137, 670
02-19, 18, 19219184, 291, 1209, 704
02-19, 18, 19216025, 292, 1214, 704
02-19, 19, 19215895, 305, 1284, 751
02-19, 19, 19212735, 307, 1289, 751
02-19, 20, 19212593, 339, 1365, 785
02-19, 20, 19209441, 339, 1363, 786
02-19, 21, 19209297, 343, 1451, 838
02-19, 21, 19206137, 349, 1453, 837
02-19, 22, 19205997, 344, 1547, 888
02-19, 22, 19202839, 345, 1552, 887
02-19, 23, 19202698, 335, 1653, 937
