Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218057, 22, 0, 0
01-20, 2, 19219954, 22, 0, 0
01-20, 3, 19219938, 29, 9, 0
01-20, 3, 19221835, 29, 9, 0
01-20, 4, 19221808, 47, 18, 0
01-20, 4, 19223705, 47, 18, 0
01-20, 5, 19223684, 51, 34, 1
01-20, 5, 19225580, 52, 34, 1
01-20, 6, 19225563, 45, 57, 2
01-20, 6, 19227460, 45, 57, 2
01-20, 7, 19227442, 46, 72, 4
01-20, 7, 19229339, 46, 72, 4
01-20, 8, 19229319, 52, 83, 7
01-20, 8, 19231216, 52, 83, 7
01-20, 9, 19231202, 38, 111, 7
01-20, 9, 19233099, 38, 111, 7
01-20, 10, 19233078, 41, 124, 12
01-20, 10, 19234974, 42, 124, 12
01-20, 11, 19234952, 45, 138, 17
01-20, 11, 19236849, 45, 138, 17
01-20, 12, 19236823, 50, 153, 23
01-20, 12, 19238720, 50, 153, 23
01-20, 13, 19238698, 52, 169, 27
01-20, 13, 19240595, 52, 169, 27
01-20, 14, 19240578, 50, 180, 35
01-20, 14, 19242475, 50, 180, 35
01-20, 15, 19242454, 50, 196, 40
01-20, 15, 19244352, 50, 195, 40
01-20, 16, 19244335, 48, 206, 48
01-20, 16, 19246231, 49, 206, 48
01-20, 17, 19246212, 47, 221, 54
01-20, 17, 19248110, 47, 220, 54
01-20, 18, 19248083, 55, 235, 58
01-20, 18, 19249979, 55, 236, 58
01-20, 19, 19249956, 58, 248, 66
01-20, 19, 19251852, 59, 248, 66
01-20, 20, 19251824, 57, 266, 78
01-20, 20, 19253720, 59, 265, 78
01-20, 21, 19253686, 71, 280, 85
01-20, 21, 19255584, 71, 280, 84
01-20, 22, 19255568, 64, 293, 94
01-20, 22, 19257465, 64, 293, 94
01-20, 23, 19257429, 78, 306, 103
01-20, 23, 19259325, 78, 307, 103
01-20, 24, 19259297, 76, 327, 113
01-20, 24, 19261194, 76, 327, 113
01-20, 25, 19261155, 82, 350, 123
01-20, 25, 19263052, 82, 351, 122
01-20, 26, 19263018, 87, 368, 134
01-20, 26, 19264915, 87, 368, 134
01-20, 27, 19264866, 104, 388, 146
01-20, 27, 19266762, 104, 389, 146
01-20, 28, 19266729, 101, 409, 162
01-20, 28, 19268628, 101, 411, 158
01-20, 29, 19268585, 113, 433, 167
01-20, 29, 19270482, 114, 434, 165
01-20, 30, 19270440, 108, 466, 181
01-20, 30, 19272333, 109, 468, 182
01-20, 31, 19272288, 109, 498, 197
01-20, 31, 19274181, 109, 499, 200
02-19, 1, 19274138, 103, 536, 212
02-19, 1, 19270988, 103, 533, 212
02-19, 2, 19270944, 112, 546, 234
02-19, 2, 19267789, 112, 547, 235
02-19, 3, 19267735, 115, 576, 257
02-19, 3, 19264582, 115, 575, 258
02-19, 4, 19264523, 133, 597, 277
02-19, 4, 19261368, 133, 598, 278
02-19, 5, 19261299, 144, 633, 301
02-19, 5, 19258153, 141, 630, 300
02-19, 6, 19258094, 139, 665, 326
02-19, 6, 19254945, 139, 664, 323
02-19, 7, 19254867, 155, 711, 338
02-19, 7, 19251715, 153, 711, 339
02-19, 8, 19251654, 150, 753, 361
02-19, 8, 19248500, 150, 756, 359
02-19, 9, 19248426, 161, 796, 382
02-19, 9, 19245270, 163, 797, 382
02-19, 10, 19245201, 172, 826, 413
02-19, 10, 19242049, 174, 826, 410
02-19, 11, 19241957, 204, 856, 442
02-19, 11, 19238805, 205, 854, 442
02-19, 12, 19238723, 194, 912, 477
02-19, 12, 19235571, 195, 914, 473
02-19, 13, 19235472, 215, 964, 502
02-19, 13, 19232325, 216, 962, 497
02-19, 14, 19232240, 208, 1022, 530
02-19, 14, 19229092, 208, 1021, 526
02-19, 15, 19228983, 233, 1068, 563
02-19, 15, 19225831, 232, 1065, 566
02-19, 16, 19225737, 232, 1108, 617
02-19, 16, 19222580, 232, 1111, 618
02-19, 17, 19222474, 246, 1157, 664
02-19, 17, 19219324, 246, 1153, 665
02-19, 18, 19219213, 260, 1200, 715
02-19, 18, 19216064, 259, 1200, 712
02-19, 19, 19215956, 262, 1272, 745
02-19, 19, 19212800, 263, 1272, 747
02-19, 20, 19212676, 276, 1337, 793
02-19, 20, 19209524, 277, 1339, 789
02-19, 21, 19209368, 329, 1394, 838
02-19, 21, 19206217, 328, 1392, 839
02-19, 22, 19206093, 319, 1483, 881
02-19, 22, 19202936, 319, 1483, 885
02-19, 23, 19202777, 357, 1557, 932
