Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218065, 14, 0, 0
01-20, 2, 19219962, 14, 0, 0
01-20, 3, 19219940, 32, 4, 0
01-20, 3, 19221837, 32, 4, 0
01-20, 4, 19221820, 38, 14, 1
01-20, 4, 19223717, 38, 14, 1
01-20, 5, 19223697, 39, 33, 1
01-20, 5, 19225594, 39, 33, 1
01-20, 6, 19225576, 44, 43, 4
01-20, 6, 19227473, 44, 43, 4
01-20, 7, 19227455, 45, 59, 5
01-20, 7, 19229352, 45, 59, 5
01-20, 8, 19229329, 48, 78, 6
01-20, 8, 19231226, 48, 78, 6
01-20, 9, 19231200, 53, 98, 7
01-20, 9, 19233097, 53, 98, 7
01-20, 10, 19233078, 51, 114, 12
01-20, 10, 19234975, 51, 114, 12
01-20, 11, 19234953, 50, 135, 14
01-20, 11, 19236850, 50, 135, 14
01-20, 12, 19236833, 50, 149, 17
01-20, 12, 19238730, 50, 149, 17
01-20, 13, 19238709, 49, 166, 22
01-20, 13, 19240605, 50, 166, 22
01-20, 14, 19240585, 53, 178, 27
01-20, 14, 19242481, 54, 178, 27
01-20, 15, 19242461, 50, 197, 32
01-20, 15, 19244357, 51, 197, 32
01-20, 16, 19244339, 43, 215, 40
01-20, 16, 19246235, 44, 215, 40
01-20, 17, 19246214, 50, 222, 48
01-20, 17, 19248112, 49, 222, 48
01-20, 18, 19248083, 62, 233, 53
01-20, 18, 19249980, 62, 233, 53
01-20, 19, 19249960, 60, 251, 57
01-20, 19, 19251858, 59, 251, 57
01-20, 20, 19251837, 49, 273, 66
01-20, 20, 19253735, 48, 273, 66
01-20, 21, 19253699, 68, 284, 71
01-20, 21, 19255596, 68, 284, 71
01-20, 22, 19255562, 82, 294, 81
01-20, 22, 19257460, 81, 294, 81
01-20, 23, 19257428, 85, 311, 92
01-20, 23, 19259326, 84, 311, 92
01-20, 24, 19259292, 81, 332, 108
01-20, 24, 19261189, 81, 332, 108
01-20, 25, 19261155, 85, 352, 118
01-20, 25, 19263051, 85, 353, 118
01-20, 26, 19263021, 83, 371, 132
01-20, 26, 19264917, 83, 372, 132
01-20, 27, 19264882, 81, 390, 151
01-20, 27, 19266780, 80, 390, 151
01-20, 28, 19266748, 92, 394, 167
01-20, 28, 19268644, 92, 395, 167
01-20, 29, 19268612, 88, 415, 183
01-20, 29, 19270508, 88, 416, 183
01-20, 30, 19270464, 97, 436, 198
01-20, 30, 19272361, 98, 436, 197
01-20, 31, 19272320, 103, 460, 209
01-20, 31, 19274214, 102, 463, 210
02-19, 1, 19274163, 111, 492, 223
02-19, 1, 19271014, 109, 490, 223
02-19, 2, 19270963, 117, 520, 236
02-19, 2, 19267810, 116, 521, 236
02-19, 3, 19267755, 127, 548, 253
02-19, 3, 19264604, 124, 549, 253
02-19, 4, 19264560, 123, 570, 277
02-19, 4, 19261409, 123, 567, 278
02-19, 5, 19261358, 129, 590, 300
02-19, 5, 19258208, 128, 588, 300
02-19, 6, 19258147, 136, 617, 324
02-19, 6, 19254994, 136, 618, 323
02-19, 7, 19254929, 149, 645, 348
02-19, 7, 19251779, 147, 644, 348
02-19, 8, 19251710, 158, 674, 376
02-19, 8, 19248552, 159, 674, 380
02-19, 9, 19248497, 154, 705, 409
02-19, 9, 19245340, 158, 706, 408
02-19, 10, 19245276, 160, 749, 427
02-19, 10, 19242116, 160, 754, 429
02-19, 11, 19242032, 176, 803, 448
02-19, 11, 19238880, 174, 804, 448
02-19, 12, 19238800, 187, 843, 476
02-19, 12, 19235649, 188, 841, 475
02-19, 13, 19235552, 215, 880, 506
02-19, 13, 19232401, 215, 881, 503
02-19, 14, 19232323, 209, 933, 535
02-19, 14, 19229170, 208, 934, 535
02-19, 15, 19229078, 218, 981, 570
02-19, 15, 19225925, 217, 983, 569
02-19, 16, 19225827, 225, 1029, 613
02-19, 16, 19222673, 226, 1031, 611
02-19, 17, 19222584, 227, 1086, 644
02-19, 17, 19219434, 227, 1084, 643
02-19, 18, 19219330, 225, 1142, 691
02-19, 18, 19216178, 224, 1144, 689
02-19, 19, 19216073, 245, 1184, 733
02-19, 19, 19212915, 244, 1188, 735
02-19, 20, 19212803, 266, 1243, 770
02-19, 20, 19209653, 262, 1244, 770
02-19, 21, 19209534, 280, 1306, 809
02-19, 21, 19206384, 279, 1302, 811
02-19, 22, 19206244, 293, 1383, 856
02-19, 22, 19203079, 295, 1394, 855
02-19, 23, 19202925, 344, 1447, 907
