Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218065, 14, 0, 0
01-20, 2, 19219962, 14, 0, 0
01-20, 3, 19219944, 26, 6, 0
01-20, 3, 19221842, 26, 5, 0
01-20, 4, 19221827, 34, 12, 0
01-20, 4, 19223722, 34, 14, 0
01-20, 5, 19223705, 35, 30, 0
01-20, 5, 19225602, 35, 30, 0
01-20, 6, 19225587, 38, 41, 1
01-20, 6, 19227480, 41, 42, 1
01-20, 7, 19227458, 50, 52, 4
01-20, 7, 19229358, 47, 52, 4
01-20, 8, 19229341, 44, 72, 4
01-20, 8, 19231238, 42, 74, 4
01-20, 9, 19231218, 43, 87, 10
01-20, 9, 19233119, 40, 86, 10
01-20, 10, 19233102, 44, 93, 16
01-20, 10, 19234996, 47, 93, 16
01-20, 11, 19234980, 50, 101, 21
01-20, 11, 19236879, 50, 99, 21
01-20, 12, 19236856, 58, 113, 22
01-20, 12, 19238752, 58, 114, 22
01-20, 13, 19238729, 53, 139, 25
01-20, 13, 19240633, 50, 135, 25
01-20, 14, 19240611, 47, 157, 28
01-20, 14, 19242511, 45, 156, 28
01-20, 15, 19242485, 51, 173, 31
01-20, 15, 19244381, 52, 173, 31
01-20, 16, 19244363, 56, 178, 40
01-20, 16, 19246255, 56, 183, 40
01-20, 17, 19246244, 47, 199, 44
01-20, 17, 19248143, 43, 200, 45
01-20, 18, 19248117, 52, 208, 54
01-20, 18, 19250013, 55, 205, 55
01-20, 19, 19249994, 51, 218, 65
01-20, 19, 19251893, 49, 217, 66
01-20, 20, 19251871, 51, 233, 70
01-20, 20, 19253772, 48, 234, 68
01-20, 21, 19253753, 56, 235, 78
01-20, 21, 19255655, 56, 231, 77
01-20, 22, 19255640, 45, 248, 86
01-20, 22, 19257537, 43, 252, 84
01-20, 23, 19257510, 51, 263, 92
01-20, 23, 19259401, 54, 267, 91
01-20, 24, 19259375, 57, 280, 101
01-20, 24, 19261278, 52, 280, 100
01-20, 25, 19261249, 60, 293, 108
01-20, 25, 19263144, 61, 295, 107
01-20, 26, 19263109, 72, 311, 115
01-20, 26, 19265005, 72, 312, 115
01-20, 27, 19264975, 79, 321, 129
01-20, 27, 19266873, 76, 323, 129
01-20, 28, 19266836, 85, 340, 140
01-20, 28, 19268728, 87, 344, 139
01-20, 29, 19268700, 80, 367, 151
01-20, 29, 19270592, 82, 370, 151
01-20, 30, 19270557, 83, 392, 163
01-20, 30, 19272450, 82, 397, 163
01-20, 31, 19272408, 83, 432, 169
01-20, 31, 19274303, 82, 436, 168
02-19, 1, 19274269, 85, 454, 181
02-19, 1, 19271117, 86, 456, 177
02-19, 2, 19271068, 108, 465, 195
02-19, 2, 19267919, 108, 463, 193
02-19, 3, 19267866, 124, 484, 209
02-19, 3, 19264714, 124, 486, 206
02-19, 4, 19264666, 119, 525, 220
02-19, 4, 19261513, 122, 526, 216
02-19, 5, 19261455, 131, 563, 228
02-19, 5, 19258309, 128, 561, 226
02-19, 6, 19258261, 135, 582, 246
02-19, 6, 19255110, 134, 584, 243
02-19, 7, 19255054, 134, 625, 258
02-19, 7, 19251900, 137, 627, 254
02-19, 8, 19251841, 143, 659, 275
02-19, 8, 19248684, 148, 659, 274
02-19, 9, 19248626, 148, 693, 298
02-19, 9, 19245473, 149, 695, 295
02-19, 10, 19245393, 168, 735, 316
02-19, 10, 19242238, 170, 738, 313
02-19, 11, 19242184, 166, 760, 349
02-19, 11, 19239031, 166, 763, 346
02-19, 12, 19238952, 175, 803, 376
02-19, 12, 19235798, 175, 805, 375
02-19, 13, 19235710, 194, 850, 399
02-19, 13, 19232561, 194, 848, 397
02-19, 14, 19232483, 199, 898, 420
02-19, 14, 19229322, 204, 902, 419
02-19, 15, 19229236, 212, 951, 448
02-19, 15, 19226081, 211, 954, 448
02-19, 16, 19225984, 230, 1001, 479
02-19, 16, 19222836, 227, 1001, 477
02-19, 17, 19222722, 248, 1061, 510
02-19, 17, 19219570, 251, 1059, 508
02-19, 18, 19219473, 250, 1129, 536
02-19, 18, 19216320, 254, 1126, 535
02-19, 19, 19216216, 252, 1201, 566
02-19, 19, 19213057, 254, 1203, 568
02-19, 20, 19212917, 298, 1265, 602
02-19, 20, 19209758, 297, 1273, 601
02-19, 21, 19209612, 331, 1355, 631
02-19, 21, 19206451, 332, 1361, 632
02-19, 22, 19206297, 342, 1471, 666
02-19, 22, 19203146, 345, 1468, 664
02-19, 23, 19202985, 368, 1562, 708
