Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218058, 21, 0, 0
01-20, 2, 19219955, 20, 1, 0
01-20, 3, 19219940, 27, 9, 0
01-20, 3, 19221836, 28, 9, 0
01-20, 4, 19221819, 35, 19, 0
01-20, 4, 19223715, 35, 20, 0
01-20, 5, 19223692, 47, 31, 0
01-20, 5, 19225588, 48, 31, 0
01-20, 6, 19225571, 43, 53, 0
01-20, 6, 19227467, 43, 54, 0
01-20, 7, 19227449, 43, 70, 2
01-20, 7, 19229345, 43, 71, 2
01-20, 8, 19229331, 38, 90, 2
01-20, 8, 19231225, 40, 91, 2
01-20, 9, 19231212, 41, 100, 5
01-20, 9, 19233106, 43, 101, 5
01-20, 10, 19233088, 41, 120, 6
01-20, 10, 19234982, 42, 121, 7
01-20, 11, 19234967, 39, 134, 12
01-20, 11, 19236863, 39, 135, 12
01-20, 12, 19236843, 43, 148, 15
01-20, 12, 19238739, 42, 150, 15
01-20, 13, 19238718, 45, 165, 18
01-20, 13, 19240613, 45, 167, 18
01-20, 14, 19240591, 52, 178, 22
01-20, 14, 19242488, 51, 179, 22
01-20, 15, 19242464, 61, 187, 28
01-20, 15, 19244360, 61, 188, 28
01-20, 16, 19244338, 64, 205, 30
01-20, 16, 19246234, 65, 205, 30
01-20, 17, 19246215, 58, 223, 38
01-20, 17, 19248112, 57, 224, 38
01-20, 18, 19248090, 53, 241, 47
01-20, 18, 19249988, 51, 242, 47
01-20, 19, 19249966, 56, 249, 57
01-20, 19, 19251859, 57, 251, 58
01-20, 20, 19251830, 65, 258, 72
01-20, 20, 19253727, 64, 259, 72
01-20, 21, 19253709, 61, 270, 82
01-20, 21, 19255603, 63, 271, 82
01-20, 22, 19255582, 55, 288, 94
01-20, 22, 19257476, 56, 289, 95
01-20, 23, 19257454, 51, 306, 105
01-20, 23, 19259350, 50, 307, 106
01-20, 24, 19259321, 60, 318, 114
01-20, 24, 19261217, 60, 319, 114
01-20, 25, 19261188, 71, 320, 131
01-20, 25, 19263083, 73, 320, 131
01-20, 26, 19263053, 77, 336, 141
01-20, 26, 19264946, 77, 338, 143
01-20, 27, 19264916, 73, 358, 157
01-20, 27, 19266814, 73, 359, 155
01-20, 28, 19266782, 68, 388, 163
01-20, 28, 19268676, 67, 392, 163
01-20, 29, 19268637, 81, 396, 184
01-20, 29, 19270532, 82, 397, 184
01-20, 30, 19270498, 86, 417, 194
01-20, 30, 19272395, 85, 420, 192
01-20, 31, 19272355, 98, 434, 205
01-20, 31, 19274250, 97, 437, 205
02-19, 1, 19274214, 93, 462, 220
02-19, 1, 19271053, 95, 469, 219
02-19, 2, 19270999, 117, 482, 238
02-19, 2, 19267843, 117, 483, 240
02-19, 3, 19267796, 118, 510, 259
02-19, 3, 19264636, 120, 511, 263
02-19, 4, 19264582, 131, 535, 282
02-19, 4, 19261430, 132, 536, 279
02-19, 5, 19261367, 139, 573, 298
02-19, 5, 19258218, 140, 566, 300
02-19, 6, 19258161, 140, 598, 325
02-19, 6, 19255011, 141, 593, 326
02-19, 7, 19254949, 148, 626, 348
02-19, 7, 19251799, 146, 629, 344
02-19, 8, 19251736, 150, 670, 362
02-19, 8, 19248584, 153, 667, 361
02-19, 9, 19248528, 148, 703, 386
02-19, 9, 19245371, 146, 710, 385
02-19, 10, 19245285, 175, 743, 409
02-19, 10, 19242124, 179, 750, 406
02-19, 11, 19242042, 186, 808, 423
02-19, 11, 19238888, 187, 807, 424
02-19, 12, 19238813, 199, 842, 452
02-19, 12, 19235666, 196, 840, 451
02-19, 13, 19235584, 194, 901, 474
02-19, 13, 19232435, 195, 895, 475
02-19, 14, 19232339, 222, 939, 500
02-19, 14, 19229188, 220, 935, 504
02-19, 15, 19229099, 213, 1001, 534
02-19, 15, 19225957, 208, 1000, 529
02-19, 16, 19225842, 243, 1030, 579
02-19, 16, 19222684, 246, 1028, 583
02-19, 17, 19222574, 250, 1107, 610
02-19, 17, 19219427, 250, 1099, 612
02-19, 18, 19219316, 255, 1173, 644
02-19, 18, 19216167, 253, 1170, 645
02-19, 19, 19216046, 268, 1236, 685
02-19, 19, 19212899, 269, 1223, 691
02-19, 20, 19212788, 267, 1292, 735
02-19, 20, 19209636, 271, 1283, 739
02-19, 21, 19209521, 291, 1338, 779
02-19, 21, 19206373, 295, 1330, 778
02-19, 22, 19206242, 299, 1404, 831
02-19, 22, 19203091, 303, 1400, 829
02-19, 23, 19202926, 340, 1465, 892
