Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218053, 26, 0, 0
01-20, 2, 19219950, 26, 0, 0
01-20, 3, 19219931, 37, 8, 0
01-20, 3, 19221828, 37, 8, 0
01-20, 4, 19221812, 45, 15, 1
01-20, 4, 19223709, 45, 15, 1
01-20, 5, 19223689, 47, 33, 1
01-20, 5, 19225586, 47, 33, 1
01-20, 6, 19225565, 51, 49, 2
01-20, 6, 19227462, 51, 49, 2
01-20, 7, 19227449, 46, 66, 3
01-20, 7, 19229346, 46, 66, 3
01-20, 8, 19229325, 46, 83, 7
01-20, 8, 19231223, 46, 82, 7
01-20, 9, 19231201, 51, 98, 8
01-20, 9, 19233095, 51, 101, 8
01-20, 10, 19233071, 54, 115, 15
01-20, 10, 19234964, 56, 117, 15
01-20, 11, 19234943, 62, 129, 18
01-20, 11, 19236839, 62, 129, 19
01-20, 12, 19236814, 68, 142, 25
01-20, 12, 19238708, 69, 144, 25
01-20, 13, 19238686, 60, 170, 30
01-20, 13, 19240582, 60, 171, 30
01-20, 14, 19240563, 58, 187, 35
01-20, 14, 19242459, 58, 188, 35
01-20, 15, 19242445, 48, 201, 46
01-20, 15, 19244338, 49, 204, 46
01-20, 16, 19244318, 54, 208, 57
01-20, 16, 19246215, 54, 208, 57
01-20, 17, 19246193, 58, 218, 65
01-20, 17, 19248085, 60, 221, 65
01-20, 18, 19248066, 54, 238, 73
01-20, 18, 19249963, 54, 238, 73
01-20, 19, 19249937, 54, 257, 80
01-20, 19, 19251831, 55, 259, 80
01-20, 20, 19251797, 66, 276, 86
01-20, 20, 19253694, 67, 275, 86
01-20, 21, 19253665, 68, 299, 90
01-20, 21, 19255562, 68, 299, 90
01-20, 22, 19255523, 83, 312, 101
01-20, 22, 19257416, 85, 314, 101
01-20, 23, 19257379, 88, 338, 111
01-20, 23, 19259274, 90, 338, 111
01-20, 24, 19259220, 107, 366, 120
01-20, 24, 19261113, 108, 369, 120
01-20, 25, 19261076, 99, 405, 130
01-20, 25, 19262975, 100, 402, 130
01-20, 26, 19262931, 112, 421, 143
01-20, 26, 19264829, 113, 419, 143
01-20, 27, 19264783, 117, 446, 158
01-20, 27, 19266679, 118, 446, 158
01-20, 28, 19266632, 123, 471, 175
01-20, 28, 19268529, 123, 471, 175
01-20, 29, 19268475, 138, 487, 198
01-20, 29, 19270371, 139, 488, 197
01-20, 30, 19270324, 128, 528, 215
01-20, 30, 19272221, 128, 528, 215
01-20, 31, 19272181, 117, 560, 234
01-20, 31, 19274070, 121, 563, 235
02-19, 1, 19274012, 133, 594, 250
02-19, 1, 19270856, 133, 597, 250
02-19, 2, 19270799, 135, 633, 269
02-19, 2, 19267647, 136, 631, 269
02-19, 3, 19267585, 153, 647, 298
02-19, 3, 19264433, 153, 645, 299
02-19, 4, 19264372, 150, 686, 322
02-19, 4, 19261227, 149, 679, 322
02-19, 5, 19261176, 136, 721, 344
02-19, 5, 19258019, 139, 723, 343
02-19, 6, 19257958, 152, 747, 367
02-19, 6, 19254800, 155, 747, 369
02-19, 7, 19254731, 170, 783, 387
02-19, 7, 19251581, 171, 779, 387
02-19, 8, 19251479, 203, 824, 412
02-19, 8, 19248329, 206, 819, 411
02-19, 9, 19248256, 191, 882, 436
02-19, 9, 19245100, 193, 882, 437
02-19, 10, 19245004, 218, 911, 479
02-19, 10, 19241846, 221, 910, 482
02-19, 11, 19241761, 216, 969, 513
02-19, 11, 19238602, 219, 972, 513
02-19, 12, 19238508, 237, 1011, 550
02-19, 12, 19235353, 239, 1013, 548
02-19, 13, 19235251, 238, 1083, 581
02-19, 13, 19232093, 239, 1087, 581
02-19, 14, 19232005, 244, 1130, 621
02-19, 14, 19228853, 245, 1129, 620
02-19, 15, 19228753, 257, 1187, 650
02-19, 15, 19225609, 259, 1179, 647
02-19, 16, 19225493, 267, 1247, 687
02-19, 16, 19222333, 271, 1252, 685
02-19, 17, 19222205, 287, 1329, 720
02-19, 17, 19219052, 290, 1328, 718
02-19, 18, 19218912, 317, 1389, 770
02-19, 18, 19215761, 323, 1382, 769
02-19, 19, 19215628, 355, 1444, 808
02-19, 19, 19212489, 353, 1433, 807
02-19, 20, 19212335, 366, 1530, 851
02-19, 20, 19209186, 366, 1524, 853
02-19, 21, 19209024, 383, 1618, 904
02-19, 21, 19205885, 384, 1602, 905
02-19, 22, 19205711, 399, 1703, 963
02-19, 22, 19202567, 398, 1698, 960
