Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218062, 17, 0, 0
01-20, 2, 19219959, 17, 0, 0
01-20, 3, 19219930, 37, 9, 0
01-20, 3, 19221829, 35, 9, 0
01-20, 4, 19221815, 34, 24, 0
01-20, 4, 19223712, 36, 22, 0
01-20, 5, 19223686, 48, 35, 1
01-20, 5, 19225585, 46, 35, 1
01-20, 6, 19225562, 47, 57, 1
01-20, 6, 19227460, 47, 56, 1
01-20, 7, 19227438, 51, 72, 3
01-20, 7, 19229335, 52, 71, 3
01-20, 8, 19229318, 49, 90, 4
01-20, 8, 19231211, 48, 95, 4
01-20, 9, 19231184, 59, 106, 9
01-20, 9, 19233074, 60, 112, 9
01-20, 10, 19233060, 53, 129, 13
01-20, 10, 19234955, 56, 128, 13
01-20, 11, 19234929, 61, 147, 15
01-20, 11, 19236825, 61, 148, 15
01-20, 12, 19236805, 54, 170, 20
01-20, 12, 19238704, 54, 167, 21
01-20, 13, 19238682, 51, 188, 25
01-20, 13, 19240578, 52, 188, 25
01-20, 14, 19240563, 49, 201, 30
01-20, 14, 19242464, 49, 197, 30
01-20, 15, 19242446, 46, 214, 34
01-20, 15, 19244347, 46, 210, 34
01-20, 16, 19244331, 41, 226, 39
01-20, 16, 19246225, 42, 228, 39
01-20, 17, 19246208, 43, 239, 44
01-20, 17, 19248105, 44, 238, 44
01-20, 18, 19248090, 44, 243, 54
01-20, 18, 19249991, 45, 238, 54
01-20, 19, 19249973, 47, 250, 58
01-20, 19, 19251874, 49, 244, 58
01-20, 20, 19251851, 52, 257, 65
01-20, 20, 19253746, 54, 257, 65
01-20, 21, 19253722, 53, 273, 74
01-20, 21, 19255617, 55, 273, 74
01-20, 22, 19255594, 61, 285, 79
01-20, 22, 19257489, 61, 287, 79
01-20, 23, 19257459, 65, 306, 86
01-20, 23, 19259350, 69, 308, 86
01-20, 24, 19259328, 64, 324, 97
01-20, 24, 19261219, 68, 325, 98
01-20, 25, 19261190, 73, 339, 108
01-20, 25, 19263087, 73, 339, 108
01-20, 26, 19263049, 81, 355, 122
01-20, 26, 19264950, 80, 352, 122
01-20, 27, 19264915, 86, 369, 134
01-20, 27, 19266812, 85, 370, 134
01-20, 28, 19266778, 82, 398, 143
01-20, 28, 19268671, 86, 398, 143
01-20, 29, 19268637, 83, 417, 161
01-20, 29, 19270529, 84, 421, 161
01-20, 30, 19270483, 93, 448, 171
01-20, 30, 19272376, 95, 449, 172
01-20, 31, 19272334, 103, 466, 189
01-20, 31, 19274222, 107, 470, 190
02-19, 1, 19274192, 95, 498, 204
02-19, 1, 19271041, 94, 497, 204
02-19, 2, 19270999, 94, 528, 215
02-19, 2, 19267850, 90, 528, 215
02-19, 3, 19267809, 93, 547, 234
02-19, 3, 19264655, 93, 547, 235
02-19, 4, 19264609, 108, 562, 251
02-19, 4, 19261463, 104, 559, 251
02-19, 5, 19261411, 111, 591, 264
02-19, 5, 19258259, 109, 591, 265
02-19, 6, 19258198, 121, 617, 288
02-19, 6, 19255040, 121, 620, 290
02-19, 7, 19254990, 129, 615, 337
02-19, 7, 19251841, 126, 612, 339
02-19, 8, 19251786, 125, 646, 361
02-19, 8, 19248640, 123, 639, 363
02-19, 9, 19248574, 138, 670, 383
02-19, 9, 19245410, 140, 677, 385
02-19, 10, 19245346, 141, 714, 411
02-19, 10, 19242182, 144, 720, 413
02-19, 11, 19242126, 146, 745, 442
02-19, 11, 19238964, 144, 757, 441
02-19, 12, 19238893, 155, 785, 473
02-19, 12, 19235733, 155, 791, 474
02-19, 13, 19235664, 164, 828, 497
02-19, 13, 19232506, 165, 830, 499
02-19, 14, 19232412, 198, 857, 533
02-19, 14, 19229251, 198, 859, 539
02-19, 15, 19229170, 203, 908, 566
02-19, 15, 19226006, 207, 913, 568
02-19, 16, 19225918, 212, 967, 597
02-19, 16, 19222763, 211, 969, 598
02-19, 17, 19222670, 218, 1012, 641
02-19, 17, 19219513, 220, 1013, 642
02-19, 18, 19219422, 232, 1052, 682
02-19, 18, 19216251, 238, 1060, 686
02-19, 19, 19216151, 238, 1123, 723
02-19, 19, 19212984, 245, 1126, 727
02-19, 20, 19212846, 290, 1178, 768
02-19, 20, 19209691, 287, 1178, 773
02-19, 21, 19209571, 278, 1262, 818
02-19, 21, 19206407, 277, 1270, 822
02-19, 22, 19206274, 319, 1321, 862
02-19, 22, 19203124, 316, 1319, 864
02-19, 23, 19202984, 330, 1392, 917
