Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218057, 22, 0, 0
01-20, 2, 19219954, 22, 0, 0
01-20, 3, 19219939, 27, 10, 0
01-20, 3, 19221835, 28, 10, 0
01-20, 4, 19221811, 36, 25, 1
01-20, 4, 19223708, 35, 26, 1
01-20, 5, 19223695, 38, 34, 3
01-20, 5, 19225593, 37, 34, 3
01-20, 6, 19225567, 53, 44, 3
01-20, 6, 19227467, 50, 44, 3
01-20, 7, 19227454, 43, 60, 7
01-20, 7, 19229350, 43, 61, 7
01-20, 8, 19229331, 47, 76, 7
01-20, 8, 19231227, 47, 76, 8
01-20, 9, 19231212, 39, 96, 11
01-20, 9, 19233110, 40, 94, 11
01-20, 10, 19233080, 52, 105, 18
01-20, 10, 19234975, 52, 107, 18
01-20, 11, 19234952, 59, 116, 25
01-20, 11, 19236846, 59, 118, 26
01-20, 12, 19236828, 62, 129, 30
01-20, 12, 19238728, 62, 126, 30
01-20, 13, 19238700, 70, 144, 32
01-20, 13, 19240599, 70, 142, 32
01-20, 14, 19240576, 71, 158, 38
01-20, 14, 19242473, 72, 157, 38
01-20, 15, 19242454, 68, 178, 40
01-20, 15, 19244353, 68, 176, 40
01-20, 16, 19244333, 72, 189, 43
01-20, 16, 19246230, 73, 188, 43
01-20, 17, 19246214, 60, 202, 58
01-20, 17, 19248110, 60, 203, 58
01-20, 18, 19248089, 53, 220, 69
01-20, 18, 19249987, 53, 220, 68
01-20, 19, 19249968, 53, 235, 72
01-20, 19, 19251867, 54, 236, 68
01-20, 20, 19251843, 55, 255, 72
01-20, 20, 19253743, 56, 253, 70
01-20, 21, 19253709, 69, 267, 77
01-20, 21, 19255605, 70, 269, 75
01-20, 22, 19255579, 72, 287, 81
01-20, 22, 19257478, 72, 286, 80
01-20, 23, 19257452, 65, 307, 92
01-20, 23, 19259348, 65, 306, 94
01-20, 24, 19259320, 66, 324, 103
01-20, 24, 19261216, 67, 325, 102
01-20, 25, 19261192, 65, 337, 116
01-20, 25, 19263088, 65, 337, 117
01-20, 26, 19263059, 70, 351, 127
01-20, 26, 19264956, 70, 349, 129
01-20, 27, 19264924, 84, 350, 146
01-20, 27, 19266822, 84, 348, 147
01-20, 28, 19266784, 90, 371, 156
01-20, 28, 19268682, 90, 370, 156
01-20, 29, 19268642, 90, 397, 169
01-20, 29, 19270534, 93, 399, 169
01-20, 30, 19270493, 101, 413, 188
01-20, 30, 19272394, 102, 411, 185
01-20, 31, 19272355, 100, 439, 198
01-20, 31, 19274248, 101, 439, 201
02-19, 1, 19274198, 117, 457, 217
02-19, 1, 19271046, 119, 458, 213
02-19, 2, 19270988, 132, 481, 235
02-19, 2, 19267831, 133, 483, 236
02-19, 3, 19267785, 129, 520, 249
02-19, 3, 19264635, 129, 519, 247
02-19, 4, 19264592, 124, 548, 266
02-19, 4, 19261437, 124, 549, 267
02-19, 5, 19261383, 131, 574, 289
02-19, 5, 19258229, 131, 574, 290
02-19, 6, 19258161, 144, 606, 313
02-19, 6, 19255008, 144, 606, 313
02-19, 7, 19254956, 131, 654, 330
02-19, 7, 19251799, 131, 654, 334
02-19, 8, 19251747, 131, 682, 358
02-19, 8, 19248590, 131, 683, 361
02-19, 9, 19248513, 155, 719, 378
02-19, 9, 19245347, 160, 723, 382
02-19, 10, 19245271, 174, 749, 418
02-19, 10, 19242112, 176, 752, 419
02-19, 11, 19242038, 182, 796, 443
02-19, 11, 19238887, 181, 796, 442
02-19, 12, 19238805, 190, 838, 473
02-19, 12, 19235641, 191, 846, 475
02-19, 13, 19235542, 218, 888, 505
02-19, 13, 19232388, 219, 893, 500
02-19, 14, 19232297, 230, 936, 537
02-19, 14, 19229127, 233, 945, 542
02-19, 15, 19229040, 240, 989, 578
02-19, 15, 19225875, 243, 995, 581
02-19, 16, 19225774, 258, 1044, 618
02-19, 16, 19222618, 256, 1047, 620
02-19, 17, 19222523, 249, 1113, 656
02-19, 17, 19219368, 248, 1116, 656
02-19, 18, 19219237, 289, 1166, 696
02-19, 18, 19216085, 290, 1163, 697
02-19, 19, 19215967, 303, 1219, 746
02-19, 19, 19212810, 304, 1221, 747
02-19, 20, 19212694, 294, 1303, 791
02-19, 20, 19209535, 297, 1307, 790
02-19, 21, 19209400, 311, 1375, 843
02-19, 21, 19206248, 313, 1374, 841
02-19, 22, 19206088, 347, 1459, 882
02-19, 22, 19202929, 355, 1458, 881
02-19, 23, 19202776, 388, 1515, 944
