Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218061, 18, 0, 0
01-20, 2, 19219958, 18, 0, 0
01-20, 3, 19219946, 22, 8, 0
01-20, 3, 19221843, 22, 8, 0
01-20, 4, 19221819, 34, 20, 0
01-20, 4, 19223714, 35, 21, 0
01-20, 5, 19223692, 45, 33, 0
01-20, 5, 19225590, 45, 32, 0
01-20, 6, 19225573, 47, 45, 2
01-20, 6, 19227468, 48, 46, 2
01-20, 7, 19227452, 42, 68, 2
01-20, 7, 19229348, 42, 69, 2
01-20, 8, 19229327, 50, 78, 6
01-20, 8, 19231223, 51, 78, 6
01-20, 9, 19231204, 51, 94, 9
01-20, 9, 19233101, 51, 94, 9
01-20, 10, 19233081, 52, 109, 13
01-20, 10, 19234977, 53, 109, 13
01-20, 11, 19234954, 54, 129, 15
01-20, 11, 19236852, 54, 128, 15
01-20, 12, 19236835, 50, 145, 19
01-20, 12, 19238732, 50, 145, 19
01-20, 13, 19238713, 49, 162, 22
01-20, 13, 19240611, 49, 161, 22
01-20, 14, 19240592, 48, 178, 25
01-20, 14, 19242489, 48, 178, 25
01-20, 15, 19242469, 49, 193, 29
01-20, 15, 19244365, 49, 194, 29
01-20, 16, 19244350, 47, 205, 35
01-20, 16, 19246247, 48, 204, 35
01-20, 17, 19246223, 49, 220, 42
01-20, 17, 19248119, 49, 221, 42
01-20, 18, 19248096, 58, 227, 50
01-20, 18, 19249994, 58, 226, 50
01-20, 19, 19249966, 63, 244, 55
01-20, 19, 19251863, 63, 244, 55
01-20, 20, 19251836, 61, 265, 63
01-20, 20, 19253731, 61, 265, 65
01-20, 21, 19253716, 55, 277, 74
01-20, 21, 19255614, 55, 274, 76
01-20, 22, 19255592, 56, 283, 88
01-20, 22, 19257491, 56, 281, 88
01-20, 23, 19257471, 52, 299, 94
01-20, 23, 19259368, 52, 298, 95
01-20, 24, 19259343, 53, 314, 103
01-20, 24, 19261238, 53, 315, 104
01-20, 25, 19261211, 53, 326, 120
01-20, 25, 19263108, 53, 322, 124
01-20, 26, 19263071, 71, 325, 140
01-20, 26, 19264968, 72, 325, 139
01-20, 27, 19264943, 71, 335, 155
01-20, 27, 19266839, 71, 335, 156
01-20, 28, 19266800, 85, 354, 162
01-20, 28, 19268690, 87, 356, 165
01-20, 29, 19268656, 89, 378, 175
01-20, 29, 19270553, 91, 378, 173
01-20, 30, 19270514, 102, 396, 183
01-20, 30, 19272418, 101, 392, 181
01-20, 31, 19272372, 104, 420, 196
01-20, 31, 19274274, 104, 416, 195
02-19, 1, 19274234, 93, 449, 213
02-19, 1, 19271077, 95, 449, 215
02-19, 2, 19271035, 95, 475, 231
02-19, 2, 19267887, 95, 471, 230
02-19, 3, 19267843, 100, 500, 240
02-19, 3, 19264688, 101, 501, 240
02-19, 4, 19264644, 99, 526, 261
02-19, 4, 19261490, 100, 524, 263
02-19, 5, 19261439, 112, 547, 279
02-19, 5, 19258290, 110, 544, 280
02-19, 6, 19258228, 130, 564, 302
02-19, 6, 19255072, 130, 565, 304
02-19, 7, 19255014, 140, 593, 324
02-19, 7, 19251860, 141, 595, 322
02-19, 8, 19251795, 151, 628, 344
02-19, 8, 19248646, 150, 627, 342
02-19, 9, 19248577, 155, 664, 369
02-19, 9, 19245416, 155, 671, 370
02-19, 10, 19245343, 173, 694, 402
02-19, 10, 19242181, 174, 699, 405
02-19, 11, 19242107, 192, 732, 428
02-19, 11, 19238950, 191, 738, 427
02-19, 12, 19238878, 190, 792, 446
02-19, 12, 19235723, 189, 796, 445
02-19, 13, 19235645, 193, 842, 473
02-19, 13, 19232487, 193, 847, 473
02-19, 14, 19232399, 204, 900, 497
02-19, 14, 19229231, 208, 909, 499
02-19, 15, 19229144, 221, 945, 537
02-19, 15, 19225981, 220, 950, 543
02-19, 16, 19225870, 231, 1018, 575
02-19, 16, 19222704, 231, 1027, 579
02-19, 17, 19222603, 238, 1072, 628
02-19, 17, 19219427, 242, 1086, 633
02-19, 18, 19219326, 246, 1141, 675
02-19, 18, 19216174, 247, 1141, 673
02-19, 19, 19216057, 261, 1207, 710
02-19, 19, 19212894, 260, 1210, 718
02-19, 20, 19212770, 271, 1287, 754
02-19, 20, 19209613, 276, 1287, 753
02-19, 21, 19209465, 312, 1363, 789
02-19, 21, 19206302, 320, 1358, 796
02-19, 22, 19206179, 320, 1425, 852
02-19, 22, 19203022, 323, 1426, 852
02-19, 23, 19202890, 337, 1494, 902
