Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218060, 19, 0, 0
01-20, 2, 19219957, 19, 0, 0
01-20, 3, 19219937, 32, 7, 0
01-20, 3, 19221834, 32, 7, 0
01-20, 4, 19221818, 34, 21, 0
01-20, 4, 19223715, 34, 21, 0
01-20, 5, 19223691, 47, 30, 2
01-20, 5, 19225588, 47, 30, 2
01-20, 6, 19225566, 51, 48, 2
01-20, 6, 19227463, 51, 48, 2
01-20, 7, 19227443, 55, 64, 2
01-20, 7, 19229341, 55, 63, 2
01-20, 8, 19229322, 52, 83, 4
01-20, 8, 19231220, 52, 82, 4
01-20, 9, 19231200, 55, 96, 7
01-20, 9, 19233099, 55, 94, 7
01-20, 10, 19233091, 43, 112, 9
01-20, 10, 19234990, 43, 110, 9
01-20, 11, 19234971, 48, 118, 15
01-20, 11, 19236869, 48, 117, 15
01-20, 12, 19236851, 51, 132, 15
01-20, 12, 19238749, 51, 131, 15
01-20, 13, 19238725, 53, 147, 21
01-20, 13, 19240624, 53, 144, 22
01-20, 14, 19240607, 52, 157, 27
01-20, 14, 19242505, 52, 156, 27
01-20, 15, 19242484, 51, 170, 35
01-20, 15, 19244382, 51, 168, 36
01-20, 16, 19244366, 51, 177, 43
01-20, 16, 19246264, 51, 176, 43
01-20, 17, 19246247, 50, 186, 51
01-20, 17, 19248145, 50, 184, 52
01-20, 18, 19248121, 50, 204, 56
01-20, 18, 19250018, 50, 203, 57
01-20, 19, 19249998, 53, 214, 63
01-20, 19, 19251896, 53, 212, 64
01-20, 20, 19251877, 49, 228, 71
01-20, 20, 19253773, 50, 228, 71
01-20, 21, 19253748, 56, 240, 78
01-20, 21, 19255646, 56, 240, 77
01-20, 22, 19255629, 43, 264, 83
01-20, 22, 19257526, 43, 264, 83
01-20, 23, 19257505, 46, 269, 96
01-20, 23, 19259400, 48, 271, 94
01-20, 24, 19259383, 47, 280, 103
01-20, 24, 19261279, 47, 283, 101
01-20, 25, 19261259, 55, 283, 113
01-20, 25, 19263150, 57, 289, 111
01-20, 26, 19263120, 67, 298, 122
01-20, 26, 19265016, 68, 299, 121
01-20, 27, 19264981, 70, 325, 128
01-20, 27, 19266876, 70, 328, 127
01-20, 28, 19266841, 75, 349, 136
01-20, 28, 19268738, 75, 351, 134
01-20, 29, 19268684, 92, 372, 150
01-20, 29, 19270580, 92, 374, 149
01-20, 30, 19270550, 84, 399, 162
01-20, 30, 19272449, 83, 401, 159
01-20, 31, 19272419, 83, 412, 178
01-20, 31, 19274321, 83, 410, 175
02-19, 1, 19274280, 85, 438, 186
02-19, 1, 19271123, 86, 441, 186
02-19, 2, 19271083, 88, 464, 201
02-19, 2, 19267926, 90, 466, 201
02-19, 3, 19267870, 118, 484, 211
02-19, 3, 19264718, 120, 481, 211
02-19, 4, 19264676, 107, 517, 230
02-19, 4, 19261523, 109, 515, 230
02-19, 5, 19261470, 114, 544, 249
02-19, 5, 19258321, 113, 541, 249
02-19, 6, 19258271, 122, 553, 278
02-19, 6, 19255117, 121, 555, 278
02-19, 7, 19255058, 134, 580, 299
02-19, 7, 19251904, 133, 582, 299
02-19, 8, 19251842, 146, 614, 316
02-19, 8, 19248681, 148, 619, 317
02-19, 9, 19248615, 156, 656, 338
02-19, 9, 19245462, 155, 655, 340
02-19, 10, 19245370, 183, 693, 366
02-19, 10, 19242208, 186, 696, 369
02-19, 11, 19242135, 173, 753, 398
02-19, 11, 19238980, 173, 755, 398
02-19, 12, 19238922, 167, 785, 432
02-19, 12, 19235763, 168, 789, 433
02-19, 13, 19235687, 177, 828, 461
02-19, 13, 19232531, 177, 831, 461
02-19, 14, 19232463, 182, 865, 490
02-19, 14, 19229312, 181, 865, 489
02-19, 15, 19229228, 197, 901, 521
02-19, 15, 19226072, 200, 901, 521
02-19, 16, 19225986, 217, 945, 546
02-19, 16, 19222831, 216, 947, 547
02-19, 17, 19222739, 225, 987, 590
02-19, 17, 19219584, 225, 988, 591
02-19, 18, 19219499, 217, 1036, 636
02-19, 18, 19216345, 218, 1036, 636
02-19, 19, 19216232, 251, 1085, 667
02-19, 19, 19213078, 250, 1086, 668
02-19, 20, 19212959, 265, 1147, 711
02-19, 20, 19209812, 266, 1141, 710
02-19, 21, 19209708, 263, 1219, 739
02-19, 21, 19206553, 266, 1221, 736
02-19, 22, 19206430, 296, 1259, 791
02-19, 22, 19203270, 301, 1259, 793
02-19, 23, 19203137, 320, 1332, 834
