Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218053, 26, 0, 0
01-20, 2, 19219949, 27, 0, 0
01-20, 3, 19219933, 29, 14, 0
01-20, 3, 19221831, 28, 14, 0
01-20, 4, 19221807, 46, 20, 0
01-20, 4, 19223704, 46, 20, 0
01-20, 5, 19223686, 44, 40, 0
01-20, 5, 19225583, 44, 40, 0
01-20, 6, 19225560, 48, 56, 3
01-20, 6, 19227457, 48, 56, 3
01-20, 7, 19227436, 41, 83, 4
01-20, 7, 19229333, 41, 83, 4
01-20, 8, 19229312, 51, 91, 7
01-20, 8, 19231209, 51, 91, 7
01-20, 9, 19231192, 45, 111, 10
01-20, 9, 19233089, 45, 111, 10
01-20, 10, 19233067, 47, 130, 11
01-20, 10, 19234963, 47, 131, 11
01-20, 11, 19234940, 49, 148, 15
01-20, 11, 19236836, 50, 148, 15
01-20, 12, 19236820, 46, 164, 19
01-20, 12, 19238717, 46, 164, 19
01-20, 13, 19238698, 52, 167, 29
01-20, 13, 19240592, 53, 169, 29
01-20, 14, 19240572, 46, 187, 38
01-20, 14, 19242468, 46, 187, 39
01-20, 15, 19242445, 52, 194, 49
01-20, 15, 19244340, 53, 195, 49
01-20, 16, 19244313, 65, 204, 55
01-20, 16, 19246209, 65, 205, 55
01-20, 17, 19246185, 69, 222, 58
01-20, 17, 19248083, 69, 222, 57
01-20, 18, 19248063, 62, 240, 66
01-20, 18, 19249958, 62, 241, 67
01-20, 19, 19249944, 57, 251, 76
01-20, 19, 19251842, 58, 251, 74
01-20, 20, 19251818, 66, 257, 84
01-20, 20, 19253713, 67, 258, 84
01-20, 21, 19253681, 67, 285, 89
01-20, 21, 19255581, 66, 285, 87
01-20, 22, 19255545, 76, 302, 96
01-20, 22, 19257439, 77, 303, 97
01-20, 23, 19257406, 83, 316, 111
01-20, 23, 19259303, 83, 316, 111
01-20, 24, 19259269, 84, 337, 123
01-20, 24, 19261168, 85, 335, 122
01-20, 25, 19261124, 95, 357, 134
01-20, 25, 19263022, 95, 358, 132
01-20, 26, 19262991, 91, 377, 148
01-20, 26, 19264888, 90, 377, 149
01-20, 27, 19264845, 91, 404, 164
01-20, 27, 19266743, 90, 404, 164
01-20, 28, 19266710, 81, 425, 185
01-20, 28, 19268609, 81, 423, 185
01-20, 29, 19268564, 96, 437, 201
01-20, 29, 19270461, 98, 437, 199
01-20, 30, 19270418, 94, 468, 215
01-20, 30, 19272313, 94, 469, 216
01-20, 31, 19272261, 106, 492, 233
01-20, 31, 19274161, 106, 488, 234
02-19, 1, 19274113, 118, 508, 250
02-19, 1, 19270965, 116, 505, 250
02-19, 2, 19270911, 125, 533, 267
02-19, 2, 19267758, 125, 532, 268
02-19, 3, 19267707, 119, 568, 289
02-19, 3, 19264558, 119, 566, 287
02-19, 4, 19264498, 136, 590, 306
02-19, 4, 19261348, 136, 588, 305
02-19, 5, 19261284, 147, 615, 331
02-19, 5, 19258135, 148, 613, 328
02-19, 6, 19258066, 169, 637, 352
02-19, 6, 19254910, 169, 638, 354
02-19, 7, 19254837, 181, 672, 381
02-19, 7, 19251681, 184, 671, 382
02-19, 8, 19251611, 178, 726, 403
02-19, 8, 19248457, 179, 725, 404
02-19, 9, 19248386, 189, 757, 433
02-19, 9, 19245233, 189, 755, 435
02-19, 10, 19245143, 201, 803, 465
02-19, 10, 19241987, 203, 803, 466
02-19, 11, 19241904, 218, 838, 499
02-19, 11, 19238751, 220, 836, 499
02-19, 12, 19238657, 227, 897, 525
02-19, 12, 19235498, 230, 902, 523
02-19, 13, 19235429, 211, 950, 563
02-19, 13, 19232268, 215, 955, 562
02-19, 14, 19232160, 236, 1005, 599
02-19, 14, 19229016, 237, 999, 595
02-19, 15, 19228924, 232, 1063, 628
02-19, 15, 19225769, 234, 1061, 630
02-19, 16, 19225677, 241, 1112, 664
02-19, 16, 19222525, 243, 1113, 660
02-19, 17, 19222399, 266, 1181, 695
02-19, 17, 19219247, 268, 1179, 694
02-19, 18, 19219126, 280, 1246, 736
02-19, 18, 19215968, 282, 1248, 737
02-19, 19, 19215841, 302, 1310, 782
02-19, 19, 19212691, 305, 1307, 779
02-19, 20, 19212554, 331, 1377, 820
02-19, 20, 19209404, 333, 1370, 822
02-19, 21, 19209263, 342, 1447, 877
02-19, 21, 19206103, 349, 1447, 877
02-19, 22, 19205963, 343, 1535, 935
02-19, 22, 19202805, 345, 1539, 934
02-19, 23, 19202654, 366, 1613, 990
