Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218064, 15, 0, 0
01-20, 2, 19219960, 16, 0, 0
01-20, 3, 19219941, 29, 6, 0
01-20, 3, 19221838, 29, 6, 0
01-20, 4, 19221821, 37, 15, 0
01-20, 4, 19223718, 37, 15, 0
01-20, 5, 19223692, 49, 28, 1
01-20, 5, 19225589, 49, 28, 1
01-20, 6, 19225566, 48, 51, 2
01-20, 6, 19227461, 49, 52, 2
01-20, 7, 19227435, 59, 65, 5
01-20, 7, 19229333, 58, 65, 5
01-20, 8, 19229320, 47, 88, 6
01-20, 8, 19231214, 49, 89, 6
01-20, 9, 19231193, 53, 103, 9
01-20, 9, 19233090, 53, 103, 9
01-20, 10, 19233071, 48, 121, 15
01-20, 10, 19234967, 49, 121, 15
01-20, 11, 19234948, 49, 136, 19
01-20, 11, 19236845, 49, 136, 19
01-20, 12, 19236825, 46, 158, 20
01-20, 12, 19238721, 46, 159, 20
01-20, 13, 19238703, 41, 177, 25
01-20, 13, 19240597, 44, 177, 25
01-20, 14, 19240577, 46, 186, 34
01-20, 14, 19242472, 47, 187, 34
01-20, 15, 19242455, 50, 193, 42
01-20, 15, 19244355, 48, 192, 42
01-20, 16, 19244333, 49, 204, 51
01-20, 16, 19246231, 49, 203, 51
01-20, 17, 19246209, 49, 218, 58
01-20, 17, 19248104, 49, 220, 58
01-20, 18, 19248079, 51, 231, 70
01-20, 18, 19249977, 51, 230, 70
01-20, 19, 19249952, 58, 244, 74
01-20, 19, 19251849, 57, 245, 74
01-20, 20, 19251823, 55, 267, 80
01-20, 20, 19253717, 56, 269, 80
01-20, 21, 19253696, 53, 287, 86
01-20, 21, 19255591, 52, 290, 86
01-20, 22, 19255565, 60, 300, 94
01-20, 22, 19257460, 60, 302, 94
01-20, 23, 19257435, 62, 319, 100
01-20, 23, 19259333, 63, 317, 100
01-20, 24, 19259309, 61, 329, 114
01-20, 24, 19261201, 62, 332, 115
01-20, 25, 19261176, 55, 352, 127
01-20, 25, 19263063, 60, 357, 127
01-20, 26, 19263026, 77, 366, 138
01-20, 26, 19264923, 75, 367, 139
01-20, 27, 19264893, 77, 383, 151
01-20, 27, 19266789, 77, 384, 151
01-20, 28, 19266749, 93, 401, 158
01-20, 28, 19268643, 93, 404, 158
01-20, 29, 19268610, 93, 422, 173
01-20, 29, 19270507, 91, 424, 173
01-20, 30, 19270473, 85, 451, 186
01-20, 30, 19272366, 85, 455, 186
01-20, 31, 19272325, 89, 475, 203
01-20, 31, 19274221, 88, 477, 203
02-19, 1, 19274163, 114, 487, 225
02-19, 1, 19271000, 117, 491, 228
02-19, 2, 19270947, 121, 516, 252
02-19, 2, 19267787, 123, 519, 254
02-19, 3, 19267740, 120, 550, 273
02-19, 3, 19264587, 119, 551, 273
02-19, 4, 19264540, 114, 587, 289
02-19, 4, 19261382, 118, 589, 288
02-19, 5, 19261310, 143, 611, 313
02-19, 5, 19258157, 141, 614, 312
02-19, 6, 19258111, 134, 649, 330
02-19, 6, 19254952, 137, 648, 334
02-19, 7, 19254895, 137, 681, 358
02-19, 7, 19251741, 136, 682, 359
02-19, 8, 19251666, 156, 718, 378
02-19, 8, 19248506, 157, 723, 379
02-19, 9, 19248439, 158, 763, 405
02-19, 9, 19245276, 156, 768, 412
02-19, 10, 19245202, 172, 807, 431
02-19, 10, 19242047, 173, 809, 430
02-19, 11, 19241964, 186, 859, 450
02-19, 11, 19238812, 186, 857, 451
02-19, 12, 19238722, 196, 916, 472
02-19, 12, 19235577, 196, 911, 469
02-19, 13, 19235500, 194, 965, 494
02-19, 13, 19232344, 194, 967, 495
02-19, 14, 19232252, 218, 1013, 517
02-19, 14, 19229092, 217, 1018, 520
02-19, 15, 19228988, 240, 1065, 554
02-19, 15, 19225839, 239, 1060, 556
02-19, 16, 19225750, 246, 1094, 604
02-19, 16, 19222597, 242, 1097, 605
02-19, 17, 19222488, 256, 1164, 633
02-19, 17, 19219340, 253, 1161, 634
02-19, 18, 19219212, 282, 1230, 664
02-19, 18, 19216059, 284, 1232, 660
02-19, 19, 19215912, 299, 1323, 701
02-19, 19, 19212760, 299, 1326, 697
02-19, 20, 19212625, 304, 1408, 745
02-19, 20, 19209476, 303, 1410, 740
02-19, 21, 19209335, 327, 1484, 783
02-19, 21, 19206184, 325, 1488, 779
02-19, 22, 19206036, 346, 1563, 831
02-19, 22, 19202890, 343, 1562, 828
02-19, 23, 19202748, 356, 1626, 893
