Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218067, 12, 0, 0
01-20, 2, 19219963, 12, 1, 0
01-20, 3, 19219948, 25, 3, 0
01-20, 3, 19221844, 26, 3, 0
01-20, 4, 19221823, 38, 12, 0
01-20, 4, 19223721, 37, 12, 0
01-20, 5, 19223700, 38, 32, 0
01-20, 5, 19225596, 39, 32, 0
01-20, 6, 19225578, 43, 45, 1
01-20, 6, 19227475, 43, 45, 1
01-20, 7, 19227451, 47, 63, 3
01-20, 7, 19229348, 47, 63, 3
01-20, 8, 19229326, 50, 80, 5
01-20, 8, 19231222, 50, 81, 5
01-20, 9, 19231207, 45, 99, 7
01-20, 9, 19233100, 46, 102, 7
01-20, 10, 19233078, 51, 114, 12
01-20, 10, 19234976, 51, 113, 12
01-20, 11, 19234964, 51, 121, 16
01-20, 11, 19236863, 51, 119, 16
01-20, 12, 19236846, 50, 130, 23
01-20, 12, 19238742, 50, 131, 23
01-20, 13, 19238721, 50, 148, 27
01-20, 13, 19240618, 50, 147, 28
01-20, 14, 19240593, 61, 155, 34
01-20, 14, 19242486, 62, 158, 34
01-20, 15, 19242468, 53, 179, 40
01-20, 15, 19244366, 53, 178, 40
01-20, 16, 19244341, 62, 185, 49
01-20, 16, 19246238, 62, 185, 49
01-20, 17, 19246212, 61, 202, 59
01-20, 17, 19248110, 61, 201, 59
01-20, 18, 19248093, 52, 220, 66
01-20, 18, 19249989, 54, 219, 66
01-20, 19, 19249971, 50, 234, 73
01-20, 19, 19251864, 52, 236, 73
01-20, 20, 19251850, 47, 246, 82
01-20, 20, 19253746, 47, 247, 82
01-20, 21, 19253719, 53, 262, 88
01-20, 21, 19255618, 53, 260, 88
01-20, 22, 19255593, 55, 271, 100
01-20, 22, 19257488, 56, 272, 100
01-20, 23, 19257464, 52, 285, 115
01-20, 23, 19259360, 52, 286, 115
01-20, 24, 19259328, 65, 296, 124
01-20, 24, 19261224, 66, 296, 124
01-20, 25, 19261201, 63, 310, 136
01-20, 25, 19263100, 63, 308, 136
01-20, 26, 19263074, 63, 330, 140
01-20, 26, 19264971, 64, 329, 140
01-20, 27, 19264941, 66, 345, 152
01-20, 27, 19266838, 66, 345, 152
01-20, 28, 19266802, 71, 366, 162
01-20, 28, 19268702, 71, 363, 162
01-20, 29, 19268665, 82, 376, 175
01-20, 29, 19270562, 82, 376, 175
01-20, 30, 19270515, 104, 395, 181
01-20, 30, 19272412, 105, 394, 181
01-20, 31, 19272376, 95, 430, 191
01-20, 31, 19274272, 95, 431, 191
02-19, 1, 19274226, 104, 454, 205
02-19, 1, 19271073, 104, 454, 205
02-19, 2, 19271035, 107, 478, 216
02-19, 2, 19267882, 107, 478, 216
02-19, 3, 19267834, 110, 499, 240
02-19, 3, 19264679, 110, 500, 241
02-19, 4, 19264631, 107, 527, 265
02-19, 4, 19261479, 107, 526, 265
02-19, 5, 19261424, 121, 550, 282
02-19, 5, 19258265, 124, 552, 283
02-19, 6, 19258199, 133, 587, 305
02-19, 6, 19255044, 133, 590, 304
02-19, 7, 19254978, 149, 621, 323
02-19, 7, 19251823, 148, 623, 324
02-19, 8, 19251775, 139, 658, 346
02-19, 8, 19248623, 140, 656, 346
02-19, 9, 19248560, 149, 687, 369
02-19, 9, 19245402, 151, 687, 372
02-19, 10, 19245347, 148, 718, 399
02-19, 10, 19242194, 148, 719, 398
02-19, 11, 19242128, 156, 750, 425
02-19, 11, 19238974, 156, 751, 425
02-19, 12, 19238895, 168, 782, 461
02-19, 12, 19235735, 170, 784, 464
02-19, 13, 19235643, 195, 819, 496
02-19, 13, 19232483, 196, 822, 499
02-19, 14, 19232386, 210, 873, 531
02-19, 14, 19229234, 211, 870, 532
02-19, 15, 19229150, 209, 932, 556
02-19, 15, 19225998, 210, 933, 553
02-19, 16, 19225899, 231, 985, 579
02-19, 16, 19222741, 231, 986, 583
02-19, 17, 19222641, 242, 1045, 613
02-19, 17, 19219482, 244, 1046, 616
02-19, 18, 19219388, 252, 1094, 654
02-19, 18, 19216237, 250, 1092, 656
02-19, 19, 19216126, 265, 1143, 701
02-19, 19, 19212982, 265, 1136, 699
02-19, 20, 19212875, 271, 1194, 742
02-19, 20, 19209710, 275, 1196, 748
02-19, 21, 19209582, 287, 1252, 808
02-19, 21, 19206432, 287, 1248, 809
02-19, 22, 19206325, 296, 1313, 842
02-19, 22, 19203168, 295, 1314, 846
02-19, 23, 19203032, 331, 1375, 885
