Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218054, 25, 0, 0
01-20, 2, 19219951, 25, 0, 0
01-20, 3, 19219937, 26, 13, 0
01-20, 3, 19221834, 26, 13, 0
01-20, 4, 19221810, 40, 23, 0
01-20, 4, 19223707, 40, 23, 0
01-20, 5, 19223685, 50, 34, 1
01-20, 5, 19225582, 50, 34, 1
01-20, 6, 19225563, 50, 52, 2
01-20, 6, 19227461, 50, 51, 2
01-20, 7, 19227442, 51, 68, 3
01-20, 7, 19229339, 51, 68, 3
01-20, 8, 19229323, 46, 87, 5
01-20, 8, 19231219, 47, 87, 5
01-20, 9, 19231200, 45, 104, 9
01-20, 9, 19233095, 46, 104, 10
01-20, 10, 19233078, 43, 120, 14
01-20, 10, 19234975, 43, 120, 14
01-20, 11, 19234959, 45, 129, 19
01-20, 11, 19236857, 45, 128, 19
01-20, 12, 19236835, 53, 138, 23
01-20, 12, 19238732, 53, 138, 23
01-20, 13, 19238713, 55, 151, 27
01-20, 13, 19240609, 55, 152, 27
01-20, 14, 19240595, 47, 166, 35
01-20, 14, 19242490, 48, 167, 35
01-20, 15, 19242464, 54, 181, 41
01-20, 15, 19244358, 57, 180, 42
01-20, 16, 19244341, 56, 192, 48
01-20, 16, 19246237, 56, 193, 48
01-20, 17, 19246224, 44, 211, 55
01-20, 17, 19248118, 45, 213, 55
01-20, 18, 19248097, 55, 213, 66
01-20, 18, 19249994, 55, 213, 66
01-20, 19, 19249973, 54, 230, 71
01-20, 19, 19251872, 54, 228, 71
01-20, 20, 19251848, 54, 243, 80
01-20, 20, 19253744, 54, 244, 80
01-20, 21, 19253727, 49, 258, 88
01-20, 21, 19255622, 50, 258, 89
01-20, 22, 19255595, 58, 269, 97
01-20, 22, 19257495, 58, 266, 97
01-20, 23, 19257470, 54, 289, 103
01-20, 23, 19259369, 54, 287, 103
01-20, 24, 19259335, 65, 300, 113
01-20, 24, 19261232, 65, 300, 113
01-20, 25, 19261207, 69, 316, 118
01-20, 25, 19263105, 70, 314, 118
01-20, 26, 19263083, 67, 328, 129
01-20, 26, 19264981, 68, 325, 130
01-20, 27, 19264947, 74, 343, 140
01-20, 27, 19266845, 74, 342, 140
01-20, 28, 19266808, 74, 367, 152
01-20, 28, 19268708, 72, 366, 152
01-20, 29, 19268670, 81, 388, 159
01-20, 29, 19270568, 80, 388, 159
01-20, 30, 19270534, 84, 401, 176
01-20, 30, 19272434, 82, 400, 176
01-20, 31, 19272390, 96, 418, 188
01-20, 31, 19274286, 93, 421, 189
02-19, 1, 19274236, 109, 442, 202
02-19, 1, 19271083, 109, 440, 204
02-19, 2, 19271045, 102, 463, 226
02-19, 2, 19267893, 100, 463, 227
02-19, 3, 19267837, 118, 484, 244
02-19, 3, 19264679, 121, 486, 244
02-19, 4, 19264642, 108, 519, 261
02-19, 4, 19261483, 108, 523, 263
02-19, 5, 19261429, 119, 543, 286
02-19, 5, 19258274, 121, 543, 286
02-19, 6, 19258218, 128, 574, 304
02-19, 6, 19255064, 128, 575, 304
02-19, 7, 19255003, 133, 614, 321
02-19, 7, 19251850, 132, 614, 322
02-19, 8, 19251786, 147, 646, 339
02-19, 8, 19248633, 145, 647, 340
02-19, 9, 19248578, 144, 681, 362
02-19, 9, 19245421, 144, 686, 361
02-19, 10, 19245355, 153, 724, 380
02-19, 10, 19242201, 154, 723, 381
02-19, 11, 19242132, 158, 759, 410
02-19, 11, 19238964, 163, 767, 412
02-19, 12, 19238896, 171, 801, 438
02-19, 12, 19235741, 173, 802, 437
02-19, 13, 19235650, 199, 837, 467
02-19, 13, 19232494, 198, 839, 469
02-19, 14, 19232403, 207, 895, 495
02-19, 14, 19229252, 203, 896, 496
02-19, 15, 19229159, 216, 939, 533
02-19, 15, 19226005, 212, 945, 532
02-19, 16, 19225898, 233, 985, 578
02-19, 16, 19222735, 235, 989, 582
02-19, 17, 19222643, 245, 1037, 616
02-19, 17, 19219484, 245, 1043, 616
02-19, 18, 19219367, 254, 1116, 651
02-19, 18, 19216222, 253, 1114, 646
02-19, 19, 19216133, 238, 1194, 670
02-19, 19, 19212977, 240, 1193, 672
02-19, 20, 19212859, 258, 1247, 718
02-19, 20, 19209709, 256, 1245, 719
02-19, 21, 19209591, 285, 1287, 766
02-19, 21, 19206427, 287, 1287, 775
02-19, 22, 19206286, 320, 1351, 819
02-19, 22, 19203133, 320, 1354, 816
02-19, 23, 19203011, 342, 1414, 856
