Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218060, 19, 0, 0
01-20, 2, 19219956, 20, 0, 0
01-20, 3, 19219938, 30, 8, 0
01-20, 3, 19221835, 30, 8, 0
01-20, 4, 19221806, 47, 20, 0
01-20, 4, 19223704, 46, 20, 0
01-20, 5, 19223687, 37, 46, 0
01-20, 5, 19225586, 37, 44, 0
01-20, 6, 19225567, 45, 54, 1
01-20, 6, 19227462, 47, 54, 1
01-20, 7, 19227444, 49, 67, 4
01-20, 7, 19229336, 51, 70, 4
01-20, 8, 19229316, 51, 87, 7
01-20, 8, 19231212, 51, 87, 8
01-20, 9, 19231190, 54, 104, 10
01-20, 9, 19233082, 58, 105, 10
01-20, 10, 19233063, 55, 117, 20
01-20, 10, 19234960, 55, 117, 20
01-20, 11, 19234942, 52, 136, 22
01-20, 11, 19236840, 52, 135, 22
01-20, 12, 19236815, 55, 153, 26
01-20, 12, 19238713, 56, 151, 26
01-20, 13, 19238697, 42, 172, 35
01-20, 13, 19240592, 43, 173, 35
01-20, 14, 19240570, 51, 184, 38
01-20, 14, 19242466, 52, 184, 38
01-20, 15, 19242442, 55, 198, 45
01-20, 15, 19244332, 59, 201, 45
01-20, 16, 19244317, 48, 220, 52
01-20, 16, 19246214, 48, 220, 52
01-20, 17, 19246201, 42, 234, 57
01-20, 17, 19248100, 42, 232, 57
01-20, 18, 19248078, 46, 243, 64
01-20, 18, 19249974, 45, 245, 64
01-20, 19, 19249943, 60, 248, 77
01-20, 19, 19251840, 60, 248, 77
01-20, 20, 19251815, 54, 276, 80
01-20, 20, 19253712, 53, 276, 81
01-20, 21, 19253683, 64, 279, 96
01-20, 21, 19255579, 64, 280, 96
01-20, 22, 19255552, 61, 299, 107
01-20, 22, 19257445, 62, 302, 107
01-20, 23, 19257414, 76, 309, 117
01-20, 23, 19259308, 76, 312, 117
01-20, 24, 19259284, 71, 333, 125
01-20, 24, 19261182, 69, 333, 126
01-20, 25, 19261136, 87, 343, 144
01-20, 25, 19263031, 86, 346, 144
01-20, 26, 19262993, 95, 367, 152
01-20, 26, 19264890, 95, 367, 152
01-20, 27, 19264850, 95, 392, 167
01-20, 27, 19266746, 95, 393, 167
01-20, 28, 19266713, 87, 421, 180
01-20, 28, 19268607, 87, 423, 181
01-20, 29, 19268562, 94, 436, 206
01-20, 29, 19270462, 93, 433, 207
01-20, 30, 19270425, 92, 457, 221
01-20, 30, 19272324, 93, 454, 221
01-20, 31, 19272278, 102, 474, 238
01-20, 31, 19274175, 102, 474, 238
02-19, 1, 19274123, 122, 493, 251
02-19, 1, 19270964, 125, 496, 251
02-19, 2, 19270907, 129, 524, 276
02-19, 2, 19267756, 129, 522, 276
02-19, 3, 19267704, 131, 557, 291
02-19, 3, 19264551, 130, 559, 290
02-19, 4, 19264497, 135, 587, 311
02-19, 4, 19261351, 134, 581, 311
02-19, 5, 19261294, 130, 629, 324
02-19, 5, 19258137, 129, 628, 330
02-19, 6, 19258066, 153, 646, 359
02-19, 6, 19254918, 154, 639, 360
02-19, 7, 19254842, 158, 695, 376
02-19, 7, 19251689, 158, 692, 379
02-19, 8, 19251607, 187, 728, 396
02-19, 8, 19248451, 187, 726, 401
02-19, 9, 19248380, 182, 781, 422
02-19, 9, 19245229, 183, 777, 423
02-19, 10, 19245151, 195, 818, 448
02-19, 10, 19241993, 197, 819, 450
02-19, 11, 19241912, 195, 876, 476
02-19, 11, 19238765, 192, 869, 480
02-19, 12, 19238680, 210, 905, 511
02-19, 12, 19235528, 211, 901, 513
02-19, 13, 19235445, 206, 948, 554
02-19, 13, 19232296, 205, 945, 554
02-19, 14, 19232200, 217, 991, 592
02-19, 14, 19229049, 218, 987, 593
02-19, 15, 19228960, 227, 1032, 628
02-19, 15, 19225805, 229, 1028, 632
02-19, 16, 19225722, 230, 1074, 668
02-19, 16, 19222563, 231, 1074, 673
02-19, 17, 19222446, 250, 1135, 710
02-19, 17, 19219304, 250, 1125, 709
02-19, 18, 19219197, 264, 1182, 745
02-19, 18, 19216046, 267, 1174, 748
02-19, 19, 19215940, 276, 1236, 783
02-19, 19, 19212791, 279, 1231, 781
02-19, 20, 19212648, 306, 1304, 824
02-19, 20, 19209490, 308, 1302, 829
02-19, 21, 19209329, 350, 1372, 878
02-19, 21, 19206172, 350, 1372, 882
02-19, 22, 19206028, 343, 1479, 926
02-19, 22, 19202876, 343, 1474, 930
02-19, 23, 19202704, 379, 1570, 970
