Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218054, 25, 0, 0
01-20, 2, 19219951, 25, 0, 0
01-20, 3, 19219930, 35, 11, 0
01-20, 3, 19221827, 35, 11, 0
01-20, 4, 19221806, 43, 24, 0
01-20, 4, 19223704, 42, 24, 0
01-20, 5, 19223688, 45, 37, 0
01-20, 5, 19225588, 42, 37, 0
01-20, 6, 19225565, 50, 49, 3
01-20, 6, 19227462, 50, 49, 3
01-20, 7, 19227445, 43, 70, 6
01-20, 7, 19229341, 43, 71, 6
01-20, 8, 19229319, 49, 85, 8
01-20, 8, 19231219, 47, 84, 8
01-20, 9, 19231203, 48, 96, 11
01-20, 9, 19233097, 50, 97, 11
01-20, 10, 19233079, 50, 112, 14
01-20, 10, 19234971, 52, 115, 14
01-20, 11, 19234959, 40, 133, 20
01-20, 11, 19236858, 40, 131, 20
01-20, 12, 19236846, 36, 144, 23
01-20, 12, 19238741, 36, 146, 23
01-20, 13, 19238718, 42, 155, 31
01-20, 13, 19240615, 42, 155, 31
01-20, 14, 19240591, 46, 168, 38
01-20, 14, 19242488, 46, 168, 38
01-20, 15, 19242469, 48, 181, 42
01-20, 15, 19244369, 47, 179, 42
01-20, 16, 19244352, 37, 199, 49
01-20, 16, 19246248, 36, 201, 49
01-20, 17, 19246232, 43, 198, 61
01-20, 17, 19248124, 45, 201, 61
01-20, 18, 19248105, 41, 218, 67
01-20, 18, 19250003, 41, 217, 67
01-20, 19, 19249981, 44, 228, 75
01-20, 19, 19251877, 43, 230, 75
01-20, 20, 19251851, 53, 236, 85
01-20, 20, 19253746, 53, 238, 85
01-20, 21, 19253725, 52, 255, 90
01-20, 21, 19255617, 55, 257, 90
01-20, 22, 19255592, 55, 276, 96
01-20, 22, 19257489, 53, 278, 96
01-20, 23, 19257461, 64, 284, 107
01-20, 23, 19259362, 62, 282, 107
01-20, 24, 19259333, 65, 301, 114
01-20, 24, 19261224, 68, 304, 114
01-20, 25, 19261189, 74, 316, 131
01-20, 25, 19263084, 75, 316, 132
01-20, 26, 19263054, 79, 333, 141
01-20, 26, 19264947, 84, 332, 141
01-20, 27, 19264920, 78, 358, 148
01-20, 27, 19266815, 79, 359, 148
01-20, 28, 19266772, 88, 377, 164
01-20, 28, 19268665, 88, 380, 165
01-20, 29, 19268630, 78, 405, 185
01-20, 29, 19270520, 81, 406, 188
01-20, 30, 19270493, 76, 421, 205
01-20, 30, 19272390, 75, 422, 205
01-20, 31, 19272350, 81, 448, 213
01-20, 31, 19274246, 84, 445, 214
02-19, 1, 19274205, 90, 465, 229
02-19, 1, 19271057, 89, 460, 230
02-19, 2, 19271018, 100, 474, 244
02-19, 2, 19267872, 98, 469, 244
02-19, 3, 19267819, 109, 493, 262
02-19, 3, 19264664, 111, 493, 262
02-19, 4, 19264613, 120, 517, 280
02-19, 4, 19261456, 121, 519, 281
02-19, 5, 19261403, 121, 550, 303
02-19, 5, 19258245, 125, 551, 303
02-19, 6, 19258187, 138, 582, 317
02-19, 6, 19255033, 136, 584, 318
02-19, 7, 19254960, 144, 628, 339
02-19, 7, 19251809, 148, 621, 340
02-19, 8, 19251745, 154, 664, 355
02-19, 8, 19248585, 156, 668, 356
02-19, 9, 19248508, 168, 709, 380
02-19, 9, 19245351, 170, 710, 381
02-19, 10, 19245275, 177, 764, 396
02-19, 10, 19242115, 176, 769, 399
02-19, 11, 19242032, 185, 814, 428
02-19, 11, 19238882, 184, 811, 429
02-19, 12, 19238794, 198, 853, 461
02-19, 12, 19235641, 197, 855, 460
02-19, 13, 19235563, 197, 908, 485
02-19, 13, 19232405, 198, 913, 484
02-19, 14, 19232318, 195, 975, 512
02-19, 14, 19229169, 198, 970, 510
02-19, 15, 19229073, 228, 994, 552
02-19, 15, 19225913, 231, 999, 551
02-19, 16, 19225841, 214, 1059, 580
02-19, 16, 19222679, 219, 1063, 580
02-19, 17, 19222576, 241, 1114, 610
02-19, 17, 19219414, 245, 1118, 611
02-19, 18, 19219304, 249, 1188, 647
02-19, 18, 19216153, 251, 1185, 646
02-19, 19, 19216043, 264, 1233, 695
02-19, 19, 19212881, 264, 1240, 697
02-19, 20, 19212755, 274, 1312, 741
02-19, 20, 19209596, 276, 1315, 742
02-19, 21, 19209476, 289, 1381, 783
02-19, 21, 19206311, 289, 1390, 786
02-19, 22, 19206163, 328, 1448, 837
02-19, 22, 19202998, 330, 1451, 844
02-19, 23, 19202869, 329, 1518, 907
