Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218058, 21, 0, 0
01-20, 2, 19219955, 21, 0, 0
01-20, 3, 19219938, 31, 7, 0
01-20, 3, 19221835, 31, 7, 0
01-20, 4, 19221819, 34, 20, 0
01-20, 4, 19223716, 34, 20, 0
01-20, 5, 19223702, 36, 31, 1
01-20, 5, 19225598, 37, 31, 1
01-20, 6, 19225576, 45, 44, 2
01-20, 6, 19227474, 44, 44, 2
01-20, 7, 19227462, 39, 58, 5
01-20, 7, 19229356, 41, 59, 5
01-20, 8, 19229334, 47, 73, 7
01-20, 8, 19231232, 45, 74, 7
01-20, 9, 19231215, 48, 86, 9
01-20, 9, 19233111, 50, 85, 9
01-20, 10, 19233096, 48, 97, 14
01-20, 10, 19234992, 48, 97, 15
01-20, 11, 19234967, 53, 114, 18
01-20, 11, 19236865, 52, 114, 18
01-20, 12, 19236851, 43, 133, 22
01-20, 12, 19238751, 43, 129, 23
01-20, 13, 19238726, 52, 139, 29
01-20, 13, 19240628, 52, 134, 29
01-20, 14, 19240607, 55, 149, 32
01-20, 14, 19242501, 55, 152, 32
01-20, 15, 19242480, 53, 170, 37
01-20, 15, 19244377, 52, 171, 37
01-20, 16, 19244354, 55, 184, 44
01-20, 16, 19246255, 52, 184, 43
01-20, 17, 19246242, 45, 201, 46
01-20, 17, 19248138, 45, 203, 45
01-20, 18, 19248122, 43, 212, 54
01-20, 18, 19250018, 42, 213, 55
01-20, 19, 19250001, 51, 214, 62
01-20, 19, 19251901, 52, 211, 61
01-20, 20, 19251877, 55, 226, 67
01-20, 20, 19253773, 56, 227, 66
01-20, 21, 19253747, 62, 236, 77
01-20, 21, 19255646, 62, 237, 74
01-20, 22, 19255620, 64, 252, 83
01-20, 22, 19257516, 65, 251, 84
01-20, 23, 19257491, 59, 273, 93
01-20, 23, 19259382, 60, 277, 94
01-20, 24, 19259350, 65, 294, 104
01-20, 24, 19261242, 69, 296, 103
01-20, 25, 19261210, 66, 320, 114
01-20, 25, 19263099, 68, 324, 116
01-20, 26, 19263054, 77, 344, 132
01-20, 26, 19264943, 80, 349, 132
01-20, 27, 19264908, 84, 367, 145
01-20, 27, 19266804, 87, 368, 142
01-20, 28, 19266781, 77, 386, 157
01-20, 28, 19268674, 82, 389, 153
01-20, 29, 19268622, 100, 409, 167
01-20, 29, 19270521, 98, 410, 166
01-20, 30, 19270483, 103, 429, 180
01-20, 30, 19272380, 99, 434, 179
01-20, 31, 19272336, 99, 464, 193
01-20, 31, 19274240, 94, 467, 188
02-19, 1, 19274198, 96, 486, 209
02-19, 1, 19271042, 103, 487, 204
02-19, 2, 19270988, 113, 509, 226
02-19, 2, 19267827, 116, 513, 227
02-19, 3, 19267771, 131, 534, 247
02-19, 3, 19264618, 131, 536, 245
02-19, 4, 19264566, 116, 590, 258
02-19, 4, 19261415, 114, 593, 255
02-19, 5, 19261344, 127, 631, 275
02-19, 5, 19258181, 128, 637, 278
02-19, 6, 19258109, 156, 653, 306
02-19, 6, 19254951, 152, 655, 313
02-19, 7, 19254887, 155, 694, 335
02-19, 7, 19251723, 155, 701, 339
02-19, 8, 19251655, 159, 734, 370
02-19, 8, 19248486, 159, 738, 382
02-19, 9, 19248416, 171, 775, 403
02-19, 9, 19245244, 176, 784, 408
02-19, 10, 19245177, 171, 817, 447
02-19, 10, 19242017, 171, 824, 447
02-19, 11, 19241933, 182, 870, 474
02-19, 11, 19238772, 179, 878, 477
02-19, 12, 19238689, 194, 919, 504
02-19, 12, 19235521, 190, 926, 516
02-19, 13, 19235423, 212, 969, 549
02-19, 13, 19232260, 213, 970, 557
02-19, 14, 19232180, 221, 1007, 592
02-19, 14, 19229031, 220, 1007, 589
02-19, 15, 19228932, 221, 1065, 629
02-19, 15, 19225769, 218, 1070, 637
02-19, 16, 19225651, 253, 1116, 674
02-19, 16, 19222488, 251, 1119, 683
02-19, 17, 19222363, 273, 1187, 718
02-19, 17, 19219197, 272, 1191, 728
02-19, 18, 19219089, 271, 1275, 753
02-19, 18, 19215929, 275, 1275, 756
02-19, 19, 19215800, 291, 1336, 808
02-19, 19, 19212645, 290, 1332, 815
02-19, 20, 19212509, 292, 1417, 864
02-19, 20, 19209349, 298, 1415, 867
02-19, 21, 19209202, 325, 1478, 924
02-19, 21, 19206033, 325, 1485, 933
02-19, 22, 19205881, 355, 1551, 989
02-19, 22, 19202732, 358, 1551, 982
