Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218060, 19, 0, 0
01-20, 2, 19219955, 19, 2, 0
01-20, 3, 19219932, 39, 5, 0
01-20, 3, 19221826, 41, 6, 0
01-20, 4, 19221809, 41, 23, 0
01-20, 4, 19223706, 40, 24, 0
01-20, 5, 19223688, 44, 38, 0
01-20, 5, 19225586, 44, 37, 0
01-20, 6, 19225560, 56, 50, 1
01-20, 6, 19227457, 56, 50, 1
01-20, 7, 19227437, 50, 73, 4
01-20, 7, 19229334, 50, 73, 4
01-20, 8, 19229313, 52, 87, 9
01-20, 8, 19231211, 52, 86, 9
01-20, 9, 19231194, 48, 104, 12
01-20, 9, 19233089, 49, 105, 12
01-20, 10, 19233075, 40, 124, 16
01-20, 10, 19234970, 40, 126, 16
01-20, 11, 19234955, 38, 141, 18
01-20, 11, 19236851, 38, 142, 18
01-20, 12, 19236829, 46, 151, 23
01-20, 12, 19238727, 46, 150, 23
01-20, 13, 19238707, 45, 162, 32
01-20, 13, 19240605, 45, 161, 32
01-20, 14, 19240586, 48, 171, 38
01-20, 14, 19242482, 48, 172, 38
01-20, 15, 19242466, 45, 189, 40
01-20, 15, 19244362, 45, 190, 40
01-20, 16, 19244346, 44, 201, 46
01-20, 16, 19246243, 44, 201, 46
01-20, 17, 19246224, 40, 215, 55
01-20, 17, 19248120, 41, 215, 55
01-20, 18, 19248093, 54, 218, 66
01-20, 18, 19249990, 54, 218, 66
01-20, 19, 19249964, 62, 228, 74
01-20, 19, 19251863, 63, 227, 72
01-20, 20, 19251844, 57, 244, 80
01-20, 20, 19253741, 57, 243, 81
01-20, 21, 19253712, 68, 251, 91
01-20, 21, 19255611, 68, 249, 91
01-20, 22, 19255583, 74, 263, 99
01-20, 22, 19257482, 75, 260, 99
01-20, 23, 19257460, 64, 287, 105
01-20, 23, 19259355, 64, 288, 106
01-20, 24, 19259323, 70, 303, 117
01-20, 24, 19261219, 71, 303, 117
01-20, 25, 19261187, 76, 321, 126
01-20, 25, 19263083, 76, 321, 127
01-20, 26, 19263052, 81, 341, 133
01-20, 26, 19264948, 81, 341, 134
01-20, 27, 19264919, 74, 359, 152
01-20, 27, 19266818, 74, 356, 153
01-20, 28, 19266783, 79, 373, 166
01-20, 28, 19268680, 80, 372, 166
01-20, 29, 19268636, 92, 394, 176
01-20, 29, 19270534, 92, 394, 175
01-20, 30, 19270494, 102, 415, 184
01-20, 30, 19272393, 103, 414, 182
01-20, 31, 19272351, 96, 442, 203
01-20, 31, 19274251, 96, 441, 201
02-19, 1, 19274199, 127, 445, 218
02-19, 1, 19271042, 127, 445, 222
02-19, 2, 19271008, 104, 491, 233
02-19, 2, 19267847, 106, 494, 236
02-19, 3, 19267796, 114, 519, 254
02-19, 3, 19264640, 114, 522, 254
02-19, 4, 19264579, 127, 557, 267
02-19, 4, 19261422, 128, 559, 268
02-19, 5, 19261388, 111, 590, 288
02-19, 5, 19258232, 111, 591, 290
02-19, 6, 19258186, 110, 625, 303
02-19, 6, 19255034, 111, 622, 304
02-19, 7, 19254958, 145, 641, 327
02-19, 7, 19251803, 145, 639, 331
02-19, 8, 19251744, 149, 676, 349
02-19, 8, 19248589, 151, 676, 349
02-19, 9, 19248511, 168, 710, 376
02-19, 9, 19245359, 168, 711, 374
02-19, 10, 19245287, 177, 743, 405
02-19, 10, 19242126, 178, 747, 408
02-19, 11, 19242048, 186, 793, 432
02-19, 11, 19238898, 186, 791, 431
02-19, 12, 19238803, 204, 843, 456
02-19, 12, 19235643, 206, 846, 458
02-19, 13, 19235544, 231, 887, 491
02-19, 13, 19232392, 231, 889, 488
02-19, 14, 19232294, 237, 953, 516
02-19, 14, 19229127, 239, 961, 520
02-19, 15, 19229019, 252, 1022, 554
02-19, 15, 19225861, 252, 1021, 560
02-19, 16, 19225758, 257, 1080, 599
02-19, 16, 19222596, 261, 1081, 603
02-19, 17, 19222483, 272, 1149, 637
02-19, 17, 19219322, 278, 1147, 641
02-19, 18, 19219215, 268, 1218, 687
02-19, 18, 19216062, 271, 1219, 683
02-19, 19, 19215940, 283, 1287, 725
02-19, 19, 19212782, 286, 1295, 719
02-19, 20, 19212665, 288, 1371, 758
02-19, 20, 19209521, 289, 1364, 755
02-19, 21, 19209398, 302, 1426, 803
02-19, 21, 19206231, 304, 1432, 809
02-19, 22, 19206079, 342, 1500, 855
02-19, 22, 19202920, 344, 1501, 858
02-19, 23, 19202772, 341, 1616, 894
