Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218055, 24, 0, 0
01-20, 2, 19219952, 24, 0, 0
01-20, 3, 19219936, 27, 13, 0
01-20, 3, 19221833, 27, 13, 0
01-20, 4, 19221815, 39, 18, 1
01-20, 4, 19223712, 39, 18, 1
01-20, 5, 19223696, 38, 35, 1
01-20, 5, 19225593, 38, 35, 1
01-20, 6, 19225578, 35, 52, 2
01-20, 6, 19227475, 35, 52, 2
01-20, 7, 19227457, 37, 66, 4
01-20, 7, 19229353, 38, 66, 4
01-20, 8, 19229331, 46, 76, 8
01-20, 8, 19231228, 46, 76, 8
01-20, 9, 19231210, 47, 91, 10
01-20, 9, 19233107, 47, 91, 10
01-20, 10, 19233084, 50, 107, 14
01-20, 10, 19234981, 50, 107, 14
01-20, 11, 19234964, 43, 124, 21
01-20, 11, 19236861, 43, 124, 21
01-20, 12, 19236846, 36, 145, 22
01-20, 12, 19238743, 36, 145, 22
01-20, 13, 19238722, 44, 155, 25
01-20, 13, 19240619, 44, 155, 25
01-20, 14, 19240598, 43, 172, 30
01-20, 14, 19242496, 43, 171, 30
01-20, 15, 19242474, 44, 187, 35
01-20, 15, 19244372, 44, 186, 35
01-20, 16, 19244347, 56, 193, 41
01-20, 16, 19246245, 56, 192, 41
01-20, 17, 19246230, 55, 204, 45
01-20, 17, 19248128, 55, 203, 45
01-20, 18, 19248112, 44, 224, 51
01-20, 18, 19250009, 44, 224, 51
01-20, 19, 19249986, 48, 236, 58
01-20, 19, 19251884, 48, 235, 58
01-20, 20, 19251860, 57, 244, 64
01-20, 20, 19253760, 57, 241, 64
01-20, 21, 19253734, 58, 256, 74
01-20, 21, 19255630, 59, 256, 74
01-20, 22, 19255607, 58, 274, 80
01-20, 22, 19257501, 59, 276, 80
01-20, 23, 19257471, 65, 292, 88
01-20, 23, 19259368, 66, 290, 89
01-20, 24, 19259330, 85, 298, 100
01-20, 24, 19261228, 85, 297, 100
01-20, 25, 19261192, 88, 322, 108
01-20, 25, 19263090, 89, 320, 108
01-20, 26, 19263049, 103, 331, 124
01-20, 26, 19264947, 103, 330, 124
01-20, 27, 19264910, 100, 363, 131
01-20, 27, 19266806, 102, 362, 131
01-20, 28, 19266774, 96, 389, 142
01-20, 28, 19268672, 96, 388, 142
01-20, 29, 19268632, 101, 401, 164
01-20, 29, 19270526, 101, 403, 165
01-20, 30, 19270483, 105, 431, 176
01-20, 30, 19272381, 105, 430, 176
01-20, 31, 19272327, 123, 448, 194
01-20, 31, 19274225, 124, 447, 193
02-19, 1, 19274194, 116, 474, 205
02-19, 1, 19271043, 116, 472, 205
02-19, 2, 19271000, 117, 492, 227
02-19, 2, 19267849, 117, 492, 225
02-19, 3, 19267796, 122, 524, 241
02-19, 3, 19264640, 123, 527, 240
02-19, 4, 19264581, 136, 550, 263
02-19, 4, 19261424, 137, 553, 263
02-19, 5, 19261362, 142, 596, 277
02-19, 5, 19258207, 143, 597, 277
02-19, 6, 19258153, 139, 632, 300
02-19, 6, 19254995, 141, 635, 300
02-19, 7, 19254937, 149, 660, 325
02-19, 7, 19251780, 150, 663, 325
02-19, 8, 19251717, 157, 695, 349
02-19, 8, 19248566, 157, 695, 347
02-19, 9, 19248498, 174, 717, 376
02-19, 9, 19245342, 174, 720, 376
02-19, 10, 19245274, 172, 758, 408
02-19, 10, 19242117, 173, 760, 409
02-19, 11, 19242040, 183, 794, 442
02-19, 11, 19238887, 184, 794, 441
02-19, 12, 19238798, 202, 836, 470
02-19, 12, 19235644, 203, 834, 472
02-19, 13, 19235570, 200, 883, 500
02-19, 13, 19232412, 201, 884, 503
02-19, 14, 19232331, 202, 933, 534
02-19, 14, 19229177, 204, 933, 533
02-19, 15, 19229090, 213, 985, 559
02-19, 15, 19225940, 211, 988, 555
02-19, 16, 19225826, 241, 1045, 582
02-19, 16, 19222666, 243, 1050, 582
02-19, 17, 19222563, 241, 1124, 613
02-19, 17, 19219403, 242, 1127, 616
02-19, 18, 19219284, 284, 1163, 657
02-19, 18, 19216122, 291, 1164, 658
02-19, 19, 19215995, 315, 1241, 684
02-19, 19, 19212837, 320, 1238, 687
02-19, 20, 19212712, 323, 1327, 720
02-19, 20, 19209560, 322, 1329, 718
02-19, 21, 19209409, 356, 1410, 754
02-19, 21, 19206256, 357, 1410, 753
02-19, 22, 19206113, 370, 1491, 802
02-19, 22, 19202956, 371, 1496, 800
02-19, 23, 19202817, 360, 1589, 857
