Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
03-19, 13, 19191987, 410, 3240, 2699
03-19, 13, 19193223, 410, 3241, 2694
03-19, 14, 19193079, 373, 3298, 2818
03-19, 14, 19194309, 374, 3300, 2817
03-19, 15, 19194127, 396, 3347, 2930
03-19, 15, 19195357, 398, 3349, 2928
03-19, 16, 19195194, 391, 3415, 3032
03-19, 16, 19196424, 393, 3420, 3027
03-19, 17, 19196237, 419, 3468, 3140
03-19, 17, 19197465, 420, 3473, 3138
03-19, 18, 19197297, 398, 3531, 3270
03-19, 18, 19198532, 399, 3533, 3264
03-19, 19, 19198367, 400, 3580, 3381
03-19, 19, 19199592, 402, 3584, 3382
03-19, 20, 19199403, 443, 3620, 3494
03-19, 20, 19200636, 443, 3620, 3493
03-19, 21, 19200470, 456, 3643, 3623
03-19, 21, 19201693, 457, 3648, 3626
03-19, 22, 19201521, 452, 3681, 3770
03-19, 22, 19202752, 453, 3679, 3772
03-19, 23, 19202544, 479, 3728, 3905
03-19, 23, 19203772, 481, 3727, 3908
03-19, 24, 19203575, 485, 3791, 4037
03-19, 24, 19204807, 485, 3787, 4041
03-19, 25, 19204617, 499, 3858, 4146
03-19, 25, 19205855, 499, 3855, 4143
03-19, 26, 19205672, 469, 3930, 4281
03-19, 26, 19206904, 472, 3927, 4281
03-19, 27, 19206729, 473, 3970, 4412
03-19, 27, 19207958, 476, 3970, 4412
03-19, 28, 19207765, 487, 4011, 4553
03-19, 28, 19208987, 490, 4011, 4560
03-19, 29, 19208792, 515, 4044, 4697
03-19, 29, 19210028, 517, 4042, 4693
03-19, 30, 19209849, 498, 4103, 4830
03-19, 30, 19211089, 501, 4099, 4823
03-19, 31, 19210875, 541, 4125, 4971
03-19, 31, 19212090, 546, 4130, 4978
04-19, 1, 19211886, 536, 4209, 5113
04-19, 1, 19213909, 540, 4216, 5121
04-19, 2, 19213827, 416, 4279, 5264
04-19, 2, 19215855, 420, 4284, 5269
04-19, 3, 19215773, 355, 4286, 5414
04-19, 3, 19217815, 357, 4286, 5412
04-19, 4, 19217743, 292, 4272, 5563
04-19, 4, 19219781, 295, 4267, 5569
04-19, 5, 19219705, 256, 4235, 5716
04-19, 5, 19221731, 262, 4238, 5723
04-19, 6, 19221629, 266, 4196, 5863
04-19, 6, 19223665, 269, 4198, 5864
04-19, 7, 19223597, 241, 4152, 6006
04-19, 7, 19225644, 241, 4147, 6006
04-19, 8, 19225556, 236, 4099, 6147
04-19, 8, 19227592, 236, 4101, 6151
04-19, 9, 19227501, 229, 4046, 6304
04-19, 9, 19229541, 231, 4046, 6304
04-19, 10, 19229454, 226, 4006, 6436
04-19, 10, 19231486, 228, 4007, 6443
04-19, 11, 19231414, 218, 3931, 6601
04-19, 11, 19233449, 221, 3931, 6605
04-19, 12, 19233373, 212, 3864, 6757
04-19, 12, 19235417, 213, 3865, 6753
04-19, 13, 19235334, 215, 3823, 6876
04-19, 13, 19237383, 215, 3823, 6869
04-19, 14, 19237300, 222, 3746, 7022
04-19, 14, 19239349, 223, 3742, 7018
04-19, 15, 19239267, 217, 3708, 7140
04-19, 15, 19241310, 219, 3705, 7140
04-19, 16, 19241238, 220, 3682, 7234
04-19, 16, 19243283, 221, 3680, 7232
04-19, 17, 19243199, 223, 3630, 7364
04-19, 17, 19245242, 229, 3628, 7359
04-19, 18, 19245176, 203, 3593, 7486
04-19, 18, 19247221, 204, 3592, 7483
04-19, 19, 19247169, 171, 3552, 7608
04-19, 19, 19249216, 171, 3551, 7604
04-19, 20, 19249145, 176, 3477, 7744
04-19, 20, 19251192, 176, 3474, 7742
04-19, 21, 19251115, 195, 3408, 7866
04-19, 21, 19253140, 197, 3414, 7875
04-19, 22, 19253071, 191, 3364, 8000
04-19, 22, 19255125, 191, 3362, 7990
04-19, 23, 19255066, 185, 3320, 8097
04-19, 23, 19257110, 185, 3320, 8095
04-19, 24, 19257050, 176, 3263, 8221
04-19, 24, 19259095, 179, 3263, 8215
04-19, 25, 19259026, 169, 3219, 8338
04-19, 25, 19261061, 170, 3220, 8343
04-19, 26, 19261005, 169, 3155, 8465
04-19, 26, 19263046, 170, 3158, 8462
04-19, 27, 19262982, 161, 3113, 8580
04-19, 27, 19265024, 162, 3113, 8579
04-19, 28, 19264942, 183, 3060, 8693
04-19, 28, 19266988, 185, 3059, 8688
04-19, 29, 19266932, 166, 3020, 8802
04-19, 29, 19268976, 166, 3021, 8799
04-19, 30, 19268915, 171, 2970, 8906
04-19, 30, 19270956, 170, 2971, 8907
05-19, 1, 19270888, 160, 2936, 9020
05-19, 1, 19274729, 161, 2935, 9019
05-19, 2, 19274672, 154, 2904, 9114
05-19, 2, 19278520, 154, 2909, 9101
05-19, 3, 19278470, 141, 2861, 9212
05-19, 3, 19282305, 142, 2865, 9212
05-19, 4, 19282250, 138, 2824, 9312
05-19, 4, 19286095, 140, 2820, 9309
05-19, 5, 19286040, 144, 2771, 9409
05-19, 5, 19289884, 146, 2768, 9406
05-19, 6, 19289824, 149, 2721, 9510
05-19, 6, 19293668, 151, 2724, 9501
05-19, 7, 19293608, 139, 2712, 9585
05-19, 7, 19297456, 140, 2707, 9581
05-19, 8, 19297396, 139, 2662, 9687
05-19, 8, 19301236, 139, 2660, 9689
05-19, 9, 19301180, 142, 2615, 9787
05-19, 9, 19305025, 142, 2611, 9786
05-19, 10, 19304975, 146, 2544, 9899
05-19, 10, 19308805, 146, 2545, 9908
05-19, 11, 19308750, 140, 2513, 10001
05-19, 11, 19312600, 140, 2508, 9996
05-19, 12, 19312547, 137, 2477, 10083
05-19, 12, 19316389, 138, 2473, 10084
05-19, 13, 19316340, 142, 2430, 10172
05-19, 13, 19320169, 142, 2430, 10183
05-19, 14, 19320127, 133, 2406, 10258
05-19, 14, 19323960, 135, 2410, 10259
05-19, 15, 19323910, 136, 2382, 10336
05-19, 15, 19327738, 136, 2383, 10347
05-19, 16, 19327684, 129, 2362, 10429
05-19, 16, 19331548, 129, 2359, 10408
05-19, 17, 19331511, 115, 2325, 10493
05-19, 17, 19335331, 115, 2327, 10511
05-19, 18, 19335285, 109, 2302, 10588
05-19, 18, 19339144, 109, 2303, 10568
05-19, 19, 19339101, 117, 2265, 10641
05-19, 19, 19342945, 117, 2264, 10638
05-19, 20, 19342905, 105, 2220, 10734
05-19, 20, 19346720, 107, 2221, 10756
05-19, 21, 19346677, 111, 2182, 10834
05-19, 21, 19350514, 111, 2185, 10834
05-19, 22, 19350464, 119, 2154, 10907
05-19, 22, 19354297, 120, 2157, 10910
05-19, 23, 19354255, 109, 2141, 10979
05-19, 23, 19358111, 109, 2141, 10963
05-19, 24, 19358076, 106, 2103, 11039
05-19, 24, 19361896, 106, 2101, 11061
05-19, 25, 19361843, 109, 2073, 11139
05-19, 25, 19365697, 111, 2078, 11118
05-19, 26, 19365659, 105, 2039, 11201
05-19, 26, 19369486, 106, 2040, 11212
05-19, 27, 19369444, 105, 2022, 11273
05-19, 27, 19373277, 105, 2027, 11275
05-19, 28, 19373236, 103, 1987, 11358
05-19, 28, 19377070, 103, 1987, 11364
05-19, 29, 19377035, 101, 1956, 11432
