Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218058, 21, 0, 0
01-20, 2, 19219954, 22, 0, 0
01-20, 3, 19219937, 31, 8, 0
01-20, 3, 19221834, 31, 8, 0
01-20, 4, 19221813, 42, 17, 1
01-20, 4, 19223710, 42, 17, 1
01-20, 5, 19223685, 54, 30, 1
01-20, 5, 19225582, 54, 30, 1
01-20, 6, 19225560, 49, 55, 3
01-20, 6, 19227457, 49, 55, 3
01-20, 7, 19227441, 52, 68, 3
01-20, 7, 19229337, 53, 68, 3
01-20, 8, 19229322, 44, 90, 5
01-20, 8, 19231219, 44, 90, 5
01-20, 9, 19231206, 41, 103, 8
01-20, 9, 19233103, 41, 103, 8
01-20, 10, 19233080, 42, 120, 13
01-20, 10, 19234978, 42, 119, 13
01-20, 11, 19234964, 35, 133, 20
01-20, 11, 19236860, 35, 134, 20
01-20, 12, 19236847, 32, 146, 24
01-20, 12, 19238745, 32, 145, 24
01-20, 13, 19238724, 42, 151, 29
01-20, 13, 19240621, 43, 150, 29
01-20, 14, 19240602, 42, 167, 32
01-20, 14, 19242502, 42, 164, 32
01-20, 15, 19242479, 54, 168, 39
01-20, 15, 19244373, 55, 170, 39
01-20, 16, 19244353, 56, 183, 45
01-20, 16, 19246246, 58, 185, 45
01-20, 17, 19246234, 48, 201, 51
01-20, 17, 19248127, 49, 203, 52
01-20, 18, 19248103, 47, 221, 60
01-20, 18, 19249999, 48, 220, 61
01-20, 19, 19249963, 67, 228, 70
01-20, 19, 19251859, 67, 227, 72
01-20, 20, 19251831, 61, 249, 84
01-20, 20, 19253726, 63, 247, 86
01-20, 21, 19253701, 68, 254, 99
01-20, 21, 19255594, 68, 256, 101
01-20, 22, 19255566, 64, 275, 114
01-20, 22, 19257466, 63, 271, 116
01-20, 23, 19257443, 61, 283, 129
01-20, 23, 19259335, 62, 285, 131
01-20, 24, 19259302, 72, 294, 145
01-20, 24, 19261198, 72, 293, 147
01-20, 25, 19261172, 61, 321, 156
01-20, 25, 19263068, 61, 321, 157
01-20, 26, 19263041, 60, 336, 170
01-20, 26, 19264938, 61, 333, 172
01-20, 27, 19264904, 64, 353, 183
01-20, 27, 19266794, 65, 355, 187
01-20, 28, 19266762, 73, 367, 199
01-20, 28, 19268659, 72, 365, 202
01-20, 29, 19268619, 81, 385, 213
01-20, 29, 19270511, 83, 386, 215
01-20, 30, 19270469, 94, 403, 229
01-20, 30, 19272361, 96, 402, 233
01-20, 31, 19272315, 98, 432, 247
01-20, 31, 19274206, 100, 434, 249
02-19, 1, 19274162, 104, 453, 270
02-19, 1, 19271009, 104, 454, 269
02-19, 2, 19270955, 119, 478, 284
02-19, 2, 19267807, 118, 475, 283
02-19, 3, 19267757, 110, 522, 294
02-19, 3, 19264606, 110, 520, 294
02-19, 4, 19264554, 113, 549, 314
02-19, 4, 19261397, 115, 552, 313
02-19, 5, 19261327, 134, 582, 334
02-19, 5, 19258173, 136, 582, 333
02-19, 6, 19258113, 137, 628, 346
02-19, 6, 19254952, 138, 636, 345
02-19, 7, 19254894, 142, 678, 357
02-19, 7, 19251731, 146, 686, 355
02-19, 8, 19251650, 161, 728, 379
02-19, 8, 19248495, 165, 727, 378
02-19, 9, 19248434, 169, 756, 406
02-19, 9, 19245279, 166, 758, 409
02-19, 10, 19245207, 174, 793, 438
02-19, 10, 19242050, 176, 797, 436
02-19, 11, 19241979, 177, 838, 465
02-19, 11, 19238822, 180, 839, 465
02-19, 12, 19238748, 192, 869, 497
02-19, 12, 19235593, 192, 871, 497
02-19, 13, 19235514, 195, 912, 532
02-19, 13, 19232349, 198, 918, 535
02-19, 14, 19232284, 180, 969, 567
02-19, 14, 19229128, 180, 970, 569
02-19, 15, 19229013, 223, 1017, 594
02-19, 15, 19225849, 227, 1023, 595
02-19, 16, 19225730, 264, 1071, 629
02-19, 16, 19222568, 265, 1077, 631
02-19, 17, 19222463, 288, 1122, 668
02-19, 17, 19219301, 288, 1129, 670
02-19, 18, 19219196, 288, 1198, 706
02-19, 18, 19216044, 291, 1194, 706
02-19, 19, 19215921, 306, 1262, 746
02-19, 19, 19212769, 307, 1260, 746
02-19, 20, 19212641, 302, 1342, 797
02-19, 20, 19209485, 302, 1345, 797
02-19, 21, 19209359, 315, 1404, 851
02-19, 21, 19206199, 317, 1410, 850
02-19, 22, 19206058, 327, 1485, 906
02-19, 22, 19202904, 327, 1485, 907
02-19, 23, 19202761, 360, 1553, 949
