Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218060, 19, 0, 0
01-20, 2, 19219957, 19, 0, 0
01-20, 3, 19219939, 31, 6, 0
01-20, 3, 19221836, 31, 6, 0
01-20, 4, 19221811, 45, 17, 0
01-20, 4, 19223709, 44, 17, 0
01-20, 5, 19223697, 35, 38, 0
01-20, 5, 19225595, 35, 37, 0
01-20, 6, 19225571, 42, 54, 0
01-20, 6, 19227470, 42, 52, 0
01-20, 7, 19227451, 47, 66, 0
01-20, 7, 19229348, 47, 66, 0
01-20, 8, 19229336, 42, 81, 2
01-20, 8, 19231234, 42, 80, 2
01-20, 9, 19231218, 35, 103, 2
01-20, 9, 19233117, 35, 101, 2
01-20, 10, 19233086, 55, 110, 4
01-20, 10, 19234984, 55, 109, 4
01-20, 11, 19234966, 51, 128, 7
01-20, 11, 19236862, 52, 128, 7
01-20, 12, 19236844, 46, 147, 12
01-20, 12, 19238740, 46, 148, 12
01-20, 13, 19238716, 50, 161, 19
01-20, 13, 19240610, 53, 161, 19
01-20, 14, 19240592, 53, 176, 22
01-20, 14, 19242489, 53, 176, 22
01-20, 15, 19242473, 46, 193, 28
01-20, 15, 19244371, 46, 192, 28
01-20, 16, 19244352, 48, 201, 36
01-20, 16, 19246250, 48, 199, 37
01-20, 17, 19246227, 54, 205, 48
01-20, 17, 19248122, 55, 206, 48
01-20, 18, 19248106, 47, 225, 53
01-20, 18, 19249997, 48, 229, 54
01-20, 19, 19249970, 57, 237, 64
01-20, 19, 19251867, 57, 238, 63
01-20, 20, 19251842, 63, 249, 71
01-20, 20, 19253737, 64, 250, 71
01-20, 21, 19253711, 63, 270, 78
01-20, 21, 19255607, 63, 272, 77
01-20, 22, 19255583, 62, 289, 85
01-20, 22, 19257477, 65, 289, 85
01-20, 23, 19257451, 60, 312, 93
01-20, 23, 19259346, 61, 313, 93
01-20, 24, 19259311, 75, 318, 109
01-20, 24, 19261208, 75, 317, 110
01-20, 25, 19261180, 72, 337, 121
01-20, 25, 19263078, 72, 339, 118
01-20, 26, 19263040, 73, 368, 126
01-20, 26, 19264936, 73, 369, 126
01-20, 27, 19264898, 83, 379, 144
01-20, 27, 19266793, 85, 380, 143
01-20, 28, 19266755, 84, 412, 150
01-20, 28, 19268649, 86, 413, 150
01-20, 29, 19268604, 104, 416, 174
01-20, 29, 19270493, 108, 419, 175
01-20, 30, 19270455, 106, 439, 195
01-20, 30, 19272358, 106, 434, 194
01-20, 31, 19272301, 123, 459, 209
01-20, 31, 19274197, 124, 461, 207
02-19, 1, 19274155, 114, 502, 218
02-19, 1, 19270997, 116, 504, 219
02-19, 2, 19270936, 132, 527, 241
02-19, 2, 19267785, 135, 525, 238
02-19, 3, 19267743, 122, 556, 262
02-19, 3, 19264590, 125, 552, 263
02-19, 4, 19264541, 119, 591, 279
02-19, 4, 19261382, 121, 592, 282
02-19, 5, 19261326, 123, 632, 296
02-19, 5, 19258175, 123, 629, 297
02-19, 6, 19258120, 129, 652, 323
02-19, 6, 19254975, 130, 646, 320
02-19, 7, 19254915, 139, 672, 345
02-19, 7, 19251766, 140, 667, 345
02-19, 8, 19251710, 140, 703, 365
02-19, 8, 19248560, 140, 697, 368
02-19, 9, 19248510, 128, 743, 384
02-19, 9, 19245355, 130, 742, 385
02-19, 10, 19245275, 161, 767, 409
02-19, 10, 19242127, 161, 760, 411
02-19, 11, 19242063, 170, 784, 442
02-19, 11, 19238912, 169, 783, 442
02-19, 12, 19238826, 188, 822, 470
02-19, 12, 19235682, 187, 816, 468
02-19, 13, 19235618, 170, 874, 491
02-19, 13, 19232463, 172, 873, 492
02-19, 14, 19232373, 185, 923, 519
02-19, 14, 19229219, 185, 921, 522
02-19, 15, 19229136, 184, 975, 552
02-19, 15, 19225980, 185, 977, 552
02-19, 16, 19225889, 203, 1024, 578
02-19, 16, 19222739, 204, 1024, 574
02-19, 17, 19222631, 227, 1064, 619
02-19, 17, 19219478, 227, 1068, 615
02-19, 18, 19219375, 251, 1099, 663
02-19, 18, 19216220, 253, 1101, 661
02-19, 19, 19216126, 245, 1153, 711
02-19, 19, 19212969, 249, 1154, 710
02-19, 20, 19212844, 278, 1215, 745
02-19, 20, 19209685, 279, 1217, 748
02-19, 21, 19209556, 306, 1272, 795
02-19, 21, 19206404, 305, 1273, 794
02-19, 22, 19206273, 327, 1336, 840
02-19, 22, 19203117, 327, 1341, 838
02-19, 23, 19202977, 336, 1412, 898
