Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218057, 21, 1, 0
01-20, 2, 19219954, 21, 1, 0
01-20, 3, 19219938, 31, 7, 0
01-20, 3, 19221835, 31, 7, 0
01-20, 4, 19221822, 39, 11, 1
01-20, 4, 19223719, 40, 10, 1
01-20, 5, 19223708, 32, 28, 2
01-20, 5, 19225605, 32, 28, 2
01-20, 6, 19225577, 46, 41, 3
01-20, 6, 19227474, 46, 41, 3
01-20, 7, 19227462, 38, 58, 6
01-20, 7, 19229360, 37, 58, 6
01-20, 8, 19229340, 45, 68, 8
01-20, 8, 19231237, 45, 68, 8
01-20, 9, 19231215, 47, 86, 10
01-20, 9, 19233115, 44, 86, 10
01-20, 10, 19233101, 37, 100, 17
01-20, 10, 19234999, 35, 101, 17
01-20, 11, 19234969, 51, 112, 20
01-20, 11, 19236869, 48, 112, 20
01-20, 12, 19236854, 44, 128, 23
01-20, 12, 19238754, 41, 128, 23
01-20, 13, 19238740, 42, 136, 28
01-20, 13, 19240635, 42, 138, 28
01-20, 14, 19240620, 45, 146, 32
01-20, 14, 19242517, 45, 146, 32
01-20, 15, 19242496, 47, 158, 39
01-20, 15, 19244392, 48, 158, 39
01-20, 16, 19244368, 58, 163, 48
01-20, 16, 19246266, 57, 163, 48
01-20, 17, 19246249, 51, 180, 54
01-20, 17, 19248146, 51, 180, 54
01-20, 18, 19248120, 58, 194, 59
01-20, 18, 19250016, 58, 195, 59
01-20, 19, 19249989, 61, 213, 65
01-20, 19, 19251888, 61, 211, 65
01-20, 20, 19251869, 59, 226, 71
01-20, 20, 19253766, 58, 227, 71
01-20, 21, 19253737, 63, 242, 80
01-20, 21, 19255634, 63, 242, 80
01-20, 22, 19255607, 66, 260, 86
01-20, 22, 19257505, 64, 261, 86
01-20, 23, 19257480, 63, 274, 99
01-20, 23, 19259378, 63, 273, 99
01-20, 24, 19259360, 60, 282, 111
01-20, 24, 19261259, 58, 282, 111
01-20, 25, 19261223, 68, 300, 119
01-20, 25, 19263124, 66, 298, 119
01-20, 26, 19263078, 83, 317, 129
01-20, 26, 19264975, 83, 317, 129
01-20, 27, 19264945, 76, 347, 136
01-20, 27, 19266843, 75, 347, 136
01-20, 28, 19266815, 70, 372, 144
01-20, 28, 19268715, 67, 372, 144
01-20, 29, 19268688, 65, 385, 160
01-20, 29, 19270587, 64, 384, 160
01-20, 30, 19270547, 82, 394, 172
01-20, 30, 19272448, 81, 392, 171
01-20, 31, 19272412, 84, 411, 185
01-20, 31, 19274306, 84, 414, 185
02-19, 1, 19274262, 92, 430, 205
02-19, 1, 19271106, 94, 431, 205
02-19, 2, 19271069, 93, 459, 215
02-19, 2, 19267913, 93, 462, 215
02-19, 3, 19267855, 111, 483, 234
02-19, 3, 19264704, 110, 481, 235
02-19, 4, 19264661, 116, 503, 250
02-19, 4, 19261505, 117, 505, 250
02-19, 5, 19261467, 115, 526, 269
02-19, 5, 19258311, 115, 528, 270
02-19, 6, 19258262, 115, 564, 283
02-19, 6, 19255115, 111, 561, 284
02-19, 7, 19255069, 102, 594, 306
02-19, 7, 19251916, 101, 595, 306
02-19, 8, 19251868, 113, 615, 322
02-19, 8, 19248717, 110, 617, 321
02-19, 9, 19248643, 145, 639, 338
02-19, 9, 19245486, 148, 642, 336
02-19, 10, 19245418, 165, 664, 365
02-19, 10, 19242265, 166, 664, 364
02-19, 11, 19242199, 167, 707, 386
02-19, 11, 19239044, 165, 711, 386
02-19, 12, 19238963, 177, 754, 412
02-19, 12, 19235810, 176, 756, 411
02-19, 13, 19235744, 168, 804, 437
02-19, 13, 19232595, 166, 806, 433
02-19, 14, 19232510, 183, 854, 453
02-19, 14, 19229352, 185, 859, 451
02-19, 15, 19229278, 182, 910, 477
02-19, 15, 19226109, 192, 916, 477
02-19, 16, 19226021, 200, 957, 516
02-19, 16, 19222874, 199, 952, 516
02-19, 17, 19222780, 216, 985, 560
02-19, 17, 19219619, 217, 987, 565
02-19, 18, 19219532, 224, 1030, 602
02-19, 18, 19216375, 226, 1033, 601
02-19, 19, 19216269, 243, 1086, 637
02-19, 19, 19213118, 241, 1086, 637
02-19, 20, 19213015, 252, 1143, 672
02-19, 20, 19209861, 251, 1142, 675
02-19, 21, 19209760, 251, 1206, 712
02-19, 21, 19206598, 252, 1211, 715
02-19, 22, 19206468, 281, 1272, 755
02-19, 22, 19203312, 282, 1275, 754
02-19, 23, 19203183, 304, 1336, 800
