Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218060, 19, 0, 0
01-20, 2, 19219957, 19, 0, 0
01-20, 3, 19219938, 29, 9, 0
01-20, 3, 19221835, 29, 9, 0
01-20, 4, 19221817, 39, 17, 0
01-20, 4, 19223713, 40, 17, 0
01-20, 5, 19223700, 38, 31, 1
01-20, 5, 19225598, 37, 31, 1
01-20, 6, 19225581, 41, 43, 2
01-20, 6, 19227477, 41, 43, 3
01-20, 7, 19227456, 45, 59, 4
01-20, 7, 19229356, 45, 56, 4
01-20, 8, 19229338, 51, 66, 6
01-20, 8, 19231234, 52, 67, 5
01-20, 9, 19231213, 56, 83, 6
01-20, 9, 19233112, 55, 82, 6
01-20, 10, 19233088, 55, 104, 8
01-20, 10, 19234982, 56, 106, 8
01-20, 11, 19234964, 56, 121, 11
01-20, 11, 19236860, 56, 123, 10
01-20, 12, 19236831, 62, 141, 15
01-20, 12, 19238727, 62, 141, 16
01-20, 13, 19238713, 45, 169, 19
01-20, 13, 19240611, 44, 168, 20
01-20, 14, 19240597, 34, 183, 29
01-20, 14, 19242492, 35, 184, 29
01-20, 15, 19242481, 30, 196, 33
01-20, 15, 19244373, 30, 201, 33
01-20, 16, 19244347, 45, 200, 45
01-20, 16, 19246245, 44, 200, 45
01-20, 17, 19246221, 49, 209, 55
01-20, 17, 19248115, 51, 210, 55
01-20, 18, 19248097, 47, 223, 64
01-20, 18, 19249997, 47, 220, 64
01-20, 19, 19249981, 42, 236, 69
01-20, 19, 19251873, 44, 239, 69
01-20, 20, 19251850, 51, 244, 80
01-20, 20, 19253749, 51, 244, 78
01-20, 21, 19253719, 63, 257, 83
01-20, 21, 19255617, 63, 258, 81
01-20, 22, 19255593, 55, 279, 92
01-20, 22, 19257489, 56, 279, 92
01-20, 23, 19257467, 54, 295, 100
01-20, 23, 19259365, 53, 296, 99
01-20, 24, 19259331, 70, 300, 112
01-20, 24, 19261223, 70, 304, 113
01-20, 25, 19261191, 75, 325, 119
01-20, 25, 19263089, 74, 325, 119
01-20, 26, 19263054, 92, 330, 131
01-20, 26, 19264955, 91, 328, 130
01-20, 27, 19264927, 88, 344, 145
01-20, 27, 19266827, 89, 343, 142
01-20, 28, 19266791, 87, 371, 152
01-20, 28, 19268687, 87, 372, 152
01-20, 29, 19268657, 81, 397, 163
01-20, 29, 19270553, 81, 397, 164
01-20, 30, 19270513, 86, 414, 182
01-20, 30, 19272410, 86, 414, 182
01-20, 31, 19272360, 101, 436, 195
01-20, 31, 19274257, 103, 434, 195
02-19, 1, 19274215, 108, 457, 209
02-19, 1, 19271068, 108, 454, 206
02-19, 2, 19271028, 106, 482, 220
02-19, 2, 19267874, 106, 484, 219
02-19, 3, 19267822, 130, 494, 237
02-19, 3, 19264667, 129, 496, 238
02-19, 4, 19264611, 128, 542, 249
02-19, 4, 19261454, 128, 542, 253
02-19, 5, 19261402, 131, 570, 274
02-19, 5, 19258250, 131, 567, 276
02-19, 6, 19258188, 142, 596, 298
02-19, 6, 19255038, 143, 595, 295
02-19, 7, 19254996, 130, 626, 319
02-19, 7, 19251843, 133, 623, 319
02-19, 8, 19251784, 140, 660, 334
02-19, 8, 19248638, 139, 659, 329
02-19, 9, 19248572, 146, 703, 344
02-19, 9, 19245427, 147, 703, 335
02-19, 10, 19245347, 171, 738, 356
02-19, 10, 19242191, 171, 740, 357
02-19, 11, 19242129, 167, 777, 386
02-19, 11, 19238973, 170, 780, 383
02-19, 12, 19238894, 174, 827, 411
02-19, 12, 19235734, 177, 830, 412
02-19, 13, 19235649, 196, 869, 439
02-19, 13, 19232489, 197, 873, 441
02-19, 14, 19232413, 206, 905, 476
02-19, 14, 19229262, 208, 902, 475
02-19, 15, 19229172, 205, 975, 495
02-19, 15, 19226012, 207, 974, 501
02-19, 16, 19225910, 214, 1039, 531
02-19, 16, 19222765, 215, 1034, 527
02-19, 17, 19222658, 247, 1073, 563
02-19, 17, 19219506, 247, 1073, 562
02-19, 18, 19219392, 275, 1119, 602
02-19, 18, 19216247, 274, 1116, 598
02-19, 19, 19216133, 270, 1203, 629
02-19, 19, 19212977, 272, 1203, 630
02-19, 20, 19212848, 286, 1268, 680
02-19, 20, 19209695, 286, 1267, 681
02-19, 21, 19209566, 293, 1349, 721
02-19, 21, 19206410, 298, 1349, 719
02-19, 22, 19206277, 315, 1422, 762
02-19, 22, 19203119, 317, 1428, 759
02-19, 23, 19202983, 335, 1488, 817
