Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218052, 26, 1, 0
01-20, 2, 19219949, 26, 1, 0
01-20, 3, 19219927, 39, 10, 0
01-20, 3, 19221824, 39, 10, 0
01-20, 4, 19221807, 43, 22, 1
01-20, 4, 19223704, 43, 22, 1
01-20, 5, 19223687, 41, 41, 1
01-20, 5, 19225581, 43, 42, 1
01-20, 6, 19225563, 44, 58, 2
01-20, 6, 19227460, 45, 57, 2
01-20, 7, 19227449, 40, 72, 3
01-20, 7, 19229346, 40, 72, 3
01-20, 8, 19229318, 56, 82, 5
01-20, 8, 19231215, 56, 82, 5
01-20, 9, 19231184, 66, 101, 7
01-20, 9, 19233078, 68, 101, 8
01-20, 10, 19233062, 57, 126, 10
01-20, 10, 19234962, 57, 123, 10
01-20, 11, 19234937, 56, 146, 13
01-20, 11, 19236832, 56, 147, 14
01-20, 12, 19236801, 61, 167, 20
01-20, 12, 19238697, 61, 168, 20
01-20, 13, 19238679, 57, 185, 25
01-20, 13, 19240576, 57, 185, 25
01-20, 14, 19240557, 50, 204, 32
01-20, 14, 19242454, 50, 204, 32
01-20, 15, 19242434, 43, 227, 36
01-20, 15, 19244333, 43, 225, 36
01-20, 16, 19244312, 50, 232, 43
01-20, 16, 19246205, 52, 233, 44
01-20, 17, 19246180, 60, 241, 53
01-20, 17, 19248075, 60, 243, 53
01-20, 18, 19248048, 66, 256, 61
01-20, 18, 19249942, 67, 258, 61
01-20, 19, 19249914, 64, 275, 75
01-20, 19, 19251812, 65, 273, 75
01-20, 20, 19251788, 63, 289, 85
01-20, 20, 19253685, 63, 289, 85
01-20, 21, 19253656, 63, 310, 93
01-20, 21, 19255557, 63, 306, 93
01-20, 22, 19255529, 66, 321, 103
01-20, 22, 19257427, 66, 320, 103
01-20, 23, 19257392, 66, 339, 119
01-20, 23, 19259290, 66, 338, 119
01-20, 24, 19259256, 71, 349, 137
01-20, 24, 19261155, 71, 347, 137
01-20, 25, 19261117, 78, 364, 151
01-20, 25, 19263015, 80, 362, 150
01-20, 26, 19262985, 78, 383, 161
01-20, 26, 19264885, 80, 380, 159
01-20, 27, 19264846, 84, 398, 176
01-20, 27, 19266747, 85, 394, 175
01-20, 28, 19266711, 90, 412, 188
01-20, 28, 19268617, 89, 405, 187
01-20, 29, 19268580, 87, 427, 204
01-20, 29, 19270480, 88, 423, 204
01-20, 30, 19270442, 100, 432, 221
01-20, 30, 19272339, 102, 431, 220
01-20, 31, 19272294, 107, 454, 237
01-20, 31, 19274198, 107, 448, 236
02-19, 1, 19274153, 114, 477, 245
02-19, 1, 19270999, 116, 477, 244
02-19, 2, 19270949, 117, 511, 259
02-19, 2, 19267798, 117, 508, 260
02-19, 3, 19267752, 114, 533, 284
02-19, 3, 19264606, 113, 531, 280
02-19, 4, 19264558, 115, 561, 296
02-19, 4, 19261400, 117, 565, 295
02-19, 5, 19261347, 118, 602, 310
02-19, 5, 19258195, 117, 605, 307
02-19, 6, 19258111, 152, 632, 329
02-19, 6, 19254949, 154, 636, 332
02-19, 7, 19254878, 160, 682, 351
02-19, 7, 19251720, 160, 688, 350
02-19, 8, 19251653, 172, 723, 370
02-19, 8, 19248485, 180, 732, 368
02-19, 9, 19248399, 193, 779, 394
02-19, 9, 19245248, 195, 777, 392
02-19, 10, 19245165, 193, 826, 428
02-19, 10, 19242009, 194, 828, 428
02-19, 11, 19241934, 192, 877, 456
02-19, 11, 19238785, 194, 873, 454
02-19, 12, 19238705, 183, 927, 491
02-19, 12, 19235553, 183, 931, 486
02-19, 13, 19235462, 200, 972, 519
02-19, 13, 19232305, 201, 970, 524
02-19, 14, 19232207, 225, 1009, 559
02-19, 14, 19229050, 223, 1014, 560
02-19, 15, 19228942, 253, 1052, 600
02-19, 15, 19225784, 253, 1051, 606
02-19, 16, 19225654, 281, 1120, 639
02-19, 16, 19222499, 279, 1127, 636
02-19, 17, 19222381, 281, 1204, 675
02-19, 17, 19219236, 279, 1200, 673
02-19, 18, 19219125, 286, 1258, 719
02-19, 18, 19215965, 286, 1261, 723
02-19, 19, 19215846, 295, 1323, 771
02-19, 19, 19212692, 296, 1322, 772
02-19, 20, 19212545, 329, 1392, 816
02-19, 20, 19209389, 328, 1391, 821
02-19, 21, 19209267, 308, 1478, 876
02-19, 21, 19206103, 309, 1482, 882
02-19, 22, 19205965, 325, 1547, 939
02-19, 22, 19202805, 326, 1554, 938
