Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218062, 17, 0, 0
01-20, 2, 19219959, 17, 0, 0
01-20, 3, 19219944, 25, 7, 0
01-20, 3, 19221840, 26, 7, 0
01-20, 4, 19221821, 36, 16, 0
01-20, 4, 19223718, 36, 16, 0
01-20, 5, 19223692, 45, 33, 0
01-20, 5, 19225589, 45, 33, 0
01-20, 6, 19225575, 42, 49, 1
01-20, 6, 19227472, 42, 49, 1
01-20, 7, 19227450, 47, 65, 2
01-20, 7, 19229347, 47, 65, 2
01-20, 8, 19229322, 50, 84, 5
01-20, 8, 19231220, 49, 84, 5
01-20, 9, 19231206, 48, 96, 8
01-20, 9, 19233104, 47, 96, 8
01-20, 10, 19233075, 55, 113, 12
01-20, 10, 19234970, 56, 114, 12
01-20, 11, 19234946, 63, 123, 20
01-20, 11, 19236843, 63, 123, 20
01-20, 12, 19236826, 58, 141, 24
01-20, 12, 19238722, 58, 142, 24
01-20, 13, 19238698, 61, 160, 27
01-20, 13, 19240593, 63, 160, 27
01-20, 14, 19240567, 62, 180, 34
01-20, 14, 19242463, 63, 180, 34
01-20, 15, 19242440, 58, 199, 43
01-20, 15, 19244337, 58, 200, 42
01-20, 16, 19244316, 55, 222, 44
01-20, 16, 19246215, 54, 222, 43
01-20, 17, 19246193, 52, 237, 52
01-20, 17, 19248091, 52, 237, 51
01-20, 18, 19248066, 60, 248, 57
01-20, 18, 19249960, 63, 249, 56
01-20, 19, 19249937, 62, 263, 66
01-20, 19, 19251833, 62, 264, 66
01-20, 20, 19251806, 67, 280, 72
01-20, 20, 19253705, 65, 279, 73
01-20, 21, 19253678, 69, 294, 81
01-20, 21, 19255578, 68, 293, 80
01-20, 22, 19255557, 68, 305, 89
01-20, 22, 19257455, 67, 305, 89
01-20, 23, 19257418, 78, 316, 104
01-20, 23, 19259316, 77, 316, 104
01-20, 24, 19259277, 84, 335, 117
01-20, 24, 19261173, 83, 337, 117
01-20, 25, 19261129, 85, 369, 127
01-20, 25, 19263028, 83, 370, 126
01-20, 26, 19262982, 97, 381, 147
01-20, 26, 19264877, 98, 381, 148
01-20, 27, 19264841, 99, 402, 162
01-20, 27, 19266737, 99, 403, 162
01-20, 28, 19266702, 92, 425, 182
01-20, 28, 19268600, 90, 428, 180
01-20, 29, 19268546, 112, 448, 192
01-20, 29, 19270442, 111, 449, 193
01-20, 30, 19270392, 109, 484, 210
01-20, 30, 19272286, 111, 486, 209
01-20, 31, 19272246, 110, 510, 226
01-20, 31, 19274143, 111, 509, 226
02-19, 1, 19274088, 130, 531, 240
02-19, 1, 19270933, 129, 532, 242
02-19, 2, 19270879, 137, 556, 264
02-19, 2, 19267728, 135, 556, 264
02-19, 3, 19267683, 125, 598, 277
02-19, 3, 19264533, 124, 596, 277
02-19, 4, 19264469, 132, 640, 289
02-19, 4, 19261317, 133, 639, 288
02-19, 5, 19261258, 143, 667, 309
02-19, 5, 19258119, 139, 659, 307
02-19, 6, 19258060, 151, 684, 329
02-19, 6, 19254923, 143, 680, 325
02-19, 7, 19254856, 156, 714, 345
02-19, 7, 19251701, 158, 716, 343
02-19, 8, 19251629, 173, 751, 365
02-19, 8, 19248474, 172, 752, 367
02-19, 9, 19248404, 177, 787, 397
02-19, 9, 19245255, 174, 784, 399
02-19, 10, 19245169, 195, 824, 424
02-19, 10, 19242013, 194, 823, 429
02-19, 11, 19241930, 200, 877, 452
02-19, 11, 19238776, 199, 874, 457
02-19, 12, 19238701, 213, 907, 485
02-19, 12, 19235549, 211, 904, 489
02-19, 13, 19235460, 214, 955, 524
02-19, 13, 19232305, 216, 951, 528
02-19, 14, 19232207, 227, 1003, 563
02-19, 14, 19229053, 229, 1005, 560
02-19, 15, 19228950, 251, 1040, 606
02-19, 15, 19225788, 253, 1046, 607
02-19, 16, 19225680, 264, 1107, 643
02-19, 16, 19222524, 266, 1109, 642
02-19, 17, 19222418, 275, 1177, 671
02-19, 17, 19219263, 279, 1175, 671
02-19, 18, 19219146, 278, 1254, 710
02-19, 18, 19216002, 276, 1248, 709
02-19, 19, 19215874, 286, 1331, 744
02-19, 19, 19212717, 286, 1330, 749
02-19, 20, 19212580, 295, 1409, 798
02-19, 20, 19209419, 294, 1416, 800
02-19, 21, 19209264, 335, 1488, 842
02-19, 21, 19206103, 334, 1497, 842
02-19, 22, 19205946, 361, 1581, 888
02-19, 22, 19202787, 362, 1583, 891
02-19, 23, 19202639, 386, 1650, 948
