Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218057, 22, 0, 0
01-20, 2, 19219954, 21, 1, 0
01-20, 3, 19219938, 30, 8, 0
01-20, 3, 19221836, 29, 8, 0
01-20, 4, 19221815, 39, 19, 0
01-20, 4, 19223709, 40, 21, 0
01-20, 5, 19223692, 37, 41, 0
01-20, 5, 19225590, 36, 41, 0
01-20, 6, 19225575, 39, 50, 3
01-20, 6, 19227469, 41, 51, 3
01-20, 7, 19227446, 45, 70, 3
01-20, 7, 19229341, 44, 72, 4
01-20, 8, 19229323, 48, 85, 5
01-20, 8, 19231219, 49, 85, 5
01-20, 9, 19231204, 42, 103, 9
01-20, 9, 19233098, 43, 105, 9
01-20, 10, 19233077, 42, 120, 16
01-20, 10, 19234971, 43, 122, 16
01-20, 11, 19234957, 41, 134, 20
01-20, 11, 19236853, 41, 135, 20
01-20, 12, 19236835, 46, 144, 24
01-20, 12, 19238733, 46, 143, 24
01-20, 13, 19238721, 37, 161, 27
01-20, 13, 19240620, 38, 158, 27
01-20, 14, 19240592, 52, 166, 33
01-20, 14, 19242489, 52, 165, 34
01-20, 15, 19242471, 42, 186, 41
01-20, 15, 19244372, 42, 182, 41
01-20, 16, 19244347, 48, 194, 48
01-20, 16, 19246246, 48, 192, 48
01-20, 17, 19246221, 52, 205, 56
01-20, 17, 19248117, 53, 205, 56
01-20, 18, 19248096, 53, 217, 65
01-20, 18, 19249993, 53, 217, 65
01-20, 19, 19249967, 61, 229, 71
01-20, 19, 19251867, 61, 226, 71
01-20, 20, 19251842, 61, 246, 76
01-20, 20, 19253737, 61, 248, 76
01-20, 21, 19253714, 60, 262, 86
01-20, 21, 19255611, 61, 261, 86
01-20, 22, 19255582, 70, 268, 99
01-20, 22, 19257480, 70, 267, 99
01-20, 23, 19257461, 61, 287, 107
01-20, 23, 19259355, 61, 290, 107
01-20, 24, 19259315, 77, 307, 114
01-20, 24, 19261214, 78, 304, 114
01-20, 25, 19261175, 83, 327, 125
01-20, 25, 19263074, 84, 324, 125
01-20, 26, 19263044, 88, 339, 136
01-20, 26, 19264939, 89, 340, 136
01-20, 27, 19264901, 94, 359, 150
01-20, 27, 19266797, 96, 357, 151
01-20, 28, 19266760, 103, 373, 165
01-20, 28, 19268657, 103, 373, 165
01-20, 29, 19268612, 113, 396, 177
01-20, 29, 19270504, 117, 397, 177
01-20, 30, 19270457, 122, 427, 189
01-20, 30, 19272347, 127, 428, 190
01-20, 31, 19272305, 117, 468, 202
01-20, 31, 19274208, 117, 462, 202
02-19, 1, 19274156, 111, 508, 214
02-19, 1, 19271002, 110, 511, 213
02-19, 2, 19270948, 122, 539, 227
02-19, 2, 19267796, 125, 537, 225
02-19, 3, 19267738, 130, 579, 236
02-19, 3, 19264581, 131, 585, 233
02-19, 4, 19264514, 160, 606, 250
02-19, 4, 19261357, 161, 609, 250
02-19, 5, 19261298, 165, 645, 269
02-19, 5, 19258144, 169, 643, 268
02-19, 6, 19258076, 174, 689, 285
02-19, 6, 19254925, 174, 685, 287
02-19, 7, 19254846, 198, 709, 318
02-19, 7, 19251684, 199, 714, 321
02-19, 8, 19251612, 185, 771, 350
02-19, 8, 19248468, 186, 760, 351
02-19, 9, 19248374, 220, 793, 378
02-19, 9, 19245229, 222, 784, 377
02-19, 10, 19245143, 220, 842, 407
02-19, 10, 19241978, 222, 852, 407
02-19, 11, 19241889, 223, 913, 434
02-19, 11, 19238735, 225, 911, 435
02-19, 12, 19238654, 222, 961, 469
02-19, 12, 19235498, 221, 964, 470
02-19, 13, 19235405, 217, 1035, 496
02-19, 13, 19232246, 219, 1039, 496
02-19, 14, 19232152, 229, 1092, 527
02-19, 14, 19228995, 226, 1098, 528
02-19, 15, 19228858, 276, 1149, 564
02-19, 15, 19225707, 278, 1144, 565
02-19, 16, 19225601, 285, 1197, 611
02-19, 16, 19222447, 285, 1198, 611
02-19, 17, 19222326, 289, 1270, 656
02-19, 17, 19219170, 288, 1273, 657
02-19, 18, 19219069, 274, 1335, 710
02-19, 18, 19215918, 275, 1333, 709
02-19, 19, 19215783, 315, 1380, 757
02-19, 19, 19212621, 320, 1383, 758
02-19, 20, 19212476, 334, 1469, 803
02-19, 20, 19209320, 334, 1474, 801
02-19, 21, 19209161, 344, 1579, 845
02-19, 21, 19206011, 343, 1578, 844
02-19, 22, 19205870, 353, 1660, 893
02-19, 22, 19202725, 349, 1660, 889
