Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218059, 20, 0, 0
01-20, 2, 19219956, 20, 0, 0
01-20, 3, 19219943, 23, 10, 0
01-20, 3, 19221840, 23, 10, 0
01-20, 4, 19221826, 25, 22, 0
01-20, 4, 19223723, 25, 22, 0
01-20, 5, 19223693, 49, 28, 0
01-20, 5, 19225590, 49, 28, 0
01-20, 6, 19225565, 54, 46, 2
01-20, 6, 19227460, 56, 46, 2
01-20, 7, 19227444, 47, 68, 5
01-20, 7, 19229341, 47, 68, 5
01-20, 8, 19229325, 46, 84, 6
01-20, 8, 19231221, 47, 84, 6
01-20, 9, 19231200, 54, 97, 7
01-20, 9, 19233097, 54, 97, 7
01-20, 10, 19233083, 46, 114, 12
01-20, 10, 19234980, 46, 114, 12
01-20, 11, 19234960, 47, 127, 18
01-20, 11, 19236857, 47, 127, 18
01-20, 12, 19236837, 47, 139, 26
01-20, 12, 19238734, 47, 139, 26
01-20, 13, 19238719, 42, 154, 31
01-20, 13, 19240616, 42, 154, 31
01-20, 14, 19240588, 47, 174, 34
01-20, 14, 19242485, 47, 174, 34
01-20, 15, 19242470, 44, 189, 37
01-20, 15, 19244366, 44, 190, 37
01-20, 16, 19244347, 46, 199, 45
01-20, 16, 19246244, 46, 199, 45
01-20, 17, 19246223, 51, 209, 51
01-20, 17, 19248119, 52, 209, 51
01-20, 18, 19248102, 49, 220, 60
01-20, 18, 19249999, 49, 220, 60
01-20, 19, 19249973, 53, 234, 68
01-20, 19, 19251870, 53, 234, 68
01-20, 20, 19251842, 56, 252, 75
01-20, 20, 19253739, 56, 252, 75
01-20, 21, 19253715, 60, 261, 86
01-20, 21, 19255611, 60, 261, 87
01-20, 22, 19255585, 66, 271, 97
01-20, 22, 19257480, 66, 272, 98
01-20, 23, 19257442, 79, 280, 115
01-20, 23, 19259337, 79, 281, 116
01-20, 24, 19259311, 78, 297, 127
01-20, 24, 19261209, 77, 296, 128
01-20, 25, 19261184, 63, 323, 140
01-20, 25, 19263081, 64, 321, 141
01-20, 26, 19263037, 76, 342, 152
01-20, 26, 19264930, 77, 344, 153
01-20, 27, 19264893, 79, 367, 165
01-20, 27, 19266793, 79, 365, 164
01-20, 28, 19266769, 67, 396, 169
01-20, 28, 19268659, 69, 400, 170
01-20, 29, 19268617, 87, 414, 180
01-20, 29, 19270516, 88, 413, 178
01-20, 30, 19270472, 100, 435, 188
01-20, 30, 19272371, 101, 433, 187
01-20, 31, 19272322, 115, 452, 203
01-20, 31, 19274220, 117, 450, 202
02-19, 1, 19274175, 118, 481, 215
02-19, 1, 19271016, 117, 487, 216
02-19, 2, 19270963, 126, 508, 239
02-19, 2, 19267807, 128, 507, 241
02-19, 3, 19267756, 133, 533, 261
02-19, 3, 19264597, 133, 536, 264
02-19, 4, 19264536, 144, 571, 279
02-19, 4, 19261378, 145, 574, 280
02-19, 5, 19261322, 140, 612, 303
02-19, 5, 19258162, 141, 615, 306
02-19, 6, 19258093, 148, 660, 323
02-19, 6, 19254936, 149, 662, 324
02-19, 7, 19254885, 141, 707, 338
02-19, 7, 19251729, 141, 705, 343
02-19, 8, 19251657, 163, 731, 367
02-19, 8, 19248504, 164, 728, 369
02-19, 9, 19248421, 167, 784, 393
02-19, 9, 19245271, 167, 782, 392
02-19, 10, 19245187, 181, 817, 427
02-19, 10, 19242031, 184, 818, 426
02-19, 11, 19241945, 202, 848, 464
02-19, 11, 19238787, 204, 850, 465
02-19, 12, 19238720, 199, 893, 494
02-19, 12, 19235563, 202, 894, 494
02-19, 13, 19235472, 218, 930, 533
02-19, 13, 19232314, 223, 931, 532
02-19, 14, 19232219, 237, 977, 567
02-19, 14, 19229070, 237, 974, 566
02-19, 15, 19228978, 230, 1037, 602
02-19, 15, 19225822, 231, 1037, 604
02-19, 16, 19225729, 234, 1099, 632
02-19, 16, 19222575, 238, 1099, 629
02-19, 17, 19222462, 262, 1147, 670
02-19, 17, 19219298, 266, 1156, 668
02-19, 18, 19219175, 273, 1239, 701
02-19, 18, 19216017, 273, 1239, 706
02-19, 19, 19215896, 275, 1321, 743
02-19, 19, 19212735, 278, 1321, 748
02-19, 20, 19212606, 299, 1398, 779
02-19, 20, 19209451, 304, 1397, 777
02-19, 21, 19209311, 343, 1458, 817
02-19, 21, 19206151, 346, 1461, 818
02-19, 22, 19206024, 344, 1527, 881
02-19, 22, 19202857, 349, 1537, 880
02-19, 23, 19202696, 378, 1619, 930
