Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218064, 15, 0, 0
01-20, 2, 19219961, 15, 0, 0
01-20, 3, 19219937, 31, 8, 0
01-20, 3, 19221834, 31, 8, 0
01-20, 4, 19221817, 35, 20, 1
01-20, 4, 19223713, 35, 21, 1
01-20, 5, 19223692, 39, 37, 2
01-20, 5, 19225588, 39, 38, 2
01-20, 6, 19225567, 42, 55, 3
01-20, 6, 19227463, 42, 56, 3
01-20, 7, 19227438, 51, 63, 12
01-20, 7, 19229334, 51, 64, 12
01-20, 8, 19229317, 47, 81, 16
01-20, 8, 19231213, 47, 82, 16
01-20, 9, 19231192, 50, 96, 20
01-20, 9, 19233088, 50, 96, 21
01-20, 10, 19233064, 53, 113, 25
01-20, 10, 19234960, 53, 114, 25
01-20, 11, 19234942, 46, 136, 28
01-20, 11, 19236839, 45, 137, 28
01-20, 12, 19236822, 48, 146, 33
01-20, 12, 19238719, 47, 147, 33
01-20, 13, 19238699, 48, 159, 40
01-20, 13, 19240594, 49, 160, 40
01-20, 14, 19240574, 50, 172, 47
01-20, 14, 19242469, 51, 173, 47
01-20, 15, 19242457, 44, 184, 55
01-20, 15, 19244353, 45, 184, 55
01-20, 16, 19244337, 44, 192, 64
01-20, 16, 19246233, 45, 192, 64
01-20, 17, 19246216, 47, 201, 70
01-20, 17, 19248112, 47, 202, 70
01-20, 18, 19248093, 44, 217, 77
01-20, 18, 19249989, 45, 217, 77
01-20, 19, 19249964, 57, 224, 83
01-20, 19, 19251858, 57, 227, 83
01-20, 20, 19251839, 55, 240, 91
01-20, 20, 19253736, 55, 240, 91
01-20, 21, 19253712, 54, 259, 97
01-20, 21, 19255606, 57, 259, 97
01-20, 22, 19255577, 62, 272, 108
01-20, 22, 19257469, 65, 274, 108
01-20, 23, 19257443, 64, 293, 116
01-20, 23, 19259338, 64, 295, 116
01-20, 24, 19259294, 79, 314, 126
01-20, 24, 19261193, 79, 312, 126
01-20, 25, 19261160, 78, 334, 138
01-20, 25, 19263059, 78, 334, 136
01-20, 26, 19263022, 82, 353, 150
01-20, 26, 19264917, 82, 357, 148
01-20, 27, 19264887, 69, 386, 162
01-20, 27, 19266783, 70, 388, 160
01-20, 28, 19266737, 87, 408, 169
01-20, 28, 19268638, 87, 406, 167
01-20, 29, 19268603, 86, 424, 185
01-20, 29, 19270505, 86, 421, 183
01-20, 30, 19270459, 95, 446, 195
01-20, 30, 19272361, 95, 443, 193
01-20, 31, 19272320, 93, 465, 214
01-20, 31, 19274217, 93, 467, 212
02-19, 1, 19274181, 104, 479, 225
02-19, 1, 19271028, 104, 480, 224
02-19, 2, 19270983, 112, 508, 233
02-19, 2, 19267830, 112, 509, 232
02-19, 3, 19267783, 122, 527, 251
02-19, 3, 19264628, 122, 532, 248
02-19, 4, 19264583, 117, 558, 272
02-19, 4, 19261427, 119, 560, 271
02-19, 5, 19261371, 138, 580, 288
02-19, 5, 19258221, 137, 578, 288
02-19, 6, 19258169, 121, 620, 314
02-19, 6, 19255021, 118, 621, 311
02-19, 7, 19254966, 131, 645, 329
02-19, 7, 19251814, 133, 644, 327
02-19, 8, 19251731, 162, 678, 347
02-19, 8, 19248576, 162, 680, 347
02-19, 9, 19248508, 174, 714, 369
02-19, 9, 19245358, 174, 714, 366
02-19, 10, 19245282, 179, 765, 386
02-19, 10, 19242130, 179, 768, 382
02-19, 11, 19242062, 177, 814, 406
02-19, 11, 19238907, 178, 813, 408
02-19, 12, 19238828, 189, 855, 434
02-19, 12, 19235672, 190, 857, 434
02-19, 13, 19235584, 200, 911, 458
02-19, 13, 19232437, 197, 911, 455
02-19, 14, 19232344, 217, 957, 482
02-19, 14, 19229185, 218, 959, 485
02-19, 15, 19229084, 228, 1018, 517
02-19, 15, 19225936, 225, 1014, 519
02-19, 16, 19225811, 259, 1067, 557
02-19, 16, 19222655, 262, 1067, 557
02-19, 17, 19222561, 246, 1138, 596
02-19, 17, 19219404, 243, 1142, 599
02-19, 18, 19219303, 249, 1206, 630
02-19, 18, 19216145, 249, 1207, 634
02-19, 19, 19216015, 287, 1260, 673
02-19, 19, 19212867, 288, 1255, 672
02-19, 20, 19212738, 302, 1332, 710
02-19, 20, 19209584, 300, 1336, 709
02-19, 21, 19209443, 333, 1391, 762
02-19, 21, 19206290, 334, 1393, 759
02-19, 22, 19206150, 355, 1472, 799
02-19, 22, 19203000, 358, 1465, 800
02-19, 23, 19202851, 373, 1545, 854
